Info	Key	X	Y
30080501	PB1	2731	5024
30080501	M101	1940	4243
30080501	M102	1797	4353
30080501	M103	2082	4133
30080501	M104	2036	4363
30080501	M105	1917	4450
30080501	M106	2165	4248
30080501	M107	2133	4478
30080501	M108	2018	4565
30080501	M109	2253	4367
30080501	M201	1300	2300
30080501	M202	1450	2300
30080501	M203	1150	2300
30080501	M204	1300	2450
30080501	M205	1450	2450
30080501	M206	1150	2450
30080501	M207	1300	2600
30080501	M208	1450	2600
30080501	M209	1150	2600
30080501	M301	900	750
30080501	M302	750	750
30080501	M303	1050	750
30080501	M304	900	900
30080501	M305	750	900
30080501	M306	1050	900
30080501	M307	900	1050
30080501	M308	750	1050
30080501	M309	1050	1050
30080501	End	957	1043
