Id	Type	GoodsId[1]	GoodsId[2]	GoodsId[3]	GoodsId[4]
301	2	2016001	2015001		
302	2	2026001	2025001		
303	2	2026002	2025001		
304	2	2036001	2035001		
305	2	2036002	2035001		
306	2	2036003	2035001		
307	2	2046001	2045001		
308	2	2056001	2055001		
309	2	2066001	2065001		
310	2	2066002	2065001		
311	2	2076001	2075001		
312	2	2086001	2085001		
313	2	2016002	2015001		
314	2	2076002	2075001		
315	2	2056002	2055001		
316	2	2026004	2025001		
317	2	2086002	2085001		
318	2	2096001	2095001		
1002	3	1021003			
1001	3	2026004	2025001		
1003	3	1051003			
1004	3	1011003			
1005	3	1031003			
2000	3	1031003			
2010	3	1021003			
1017	3	1061003			
1018	3	1071003			
1019	3	1051003			
1020	3	1011003			
1021	3	1031003			
2011	3	1061003			
2012	3	1071003			
2013	3	1051003			
2014	3	1011003			
2015	3	1031003			
101	3	1081003			
