Info	Key	X	Y
10060401	PB1	3684	4163
10060401	PB2	0	0
10060401	PB3	0	0
10060401	PB4	0	0
10060401	PB5	0	0
10060401	S1	3695	3890
10060401	B101	3380	3532
10060401	B102	4027	3496
10060401	S2	3173	3005
10060401	B201	2619	2565
10060401	B202	2978	2202
10060401	B203	2590	2168
10060401	S3	2865	1890
10060401	B301	2831	1198
10060401	B302	3281	1338
10060401	S4	3598	1723
10060401	B401	4506	1805
10060401	B402	4951	2212
10060401	B403	4908	1569
10060401	CCJT1	3797	2139
10060401	CCJT2	3797	1367
30020107	PB1	3666	4271
30020107	S1	3666	3872
30020107	B101	3666	3095
30020107	B102	3666	2964
10060403	PB1	5399	2427
10060403	S1	5075	2417
10060403	B101	4327	2417
10060403	B102	4327	2043
10060403	B103	4318	2850
10060403	S2	3724	3040
10060403	B201	3295	4069
10060403	B202	4085	4079
10060403	S3	3677	5262
10060403	B301	1676	5681
10060403	B302	1684	5328
10060403	S4	1129	4805
10060403	B401	1103	3366
10060403	B402	861	3131
10060403	B403	1350	3125
10060403	JS	909	2335
11060106	PB1	4852	1059
11060106	S2	4849	1774
11060106	PB2	4844	2348
11060106	B201	4557	2562
11060106	B202	5071	2557
11060106	R2	2908	1774
11060106	R3	2881	2740
11060106	R4	3647	4298
11060106	TLP1	1058	4633
11060106	S1	1064	4025
11060106	B101	641	3579
11060106	B102	1453	3591
11060106	B103	865	3363
11060106	B104	1226	3355
11060106	B105	1057	3599
11060106	PB3	1055	4395
11060106	End	1057	2817
11060106	B203	4836	2655
11060106	PB4	4857	1339
12060103	PB1	1085	2711
12060103	S1	1085	3323
12060103	B101	1079	3994
12060103	B102	744	4308
12060103	B103	1399	4313
12060103	JS	1086	4780
10060301	PB1	3684	4207
10060301	JX1	3677	3494
10060301	JX2	3309	3270
10060301	JX3	4065	3282
10060301	S1	3684	3844
10060301	B101	3684	3148
10060301	B102	3684	3148
10060304	PB1	1066	2796
10060304	PB2	0	0
10060304	PB3	0	0
10060304	PB4	0	0
10060304	PB5	0	0
10060304	S1	1056	3243
10060304	S2	1056	3243
10060304	S3	1056	3243
10060304	S4	1056	3243
10060304	B101	1053	3895
10060304	B201	685	3672
10060304	B301	1557	3598
10060304	B401	674	3075
30020308	PB1	3672	5304
30020308	JX1	3672	2978
30020308	LJ1	3104	3856
30020308	LJ2	4182	3850
30020308	S1	3672	3648
30020308	B101	1059	2856
30020308	B102	648	3373
30020308	B103	1500	3388
30020308	B104	831	4088
30020308	B105	1393	4004
30020308	S2	1530	5524
30020308	B201	2716	5509
30020308	B202	3028	5730
30020308	B203	3028	5235
30020308	JX2	1078	4594
10060402	PB1	3684	4207
10060402	JX1	3677	3494
10060402	JX2	3309	3270
10060402	JX3	4065	3282
10060402	S1	3684	3844
10060402	B101	3684	3148
10060402	B102	3684	3148
12060301	PB1	3648	4189
12060301	S1	3692	3555
12060301	B101	3701	2983
12060301	JS	3696	2993
