StageId	LevelType[1]	LevelType[2]	LevelType[3]
30000101	1	2	3
30000102	1	2	3
30000103	1	2	3
30000104	1	2	3
30000105	1	2	3
30000201	1	2	3
30000202	1	2	3
30000203	1	2	3
30000204	1	2	3
30000205	1	2	3
30000301	1	2	3
30000302	1	2	3
30000303	1	2	3
30000304	1	2	3
30000305	1	2	3
30000601	1	2	3
30000602	1	2	3
30000603	1	2	3
30000604	1	2	3
30000605	1	2	3
30000501	1	2	3
30000502	1	2	3
30000503	1	2	3
30000504	1	2	3
30000505	1	2	3
30000701	1	2	3
30000702	1	2	3
30000703	1	2	3
30000704	1	2	3
30000705	1	2	3
30000901	1	2	3
30000902	1	2	3
30000903	1	2	3
30000904	1	2	3
30000905	1	2	3
30000401	1	2	3
30000402	1	2	3
30000403	1	2	3
30000404	1	2	3
30000405	1	2	3
30000801	1	2	3
30000802	1	2	3
30000803	1	2	3
30000804	1	2	3
30000805	1	2	3
30000906	1	2	3
30000907	1	2	3
30000908	1	2	3
30000909	1	2	3
30000910	1	2	3
30000911	1	2	3
30000912	1	2	3
30000913	1	2	3
30000914	1	2	3
30000915	1	2	3
