StageId	ModelId	BossName	Score	BossLoseHpScore	LeftTimeScore	LeftHpScore	DifficultyType	DifficultyDesc	DifficultyDescEn	AutoFight	SkillTitle[1]	SkillDesc[1]	SkillTitle[2]	SkillDesc[2]	SkillTitle[3]	SkillDesc[3]	SkillTitle[4]	SkillDesc[4]	SkillTitle[5]	SkillDesc[5]	SkillTitle[6]	SkillDesc[6]	SkillTitle[7]	SkillDesc[7]	AttackName[1]	AttackName[2]	AttackName[3]
30000101	Me1SwordMd002001	武藏玖型	12500	5000	6000	1500	1	实验	EXPERIMENT	1	喷射气刃	武藏玖型向敌人释放一道威力巨大的剑气	瞬步	武藏玖型向距离过远的敌人快速突进	剑刃风暴	武藏玖型旋转自己的大剑，并向四周释放大量的剑气											
30000102	Me1SwordMd002001	武藏玖型	25000	10000	12000	3000	2	精英	ELITES	1	心剑模式	武藏玖型隐藏自己，在地上留下残影，并向敌人释放剑风	喷射气刃	武藏玖型向敌人释放一道威力巨大的剑气	瞬步	武藏玖型向距离过远的敌人快速突进	剑刃风暴	武藏玖型旋转自己的大剑，并向四周释放大量的剑气									
30000103	Me1SwordMd002001	武藏玖型	50000	20000	24000	6000	3	骑士	KNIGHT	1	全屏剑风	武藏玖型围绕敌人，并向敌人释放大量剑气	心剑模式	武藏玖型隐藏自己，在地上留下残影，并向敌人释放剑风	喷射气刃	武藏玖型向敌人释放一道威力巨大的剑气	瞬步	武藏玖型向距离过远的敌人快速突进	剑刃风暴	武藏玖型旋转自己的大剑，并向四周释放大量的剑气							
30000104	Me1SwordMd002001	武藏玖型	100000	40000	48000	12000	4	混沌	CHAOS	0	烧夷战术	预装的战术让boss学会如何“改造”战场，处于被他改造过的战场之中会让人物不断受到额外伤害	全屏剑风	武藏玖型围绕敌人，并向敌人释放大量剑气	心剑模式	武藏玖型隐藏自己，在地上留下残影，并向敌人释放剑风	喷射气刃	武藏玖型向敌人释放一道威力巨大的剑气	瞬步	武藏玖型向距离过远的敌人快速突进	剑刃风暴	武藏玖型旋转自己的大剑，并向四周释放大量的剑气					
30000105	Me1SwordMd002001	武藏玖型	200000	80000	96000	24000	5	地狱	HELL	0	烧夷战术	预装的战术让boss学会如何“改造”战场，处于被他改造过的战场之中会让人物不断受到额外伤害	全屏剑风	武藏玖型围绕敌人，并向敌人释放大量剑气	心剑模式	武藏玖型隐藏自己，在地上留下残影，并向敌人释放剑风	喷射气刃	武藏玖型向敌人释放一道威力巨大的剑气	瞬步	武藏玖型向距离过远的敌人快速突进	剑刃风暴	武藏玖型旋转自己的大剑，并向四周释放大量的剑气					
30000201	Mb1OrphanMd030001	喷涂机械	12500	5000	6000	1500	1	实验	EXPERIMENT	1	喷发	朝敌人丢掷一枚可爆炸的冰冻弹	跳跃攻击	用力坐向地面，造成范围伤害	喷射	朝地面喷射冰面，冰面会对敌人造成持续伤害											
30000202	Mb1OrphanMd030001	喷涂机械	25000	10000	12000	3000	2	精英	ELITES	1	跳砸	连续坐向地面，造成范围伤害	喷发	朝敌人丢掷一枚可爆炸的冰冻弹	跳跃攻击	用力坐向地面，造成范围伤害	喷射	朝地面喷射冰面，冰面会对敌人造成持续伤害									
30000203	Mb1OrphanMd030001	喷涂机械	50000	20000	24000	6000	3	骑士	KNIGHT	1	跳砸	连续坐向地面，造成范围伤害	喷发	朝敌人丢掷一枚可爆炸的冰冻弹	跳跃攻击	用力坐向地面，造成范围伤害	喷射	朝地面喷射冰面，冰面会对敌人造成持续伤害									
30000204	Mb1OrphanMd030001	喷涂机械	100000	40000	48000	12000	4	混沌	CHAOS	0	烧夷战术	预装的战术让boss学会如何“改造”战场，处于被他改造过的战场之中会让人物不断受到额外伤害	喷射-增强	朝地面喷射冰面，冰面会对敌人造成持续伤害，冰面持续时间增长	跳砸	连续坐向地面，造成范围伤害	喷发	朝敌人丢掷一枚可爆炸的冰冻弹	跳跃攻击	用力坐向地面，造成范围伤害							
30000205	Mb1OrphanMd030001	喷涂机械	200000	80000	96000	24000	5	地狱	HELL	0	烧夷战术	预装的战术让boss学会如何“改造”战场，处于被他改造过的战场之中会让人物不断受到额外伤害	喷射-增强	朝地面喷射冰面，冰面会对敌人造成持续伤害，冰面持续时间增长	跳砸	连续坐向地面，造成范围伤害	喷发	朝敌人丢掷一枚可爆炸的冰冻弹	跳跃攻击	用力坐向地面，造成范围伤害							
