Id	Icon	LinkEffect	ReleaseEffect	ExEffect
903761	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconGeneral11.png	FxUiBallLinkRed	FxUi009	FxUijixianshanbi
903762	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconGeneral21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
903763	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconGeneral31.png	FxUiBallLinkYellow	FxUi009	FxUijixianshanbi
905106	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconGeneral11.png	FxUiBallLinkRed	FxUi009	FxUijixianshanbi
905107	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconGeneral21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
905108	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconGeneral31.png	FxUiBallLinkYellow	FxUi009	FxUijixianshanbi
903461	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconGeneral11.png	FxUiBallLinkRed	FxUi009	FxUijixianshanbi
903462	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconGeneral21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
903463	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconGeneral31.png	FxUiBallLinkYellow	FxUi009	FxUijixianshanbi
904310	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconGeneral11.png	FxUiBallLinkRed	FxUi009	FxUijixianshanbi
