Id	Icon	LinkEffect	ReleaseEffect	ExEffect
100101	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR2Li11.png	FxUiBallLinkRed	FxUi009	FxUijixianshanbi
100102	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR2Li21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
100103	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR2Li31.png	FxUiBallLinkYellow	FxUi009	FxUijixianshanbi
100104	product/texture/image/uifightballbox/fightskillicon1.png.unity3d	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
100105	Assets/Product/Texture/Image/UiFightBallBox/FightSupSkillIcon.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
100501	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR2Yongyechao11.png	FxUiBallLinkRed	FxUi009	FxUijixianshanbi
100502	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR2Yongyechao21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
100503	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR2Yongyechao31.png	FxUiBallLinkYellow	FxUi009	FxUijixianshanbi
100701	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR2Kalienina11.png	FxUiBallLinkRed	FxUi009	FxUijixianshanbi
100702	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR2Kalienina21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
100703	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR2Kalienina31.png	FxUiBallLinkYellow	FxUi009	FxUijixianshanbi
100704	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconRLuxiya41.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
100705	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconRLuxiya51.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
100801	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR2Dubian11.png	FxUiBallLinkRed	FxUi009	FxUijixianshanbi
100802	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR2Dubian21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
100803	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR2Dubian31.png	FxUiBallLinkYellow	FxUi009	FxUijixianshanbi
100804	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconRLuxiya41.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
100805	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconRLuxiya51.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
101301	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR2Lifu11.png	FxUiBallLinkRed	FxUi009	FxUijixianshanbi
101302	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR2Lifu21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
101303	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR2Lifu31.png	FxUiBallLinkYellow	FxUi009	FxUijixianshanbi
101304	Assets/Product/Texture/Image/UiFightBallBox/FightSupportSkillIcon.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
101305	Assets/Product/Texture/Image/UiFightBallBox/FightSupSkillIcon.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
