Id	Icon	LinkEffect	ReleaseEffect	ExEffect
100401	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR2Bianka11.png	FxUiBallLinkRed	FxUi009	FxUijixianshanbi
100402	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR2Bianka21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
100403	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR2Bianka31.png	FxUiBallLinkYellow	FxUi009	FxUijixianshanbi
100404	Assets/Product/Texture/Image/UiFightBallBox/FightSupportSkillIcon.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
100405	Assets/Product/Texture/Image/UiFightBallBox/FightSupSkillIcon.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
101601	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR3Shenwei11.png	FxUiBallLinkRed	FxUi009	FxUijixianshanbi
101602	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR3Shenwei21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
101603	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR3Shenwei31.png	FxUiBallLinkYellow	FxUi009	FxUijixianshanbi
101604	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconRLuxiya41.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
101605	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconRLuxiya51.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
102301	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR3Lifu11.png	FxUiBallLinkRed	FxUi009	FxUijixianshanbi
102302	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR3Lifu21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
102303	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR3Lifu31.png	FxUiBallLinkYellow	FxUi009	FxUijixianshanbi
102304	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconRLuxiya41.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
102305	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconRLuxiya51.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
101701	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR3Kalienina11.png	FxUiBallLinkRed	FxUi009	FxUijixianshanbi
101702	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR3Kalienina21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
101703	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR3Kalienina31.png	FxUiBallLinkYellow	FxUi009	FxUijixianshanbi
101704	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconRLuxiya41.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
101705	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconRLuxiya51.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
