Id	Priority	Ignore	Desc	GuideType	ConditionId[1]	ConditionId[2]	CompleteId	ActiveUi	RewardId	GroupId
100001	1	0	新手关1	2	850000		100001	UiMain	0	1
100002	2	0	新手关2	2	850000		100002	UiMain	0	1
100003	3	0	新手关3	2	850000		100003	UiMain	0	1
50000	50000	0	引导进1-1	1	850000		50000	UiMain	0	50000
50101	50101	0	领取任务1-2奖励	1	850101		50101	UiMain	0	50101
50102	50102	0	装备第一个意识	1	850102		50102	UiMain	0	50101
50103	50103	0	装备第二个意识	1	850103		50103	UiEquipAwarenessReplace|UiMain	0	50101
50201	50201	0	领取奖励丽芙	1	850201		50201	UiMain	0	50201
50202	50202	0	引导升级丽芙	1	850202		50202	UiMain	0	50201
50203	50203	0	引导上阵丽芙	1	850203		50203	UiMain	0	50201
50301	50301	0	露西亚红球升级	1	850301		50301	UiMain	0	50301
50401	50401	0	引导新手目标	1	850401		50401	UiMain	0	50401
50501	50501	0	引导晋升	1	850501		50501	UiMain	0	50501
50602	50602	0	装备紫刀	1	850602		50602	UiMain	0	50602
50603	50603	0	升级紫刀	1	850603		50603	UiEquipReplaceNew|UiMain	0	50602
50701	50701	0	日常剧情任务	1	850701		50701	UiMain	0	50701
50800	50800	0	开抽卡发研发券	1	850800		50800	UiMain	1300	50800
50801	50801	0	抽出七实	1	850801		50801	UiMain|UiDrawMain	0	50801
50803	50803	0	上阵七实	1	850803		50803	UiNewRoomSingle	0	50801
50901	50901	0	再次引导主线	1	850901		50901	UiMain	0	50901
50931	50931	0	日常副本	1	850931		50931	UiMain	0	50931
51001	51001	0	了解商店与货币	1	851001		51001	UiMain	0	51001
51101	51101	0	了解教学本	1	851101		51101	UiMain	0	51101
51201	51201	0	了解技能本	1	851201		51201	UiMain	0	51201
51301	51301	0	了解金币本	1	851301		51301	UiMain	0	51301
51401	51401	0	了解装备经验	1	851401		51401	UiMain	0	51401
51501	51501	0	了解装备突破	1	851501		51501	UiMain	0	51501
51601	51601	0	了解试炼本	1	851601		51601	UiMain	0	51601
51701	51701	0	引导困难本	1	851701		51701	UiMain	0	51701
51801	51801	1	(废弃)引导使用扫荡	1	851801		51801	UiMain	0	51801
51901	51901	0	引导进高级装备本	1	851901		51901	UiMain	0	51901
52001	52001	0	引导看角色详情	1	852001		52001	UiMain	0	52001
52031	52031	0	引导试验场	1	852031		52031	UiMain	0	52031
52101	52101	0	了解角色收集	1	852101		52101	UiMain	0	52101
52301	52301	0	使用助战	1	852301		52301	UiMain	0	52301
52401	52401	0	引导前传副本	1	852401		52401	UiMain	0	52401
52501	52501	0	了解时装	1	852501		52501	UiMain	0	52501
52601	52601	0	引导赏金任务	1	852601		52601	UiMain	0	52601
52701	52701	0	了解宿舍并打开图文	1	852701		52701	UiMain	0	52701
52801	52801	0	引导竞技玩法	1	852801		52801	UiMain	0	52801
52901	52901	0	引导单人boss	1	852901		52901	UiMain	0	52901
52931	52931	0	引导勋章	1	852931		52931	UiMain	0	52931
52201	53100	1	(废弃)参与联机boss	1	852201		52201	UiMain	0	52201
53101	53101	0	引导据点玩法	1	771500		53101	UiMain	0	53101
53001	53102	0	引导探索玩法	1	774300		53001	UiMain	0	53001
