Id	Desc	Param[1]	Param[2]	Param[3]	Param[4]	Param[5]	Param[6]	Param[7]	Param[8]	Param[9]	Param[10]
100001	新手关1										
100002	新手关2										
100003	新手关3										
50000	引导进入1-1	2	10010101	1							
50101	领取任务1-2奖励	3	101								
50102	装备第一个意识	1									
50103	装备第二个意识	1									
50201	领取奖励丽芙	12	10010103								
50202	引导升级丽芙	1									
50203	引导上阵丽芙	1									
50301	露西亚红球升级	1									
50401	引导新手目标	1									
50501	引导晋升	1									
50602	装备紫刀	1									
50603	强化紫刀	1									
50701	日常、剧情任务	1									
50800	给玩家发研发券	1									
50801	开放抽卡，抽出七实	1									
50802	升级七实	1									
50803	上阵七实	1									
50901	再次引导主线任务	1									
50931	日常副本	1									
51001	了解商店与货币	1									
51101	了解教学本	1									
51201	了解技能本	1									
51301	了解金币本	1									
51401	了解装备经验	1									
51501	了解装备突破	1									
51601	了解试炼本	1									
51701	了解困难本	1									
51801	引导使用扫荡	1									
51901	引导进高级装备本	1									
52001	引导看角色详情	1									
52031	试验场	1									
52101	了解角色收集	1									
52201	参与联机boss	1									
52301	使用助战	1									
52401	引导前传副本	1									
52501	了解时装	1									
52601	引导赏金任务	1									
52701	了解宿舍	1									
52702	宿舍2	1									
52703	宿舍3	1									
52704	宿舍4	1									
52705	宿舍5	1									
52706	宿舍6	1									
52801	引导竞技玩法	1									
52901	引导单人boss	1									
52931	勋章引导	1									
53001	引导探索玩法	1									
53101	引导据点玩法	1									
