Id	IsMask	MaskTarget	Type	Icon	Name	DescriptionType	Text	Duration
1	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	2	UiGuideFight.GuideFight1	
2	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	里	2	UiGuideFight.GuideFight6	
3	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1.png	七实	2	UiGuideFight.GuideFight5	
4	0	Guide/Guide1	1	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAolisuo1.png	比安卡	2	UiGuideFight.GuideFight3	
5	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	赛利卡	1	指挥官，本次档案信息读取已超过限定时间。	
101	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	向前走吧，指挥官。	
102	1	AttackButton	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	<color=#ffda58>普通攻击</color>持续命中敌人后可获得  【技能球】。	
103	1	PanelBallBox/FirstBall	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	点击<color=#ff5656>【技能球】</color>可发动专属技能。	
104	1	PanelBallBox/TopThreeBalls	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	3个同色相邻的<color=#ff5656>【技能球】</color>称为【三消】，发动后能发挥该技能最大化效果。	
105	1	DodgeButton	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	被敌人攻击前<color=#ffda58>【闪避】</color>，即可进入【超算空间】状态。	
106	1	PanelBallBox/FirstBall	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	进入【超算空间】后，<color=#ffda58>单独技能球</color>也可以达到<color=#ffda58>【三消】</color>的效果。	
107	0	Guide/Guide1	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	<color=#ffda58>黄色信号</color>：露西亚攻击获得的黄色信号可以将敌人挑飞并造成伤害效果	
108	1	PanelBallBox/TopThreeBalls	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	任意<color=#ffda58>【三消】</color>后，释放<color=#ff5656>【红球】</color>，即可触发【红莲双刀】。	
109	1	PanelBallBox/FirstBall	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	露西亚	1	任意<color=#ffda58>【三消】</color>后，释放<color=#ff5656>【红球】</color>，即可触发【红莲双刀】。	
