Id	Type	Params[1]	Params[2]	Params[3]	Desc
1	13102	1			构造体是装甲类型
2	13102	2			构造体是敢死类型
3	13102	3			构造体是生化类型
4	13102	1	2	3	全构造体
5	10107	50			指挥官等级小于50级
6	10107	40			指挥官等级小于40级
7	10105	10030202			通关普通剧情3-6副本
8	10105	10050202			通关普通剧情5-6副本
301	10102	1011002			拥有构造体里·异火
302	10102	1021001			拥有构造体露西亚·红莲
303	10102	1031001			拥有构造体丽芙·蚀暗
304	10102	1041002			拥有构造体比安卡·零度
305	10102	1051001			拥有构造体七实·风暴
306	10102	1061002			拥有构造体神威·重能
307	10102	1071002			拥有构造体卡列尼娜·爆裂
308	10102	1081002			拥有构造体渡边·夜刃
309	10102	1021002			拥有构造体露西亚·黎明
310	10102	1031002			拥有构造体丽芙·内核
311	10102	1061003			拥有构造体神威·暗能
312	10102	1031003			拥有构造体丽芙·仰光
313	10102	1071003			拥有构造体卡列尼娜·烬燃
314	10102	1011003			拥有构造体里·乱数
315	10102	1051003			拥有构造体七实·脉冲
401	11105	6210204			已拥有该涂装
7001	10105	13010116			通关露西亚间章所有支线
7002	10105	13010216			通关丽芙间章所有支线
7003	10105	13010315			通关七实间章所有支线
7004	10105	13010415			通关里间章所有支线
7005	10105	13010516			通关卡列尼娜间章所有支线
7006	10105	13010615			通关渡边间章所有支线
7007	10105	13010716			通关比安卡间章所有支线
7008	10105	13010815			通关神威间章所有支线
8000	10101	25			指挥官等级到达25级
8001	10101	35			指挥官等级到达35级
8002	10101	45			指挥官等级到达45级
8003	10101	55			指挥官等级到达55级
10001	10101	1			玩家等级需要达到50级
10002	11101	1	999		道具数量需要999
10003	10102	1021001			需要拥有指定构造体
10005	10103	1			获得构造体数量多少个，参数：数量
10006	13101	1			构造体性别，参数：性别
10007	13102	1			构造体类型，参数：类型
10010	18101	1			只能使用男性构造体
10011	18102	3	1		敢死类构造体不可用
1001201	18103	1	1031001		丽芙·蚀暗必须出战
1001202	18103	1	1051001		七实·风暴必须出战
10013	18104	1031001			不能使用丽芙出战
10014	10101	40			玩家等级需要达到40级
10015	10105	10010202			玩家必须通过5-2关卡
10016	13103	25			构造体等级需要达到25级
30001	10101	1			玩家等级需要达到1级
30002	20102	1			需要宿舍1楼建满
30003	20102	2			需要宿舍2楼建满
30101	20101	1	1		需要主电脑达到1级
30201	20101	2	1		需要发电站达到1级
30202	20101	2	3		需要发电站达到3级
30203	20101	2	5		需要发电站达到5级
30301	20101	3	1		需要工厂达到1级
30302	20101	3	3		需要工厂达到3级
30303	20101	3	5		需要工厂达到5级
30401	10101	2			玩家等级需要达到2级
30402	10101	10			玩家等级需要达到10级
30403	10101	15			玩家等级需要达到15级
30404	10101	20			玩家等级需要达到20级
30405	10101	25			玩家等级需要达到25级
30406	10101	40			玩家等级需要达到40级
100000	10105	10010204			通关普通剧情1-8副本
100001	10105	10010304			通关普通剧情1-12副本
100102	10105	10020304			通关普通剧情2-12副本
100103	10105	11010106			通关隐藏剧情1-6副本
100104	10105	10030304			通关普通剧情3-12副本
100105	10105	11020106			通关隐藏剧情2-6副本
100106	10105	10040304			通关普通剧情4-12副本
100107	10105	11030106			通关隐藏剧情3-6副本
100108	10105	10050304			通关普通剧情5-12副本
100109	10105	11040106			通关隐藏剧情4-6副本
100110	10105	10060304			通关普通剧情6-12副本
100111	10105	11050106			通关隐藏剧情5-6副本
100112	10105	10070304			通关普通剧情7-12副本
100113	10105	11060106			通关隐藏剧情6-6副本
100202	10105	10010304			通关普通剧情1-12副本
100203	10105	10020304			通关普通剧情2-12副本
100204	10105	10030304			通关普通剧情3-12副本
100205	10105	10040104			通关普通剧情4-4副本
100206	10105	10040404			通关普通剧情4-16副本
100207	10105	10050304			通关普通剧情5-12副本
100208	10105	10060204			通关普通剧情6-8副本
100209	10105	10070104			通关普通剧情7-4副本
100210	10105	10070404			通关普通剧情7-16副本
100211	10105	10080304			通关普通剧情8-12副本
100212	10105	11060106			通关隐藏剧情6-8副本
100213	10105	11080106			通关隐藏剧情8-4副本
100302	10105	10020104			通关普通剧情2-4副本
100303	10105	10020404			通关普通剧情2-16副本
100304	10105	10030404			通关普通剧情3-16副本
100305	10105	10040204			通关普通剧情4-8副本
100306	10105	10050104			通关普通剧情5-4副本
100307	10105	10050404			通关普通剧情5-16副本
100308	10105	10060304			通关普通剧情6-12副本
100309	10105	10070204			通关普通剧情7-8副本
100310	10105	10080104			通关普通剧情8-4副本
100311	10105	10080404			通关普通剧情8-16副本
100312	10105	11060106			通关隐藏剧情6-8副本
100313	10105	11080106			通关隐藏剧情8-4副本
100402	10105	10010404			通关普通剧情1-16副本
100403	10105	11010106			通关隐藏剧情1-8副本
100404	10105	11010106			通关隐藏剧情1-16副本
100405	10105	11010106			通关隐藏剧情2-8副本
100406	10105	11020106			通关隐藏剧情2-16副本
100407	10105	11030106			通关隐藏剧情3-8副本
100408	10105	11030106			通关隐藏剧情3-16副本
100409	10105	11040106			通关隐藏剧情4-6副本
100410	10105	11040106			通关隐藏剧情4-16副本
100411	10105	11050106			通关隐藏剧情5-8副本
100412	10105	11070106			通关隐藏剧情7-8副本
100413	10105	11080106			通关隐藏剧情8-16副本
100501	10105	10010203			通关普通剧情1-7副本
109000	13103	2			构造体等级达到2级
110000	13103	10			构造体等级达到10级
110001	13103	20			构造体等级达到20级
110002	13103	30			构造体等级达到30级
110003	13103	40			构造体等级达到40级
110004	13103	45			构造体等级达到45级
110005	13103	50			构造体等级达到50级
110006	13103	55			构造体等级达到55级
110007	13103	60			构造体等级达到60级
110008	13103	65			构造体等级达到65级
110009	13103	70			构造体等级达到70级
110010	13103	75			构造体等级达到75级
110011	13103	80			构造体等级达到80级
200000	10101	200			暂未开放
200001	10105	12021201			通关据点战第二章
200002	10105	12050402			通关据点战第五章
200003	10105	12080402			通关据点战第八章
200010	10105	12011601			通关据点战第一章
200011	10105	12021201			通关据点战第二章
200012	10105	12030802			通关据点战第三章
200013	10105	12040401			通关据点战第四章
200014	10105	12050402			通关据点战第五章
200015	10105	12060402			通关据点战第六章
200016	10105	12070402			通关据点战第七章
200017	10105	12080402			通关据点战第八章
300001	18105	1	2		派遣中1兵种构造体数量达到2个
300002	18106	10	2		派遣中战斗力达到10的构造体数量达到2个
300003	18107	1	2		派遣中品质达到1的构造体数量达到2个
300004	18108	10	2		派遣中等级达到10的构造体数量达到2个
300005	18109	1	2		派遣中性别为1的构造体数量达到2个
300006	18110	1031001	1		丽芙·蚀暗必须出战
40000	18108	10	1		全队1个构造体等级达到10
40001	18108	20	2		全队2个构造体等级达到20
40002	18108	30	3		全队3个构造体等级达到30
40003	18108	40	1		全队1个构造体等级达到40
40004	18108	50	2		全队2个构造体等级达到50
40005	18108	60	3		全队3个构造体等级达到60
40006	18108	10	1		全队1个构造体等级达到10
40007	18108	20	2		全队2个构造体等级达到20
40008	18108	30	3		全队3个构造体等级达到30
40009	18108	40	1		全队1个构造体等级达到40
40010	18108	50	2		全队2个构造体等级达到50
40011	18108	60	3		全队3个构造体等级达到60
40012	18107	2	1		全队1个构造体品质达到A
40013	18107	3	2		全队2个构造体品质达到S
40014	18107	4	3		全队3个构造体品质达到SS
40015	18107	5	1		全队1个构造体品质达到SSS
40016	18107	4	2		全队2个构造体品质达到SS
40017	18107	3	3		全队3个构造体品质达到S
40018	18105	1	1		派遣1装甲构造体
40019	18105	2	2		派遣2敢死构造体
40020	18105	3	3		派遣3生化构造体
40021	18110	1031001	1		丽芙·蚀暗必须出战
40022	18109	1	1		派遣1个女性
40023	18109	1	2		派遣2个女性
40024	18109	1	3		派遣3个女性
40025	18109	2	1		派遣1个男性
40026	18109	2	2		派遣2个男性
40027	18109	2	3		派遣3个男性
40028	18108	10	2		构造体必须到达10级
40029	18108	20	2		构造体必须到达20级
40030	18108	30	2		构造体必须到达30级
40031	18108	40	2		构造体必须到达40级
40032	18108	50	2		构造体必须到达50级
40033	18108	60	2		构造体必须到达60级
40034	18108	70	2		构造体必须到达70级
40035	18108	80	2		构造体必须到达80级
40036	18105	1	1		派遣1个装甲构造体
40037	18105	1	2		派遣2个装甲构造体
40038	18105	1	3		派遣3个装甲构造体
40039	18105	2	1		派遣1个敢死构造体
40040	18105	2	2		派遣2个敢死构造体
40041	18105	2	3		派遣3个敢死构造体
40042	18105	3	1		派遣1个生化构造体
40043	18105	3	2		派遣2个生化构造体
40044	18105	3	3		派遣3个生化构造体
40045	18110	1011001	1		里·异火必须出战
40046	18110	1021001	1		露西亚·红莲必须出战
40047	18110	1031001	1		丽芙·蚀暗必须出战
40048	18110	1041001	1		比安卡·零度必须出战
40049	18110	1051001	1		七实·风暴必须出战
40050	18110	1061001	1		神威·重能必须出战
40051	18110	1071001	1		卡列尼娜·爆裂必须出战
40052	18110	1081001	1		渡边·夜刃必须出战
40053	18110	1021002	1		露西亚·黎明必须出战
40054	18110	1031002	1		丽芙·内核必须出战
40055	18110	1071002	1		卡列尼娜·烬燃必须出战
40056	18110	1031003	1		丽芙·仰光必须出战
50000	13103	5			构造体等级到达5级
50001	13103	10			构造体等级到达10级
50002	13103	15			构造体等级到达15级
50003	13103	20			构造体等级到达20级
50004	13103	25			构造体等级到达25级
50005	13103	30			构造体等级到达30级
50006	13103	35			构造体等级到达35级
50007	13103	40			构造体等级到达40级
50008	13103	45			构造体等级到达45级
50009	13103	50			构造体等级到达50级
50010	13103	55			构造体等级到达55级
50011	13103	60			构造体等级到达60级
50012	13103	65			构造体等级到达65级
50013	13103	70			构造体等级到达70级
50014	13103	75			构造体等级到达75级
50015	13103	80			构造体等级到达80级
1001	13103	1			等级到达1级
1002	13103	2			等级到达2级
1003	13103	6			等级到达6级
1004	13103	10			等级到达10级
1005	13103	14			等级到达14级
1006	13103	18			等级到达18级
1007	13103	22			等级到达22级
1008	13103	26			等级到达26级
1009	13103	30			等级到达30级
1010	13103	34			等级到达34级
1011	13103	38			等级到达38级
1012	13103	42			等级到达42级
1013	13103	46			等级到达46级
1014	13103	50			等级到达50级
1015	13103	54			等级到达54级
1016	13103	58			等级到达58级
1017	13103	62			等级到达62级
1018	13103	66			等级到达66级
1101	13103	1			等级到达1级
1102	13103	4			等级到达4级
1103	13103	8			等级到达8级
1104	13103	12			等级到达12级
1105	13103	16			等级到达16级
1106	13103	20			等级到达20级
1107	13103	24			等级到达24级
1108	13103	28			等级到达28级
1109	13103	32			等级到达32级
1110	13103	36			等级到达36级
1111	13103	40			等级到达40级
1112	13103	44			等级到达44级
1113	13103	48			等级到达48级
1114	13103	52			等级到达52级
1115	13103	56			等级到达56级
1116	13103	60			等级到达60级
1117	13103	64			等级到达64级
1118	13103	68			等级到达68级
1201	13103	1			等级到达1级
1202	13103	6			等级到达6级
1203	13103	10			等级到达10级
1204	13103	14			等级到达14级
1205	13103	18			等级到达18级
1206	13103	22			等级到达22级
1207	13103	26			等级到达26级
1208	13103	30			等级到达30级
1209	13103	34			等级到达34级
1210	13103	38			等级到达38级
1211	13103	42			等级到达42级
1212	13103	46			等级到达46级
1213	13103	50			等级到达50级
1214	13103	54			等级到达54级
1215	13103	58			等级到达58级
1216	13103	62			等级到达62级
1217	13103	66			等级到达66级
1218	13103	70			等级到达70级
1301	13103	1			等级到达1级
1302	13103	8			等级到达8级
1303	13103	12			等级到达12级
1304	13103	16			等级到达16级
1305	13103	20			等级到达20级
1306	13103	24			等级到达24级
1307	13103	28			等级到达28级
1308	13103	32			等级到达32级
1309	13103	36			等级到达36级
1310	13103	40			等级到达40级
1311	13103	44			等级到达44级
1312	13103	48			等级到达48级
1313	13103	52			等级到达52级
1314	13103	56			等级到达56级
1315	13103	60			等级到达60级
1316	13103	64			等级到达64级
1317	13103	68			等级到达68级
1318	13103	72			等级到达72级
1401	13103	1			等级到达1级
1402	13103	10			等级到达10级
1403	13103	14			等级到达14级
1404	13103	18			等级到达18级
1405	13103	22			等级到达22级
1406	13103	26			等级到达26级
1407	13103	30			等级到达30级
1408	13103	34			等级到达34级
1409	13103	38			等级到达38级
1410	13103	42			等级到达42级
1411	13103	46			等级到达46级
1412	13103	50			等级到达50级
1413	13103	54			等级到达54级
1414	13103	58			等级到达58级
1415	13103	62			等级到达62级
1416	13103	66			等级到达66级
1417	13103	70			等级到达70级
1418	13103	74			等级到达74级
1501	13103	1			等级到达1级
1502	13103	12			等级到达12级
1503	13103	16			等级到达16级
1504	13103	20			等级到达20级
1505	13103	24			等级到达24级
1506	13103	28			等级到达28级
1507	13103	32			等级到达32级
1508	13103	36			等级到达36级
1509	13103	40			等级到达40级
1510	13103	44			等级到达44级
1511	13103	48			等级到达48级
1512	13103	52			等级到达52级
1513	13103	56			等级到达56级
1514	13103	60			等级到达60级
1515	13103	64			等级到达64级
1516	13103	68			等级到达68级
1517	13103	72			等级到达72级
1518	13103	76			等级到达76级
1601	13103	1			等级到达1级
