Id	BuffId	RequireAbility	NeedCharacter	Condition
12010101		4000	3	
12010201		4000	2	
12010301		4000	3	
12020101		4400	1	
12020201		4400	1	
12020301		4400	1	
12030101		4800	2	
12030201		4800	2	
12030301		4800	2	
12040101		5200	2	
12040201		5200	2	
12040301		5200	2	
12050101		5400	2	
12050201		5400	3	
12050301		5400	1	
12060101		5600	1	
12060201		5600	3	
12060301		5600	3	
12070101		5800	3	
12070201		5800	3	
12070301		5800	2	
12080101		6000	3	
12080201		6000	3	
12080301		6000	3	
12010102		4000	1	
12010202		4000	2	
12010302		4000	1	
12020102		4400	1	
12020202		4400	2	
12020302		4400	2	
12030102		4800	2	
12030202		4800	2	
12030302		4800	2	
12040102		5200	1	
12040202		5200	1	
12040302		5200	2	
12050102		5400	3	
12050202		5400	1	
12050302		5400	2	
12060102		5600	3	
12060202		5600	1	
12060302		5600	3	
12070102		5800	3	
12070202		5800	3	
12070302		5800	3	
12080102		6000	3	
12080202		6000	3	
12080302		6000	3	
12020103		4400	2	
12020203		4400	1	
12020303		4400	1	
12030103		4800	1	
12030203		4800	1	
12030303		4800	1	
12040103		5200	2	
12040203		5200	2	
12040303		5200	1	
12050103		5400	1	
12050203		5400	2	
12050303		5400	3	
12060103		5600	3	
12060203		5600	3	
12060303		5600	1	
12070103		5800	2	
12070203		5800	2	
12070303		5800	3	
12080103		6000	3	
12080203		6000	3	
12080303		6000	3	
