GroupId	GroupName	Icon	Desc	PreGroupId	ChallengeNum	BaseStage	StageId[1]	StageId[2]	StageId[3]	FightInfoId[1]	FightInfoId[2]	FightInfoId[3]	TeamFightSeq	LogisticsInfoId[1]	LogisticsInfoId[2]	LogisticsInfoId[3]	GroupOrderId
101	第1战		描述一下		3	12010102	12010101	12010102		12010101	12010102		1|2				1
102	第2战		描述一下	101	3	12010202	12010201	12010202		12010201	12010202		1|2				2
103	第3战		描述一下	102	3	12010302	12010301	12010302		12010301	12010302		1|2				3
201	第1战		描述一下	103	3	12020103	12020101	12020102	12020103	12020101	12020102	12020103	1|2|3				1
202	第2战		描述一下	201	3	12020203	12020201	12020202	12020203	12020201	12020202	12020203	1|2|3				2
203	第3战		描述一下	202	3	12020303	12020301	12020302	12020303	12020301	12020302	12020303	1|2|3				3
301	第1战		描述一下	203	3	12030103	12030101	12030102	12030103	12030101	12030102	12030103	1|2|3				1
302	第2战		描述一下	301	3	12030203	12030201	12030202	12030203	12030201	12030202	12030203	1|2|3				2
303	第3战		描述一下	302	3	12030303	12030301	12030302	12030303	12030301	12030302	12030303	1|2|3				3
401	第1战		描述一下	303	3	12040103	12040101	12040102	12040103	12040101	12040102	12040103	1|2|3				1
402	第2战		描述一下	401	3	12040203	12040201	12040202	12040203	12040201	12040202	12040203	1|2|3				2
403	第3战		描述一下	402	3	12040303	12040301	12040302	12040303	12040301	12040302	12040303	1|2|3				3
501	第1战		描述一下	403	3	12050103	12050101	12050102	12050103	12050101	12050102	12050103	1|2|3				1
502	第2战		描述一下	501	3	12050203	12050201	12050202	12050203	12050201	12050202	12050203	1|2|3				2
503	第3战		描述一下	502	3	12050303	12050301	12050302	12050303	12050301	12050302	12050303	1|2|3				3
601	第1战		描述一下	503	3	12060103	12060101	12060102	12060103	12060101	12060102	12060103	1|2|3				1
602	第2战		描述一下	601	3	12060203	12060201	12060202	12060203	12060201	12060202	12060203	1|2|3				2
603	第3战		描述一下	602	3	12060303	12060301	12060302	12060303	12060301	12060302	12060303	1|2|3				3
701	第1战		描述一下	603	3	12070103	12070101	12070102	12070103	12070101	12070102	12070103	1|2|3				1
702	第2战		描述一下	701	3	12070203	12070201	12070202	12070203	12070201	12070202	12070203	1|2|3				2
703	第3战		描述一下	702	3	12070303	12070301	12070302	12070303	12070301	12070302	12070303	1|2|3				3
801	第1战		描述一下	703	3	12080103	12080101	12080102	12080103	12080101	12080102	12080103	1|2|3				1
802	第2战		描述一下	801	3	12080203	12080201	12080202	12080203	12080201	12080202	12080203	1|2|3				2
803	第3战		描述一下	802	3	12080303	12080301	12080302	12080303	12080301	12080302	12080303	1|2|3				3
