Id	ChapterId	Name	IsBossNode	IsKeyNode	Type	TypeValue	Icon	PreShowId[1]	PreShowId[2]	PreShowId[3]	PreOpenId[1]	PreOpenId[2]	CostEndurance	RewardId	RewardIcon	CharacterIcon	TimeDesc	Posision[1]	Posision[2]	Title	Explain	EnterIco
1	1	M-1	0	1	2	1170111							0			Assets/Product/Texture/Image/Role/RoleHeadGrayRaven.png	6:11			掀开黄金面纱	灰鸦隐匿于黎明前的黑暗，穿过重重沙尘暴，在日出之时踏入名为“黄金之涡”的无人荒漠。	Assets/Product/Texture/Image/UiExplore/UiExplorePlotTab01.png
2	1	M-2	0	0	1	30020101	Assets/Product/Texture/Image/UiExplore/UiExploreFubenNormal1.png	1					4	30020101	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeMoneySp.png	Assets/Product/Texture/Image/Role/RoleHeadGrayRaven.png	6:22	1		首次冲突	和丽芙分开后，灰鸦和黄金之涡的守卫首次爆发冲突。<color=#0e70bd>\n·限制全队战力：3000             ·本关卡所需上阵人数：1人</color>	Assets/Product/Texture/Image/UiExplore/UiExploreBattleTab01.png
3	1	M-3	0	0	2	1170113		2					0			Assets/Product/Texture/Image/Role/RoleHeadGrayRaven.png	6:36			光柱之谜	黄金之涡中心有一座喷涌着“黄金光柱”的建筑群，灰鸦无从知晓它的来历。	Assets/Product/Texture/Image/UiExplore/UiExplorePlotTab01.png
4	1	M-4	0	0	1	30020102	Assets/Product/Texture/Image/UiExplore/UiExploreFubenNormal1.png	3					4	30020102	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeSPSp.png	Assets/Product/Texture/Image/Role/RoleHeadGrayRaven.png	6:47	1		光柱之谜	丽芙离队约三十分钟后，露西亚发现沙雀队员的遗体，她决心要揪出残杀沙雀的凶手。<color=#0e70bd>\n·限制全队战力：3000             ·本关卡所需上阵人数：1人</color>	Assets/Product/Texture/Image/UiExplore/UiExploreBattleTab01.png
5	1	B II-1	0	0	2	1170131		4					0			Assets/Product/Texture/Image/Role/RoleHeadSandSparrow.png	昨日12：45			存在的价值	昨天正午时分，沙雀临时更改任务目标，全体向黄金之涡中心地带转移。	Assets/Product/Texture/Image/UiExplore/UiExplorePlotTab01.png
6	1	B II-2	0	0	1	30020103	Assets/Product/Texture/Image/UiExplore/UiExploreFubenNormal1.png	5					4	30020103	Assets/Product/Texture/Image/IconToolsSp/ItExpI010030Sp.png	Assets/Product/Texture/Image/Role/RoleHeadSandSparrow.png	昨日15：55	1		蹒跚	沙雀在黄沙上耗了近三个小时，总算抵达中心地带外围围墙……<color=#0e70bd>\n·限制全队战力：3000             ·本关卡所需上阵人数：1人</color>	Assets/Product/Texture/Image/UiExplore/UiExploreBattleTab01.png
7	1	B II-3	0	0	1	30020104	Assets/Product/Texture/Image/UiExplore/UiExploreFubenNormal1.png	6					4	30020104	Assets/Product/Texture/Image/IconToolsSp/EGouliangI01001Sp.png	Assets/Product/Texture/Image/Role/RoleHeadSandSparrow.png	昨日17：33	1		夺命桥	沙雀遭到守卫围追堵截，直到傍晚，他们才意识到自己无力继续向前……<color=#0e70bd>\n·限制全队战力：3000             ·本关卡所需上阵人数：1人</color>	Assets/Product/Texture/Image/UiExplore/UiExploreBattleTab01.png
8	1	B II-4	0	0	2	1170134		7					0			Assets/Product/Texture/Image/Role/RoleHeadSandSparrow.png	昨日18：42			贡献	夜幕即将来临，沙雀全体成员似乎都预知了即将到来的命运……	Assets/Product/Texture/Image/UiExplore/UiExplorePlotTab01.png
9	1	M-5	0	0	2	1170115		4			7	21	0			Assets/Product/Texture/Image/Role/RoleHeadGrayRaven.png	6:58			孤鸦	与丽芙的通讯闪断后，里离队寻找丽芙，而露西亚留在指挥官身边。	Assets/Product/Texture/Image/UiExplore/UiExplorePlotTab01.png
10	1	M-6	0	0	1	30020105	Assets/Product/Texture/Image/UiExplore/UiExploreFubenNormal1.png	9					4	30020105	Assets/Product/Texture/Image/IconcurrencySp/IconConsumeSPSp.png	Assets/Product/Texture/Image/Role/RoleHeadGrayRaven.png	7:15	1		密道	在黄金之涡度过第一个小时，队伍只剩下露西亚和指挥官，此时他们被迫退守地下密道。<color=#0e70bd>\n·限制全队战力：3000             ·本关卡所需上阵人数：1人</color>	Assets/Product/Texture/Image/UiExplore/UiExploreBattleTab01.png
