Id	Icon	LinkEffect	ReleaseEffect	ExEffect
102201	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR3Luxiya11.png	FxUiBallLinkRed	FxUi009	FxUijixianshanbi
102202	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR3Luxiya21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
102203	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR3Luxiya31.png	FxUiBallLinkYellow	FxUi009	FxUijixianshanbi
102204	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR3Luxiya41.png		FxUi009	
102205	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR3Luxiya51.png		FxUi009	
101501	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR3Yongyechao11.png	FxUiBallLinkRed	FxUi009	FxUijixianshanbi
101502	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR3Yongyechao21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
101503	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR3Yongyechao31.png	FxUiBallLinkYellow	FxUi009	FxUijixianshanbi
101504	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconRLuxiya41.png		FxUi009	
101505	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR3Yongyechao51.png		FxUi009	
