Id	Icon	LinkEffect	ReleaseEffect	ExEffect
100601	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR2Shenwei11.png	FxUiBallLinkRed	FxUi009	FxUijixianshanbi
100602	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR2Shenwei21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
100603	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR2Shenwei31.png	FxUiBallLinkYellow	FxUi009	FxUijixianshanbi
100604	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconRLuxiya41.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
100605	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconRLuxiya51.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
101101	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR3Liang11.png	FxUiBallLinkRed	FxUi009	FxUijixianshanbi
101102	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR3Liang21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
101103	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR3Liang31.png	FxUiBallLinkYellow	FxUi009	FxUijixianshanbi
101104	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconRLuxiya41.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
101105	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR3Liang51.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
100301	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR1Lifu11.png	FxUiBallLinkRed	FxUi009	FxUijixianshanbi
100302	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR1Lifu21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
100303	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR1Lifu31.png	FxUiBallLinkYellow	FxUi009	FxUijixianshanbi
100304	Assets/Product/Texture/Image/UiFightBallBox/FightSupportSkillIcon.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
100305	Assets/Product/Texture/Image/UiFightBallBox/FightSupSkillIcon.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
102601	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconGeneral11.png	FxUiBallLinkRed	FxUi009	FxUijixianshanbi
102602	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconGeneral21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
102603	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconGeneral31.png	FxUiBallLinkYellow	FxUi009	FxUijixianshanbi
102604		FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
102605		FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
101201	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR2Luxiya11.png	FxUiBallLinkRed	FxUi009	FxUijixianshanbi
101202	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR2Luxiya21.png	FxUiBallLinkBlue	FxUi009	FxUijixianshanbi
101203	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR2Luxiya31.png	FxUiBallLinkYellow	FxUi009	FxUijixianshanbi
