Id	ModelPath	LowModelPath	ControllerPath	DisplayControllerPath	UiDefaultAnimationPath
Mb1BraveMd010011	Assets/Product/Role/CharaterPrefab/Mb1BraveMd010011.prefab		Assets/Product/Role/Animation/Mb1BraveMd010011/Mb1BraveMd010011/Mb1BraveMd010011.controller		Assets/Product/Role/Animation/Mb1BraveMd010011/Mb1BraveMd010011Display/UiStand1.anim
Mb1BravepartMd010011	Assets/Product/Role/CharaterPrefab/Mb1BravepartMd010011.prefab		Assets/Product/Role/Animation/Mb1BravepartMd010011/Mb1BravepartMd010011/Mb1BravepartMd010011.controller		
Mb1CubeMd010001	Assets/Product/Role/CharaterPrefab/Mb1CubeMd010001.prefab		Assets/Product/Role/Animation/Mb1CubeMd010001/Mb1CubeMd010001/Mb1CubeMd010001.controller		
Mb1CubeMd020001	Assets/Product/Role/CharaterPrefab/Mb1CubeMd020001.prefab		Assets/Product/Role/Animation/Mb1CubeMd020001/Mb1CubeMd020001/Mb1CubeMd020001.controller		
Mb1CubeMd050001	Assets/Product/Role/CharaterPrefab/Mb1CubeMd050001.prefab		Assets/Product/Role/Animation/Mb1CubeMd050001/Mb1CubeMd050001/Mb1CubeMd050001.controller		
Mb1CubeMd050003	Assets/Product/Role/CharaterPrefab/Mb1CubeMd050003.prefab		Assets/Product/Role/Animation/Mb1CubeMd050003/Mb1CubeMd050003/Mb1CubeMd050003.controller		
Mb1CubeMd060001	Assets/Product/Role/CharaterPrefab/Mb1CubeMd060001.prefab		Assets/Product/Role/Animation/Mb1CubeMd060001/Mb1CubeMd060001/Mb1CubeMd060001.controller		
Mb1CubeMd060002	Assets/Product/Role/CharaterPrefab/Mb1CubeMd060002.prefab		Assets/Product/Role/Animation/Mb1CubeMd060002/Mb1CubeMd060002/Mb1CubeMd060002.controller		
Mb1CubeMd060003	Assets/Product/Role/CharaterPrefab/Mb1CubeMd060003.prefab				
Mb1CubeMd060005	Assets/Product/Role/CharaterPrefab/Mb1CubeMd060005.prefab		Assets/Product/Role/Animation/Mb1CubeMd060005/Mb1CubeMd060005/Mb1CubeMd060005.controller		
Mb1LadyMd10001	Assets/Product/Role/CharaterPrefab/Mb1LadyMd10001.prefab		Assets/Product/Role/Animation/Mb1LadyMd10001/Mb1LadyMd10001/Mb1LadyMd10001.controller	Assets/Product/Role/Animation/Mb1LadyMd10001/Mb1LadyMd10001Display/Mb1LadyMd10001Display.controller	Assets/Product/Role/Animation/Mb1LadyMd10001/Mb1LadyMd10001Display/UiStand1.anim
Mb1LadyMd10002	Assets/Product/Role/CharaterPrefab/Mb1LadyMd10002.prefab		Assets/Product/Role/Animation/Mb1LadyMd10002/Mb1LadyMd10002/Mb1LadyMd10002.controller	Assets/Product/Role/Animation/Mb1LadyMd10002/Mb1LadyMd10002Display/Mb1LadyMd10002Display.controller	
Mb1LuolanMd010001	Assets/Product/Role/CharaterPrefab/Mb1LuolanMd010001.prefab		Assets/Product/Role/Animation/Mb1LuolanMd010001/Mb1LuolanMd010001/Mb1LuolanMd010001.controller		Assets/Product/Role/Animation/Mb1LuolanMd010001/Mb1LuolanMd010001Display/UiStand1.anim
Mb1LuosaitaMd010001	Assets/Product/Role/CharaterPrefab/Mb1LuosaitaMd010001.prefab		Assets/Product/Role/Animation/Mb1LuosaitaMd010001/Mb1LuosaitaMd010001/Mb1LuosaitaMd010001.controller	Assets/Product/Role/Animation/Mb1LuosaitaMd010001/Mb1LuosaitaMd010001Display/Mb1LuosaitaMd010001Display.controller	Assets/Product/Role/Animation/Mb1LuosaitaMd010001/Mb1LuosaitaMd010001Display/UiStand1.anim
Mb1LuosaitaMd010011	Assets/Product/Role/CharaterPrefab/Mb1LuosaitaMd010011.prefab		Assets/Product/Role/Animation/Mb1LuosaitaMd010001/Mb1LuosaitaMd010001/Mb1LuosaitaMd010001.controller	Assets/Product/Role/Animation/Mb1LuosaitaMd010001/Mb1LuosaitaMd010001Display/Mb1LuosaitaMd010001Display.controller	Assets/Product/Role/Animation/Mb1LuosaitaMd010001/Mb1LuosaitaMd010001Display/UiStand1.anim
Mb1LuosaitaMd010002	Assets/Product/Role/CharaterPrefab/Mb1LuosaitaMd010002.prefab	Assets/Product/Role/CharaterPrefab/Mb1LuosaitaMd010002Low.prefab	Assets/Product/Role/Animation/Mb1LuosaitaMd010002/Mb1LuosaitaMd010002/Mb1LuosaitaMd010002.controller		Assets/Product/Role/Animation/Mb1LuosaitaMd010002/Mb1LuosaitaMd010002Display/UiStand1.anim
Mb1LuxiyaMd000003	Assets/Product/Role/CharaterPrefab/Mb1LuxiyaMd000003.prefab	Assets/Product/Role/CharaterPrefab/Mb1LuxiyaMd000003Low.prefab	Assets/Product/Role/Animation/Mb1LuxiyaMd000003/Mb1LuxiyaMd000003/Mb1LuxiyaMd000003.controller	Assets/Product/Role/Animation/Mb1LuxiyaMd000003/Mb1LuxiyaMd000003Display/Mb1LuxiyaMd000003Display.controller	Assets/Product/Role/Animation/Mb1LuxiyaMd000003/Mb1LuxiyaMd000003Display/UiStand1.anim
