Id	NpcGroupId[1]	NpcGroupId[2]	NpcGroupId[3]	NpcGroupId[4]	NpcGroupId[5]	NpcGroupId[6]	NpcGroupId[7]	NpcGroupId[8]	NpcGroupId[9]	NpcGroupId[10]	NpcGroupId[11]	NpcGroupId[12]	NpcGroupId[13]	NpcGroupId[14]	NpcGroupId[15]	NpcGroupId[16]	NpcGroupId[17]	NpcGroupId[18]	NpcGroupId[19]	NpcGroupId[20]	NpcGroupId[21]	NpcGroupId[22]	NpcGroupId[23]	NpcGroupId[24]	NpcGroupId[25]	NpcGroupId[26]	NpcGroupId[27]	NpcGroupId[28]	NpcGroupId[29]	NpcGroupId[30]	NpcGroupId[31]	NpcGroupId[32]	NpcGroupId[33]	NpcGroupId[34]	NpcGroupId[35]	NpcGroupId[36]	NpcGroupId[37]	NpcGroupId[38]	NpcGroupId[39]	NpcGroupId[40]	NpcGroupId[41]	NpcGroupId[42]	NpcGroupId[43]	NpcGroupId[44]	NpcGroupId[45]	NpcGroupId[46]	NpcGroupId[47]	NpcGroupId[48]	NpcGroupId[49]	NpcGroupId[50]
30080101	800|801|802|803|804|805|806	800|801|802|803|804|805|806	810|811|807|808																																															
30080102	31|32|33|34	31|32|33|34	401|402|411|412|61|62|63|64|65|66|67|68																																															
30080103	301|302|311|312|501|502|511|512|513|601|602|603|611|612|613|901	301|302|311|312|501|502|511|512|513|601|602|603|611|612|613|901	501|502|503|511|512|513|601|602|603|611|612|613|701|702|703|711|712|713	601|611|603|613|703|713|812|813|101	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	501|502|503|511|512|513|601|602|603|611|612|613|701|702|703|711|712|713	601|611|603|613|703|713|812|813|101	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	501|502|503|511|512|513|601|602|603|611|612|613|701|702|703|711|712|713	601|611|603|613|703|713|812|813|101	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	501|502|503|511|512|513|601|602|603|611|612|613|701|702|703|711|712|713	601|611|603|613|703|713|812|813|101	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	501|502|503|511|512|513|601|602|603|611|612|613|701|702|703|711|712|713	601|611|603|613|703|713|812|813|101	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	501|502|503|511|512|513|601|602|603|611|612|613|701|702|703|711|712|713	601|611|603|613|703|713|812|813|101	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	501|502|503|511|512|513|601|602|603|611|612|613|701|702|703|711|712|713	601|611|603|613|703|713|812|813|101	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	501|502|503|511|512|513|601|602|603|611|612|613|701|702|703|711|712|713	601|611|603|613|703|713|812|813|101	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	501|502|503|511|512|513|601|602|603|611|612|613|701|702|703|711|712|713	601|611|603|613|703|713|812|813|101	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	501|502|503|511|512|513|601|602|603|611|612|613|701|702|703|711|712|713	601|611|603|613|703|713|812|813|101	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	501|502|503|511|512|513|601|602|603|611|612|613|701|702|703|711|712|713	601|611|603|613|703|713|812|813|101	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	501|502|503|511|512|513|601|602|603|611|612|613|701|702|703|711|712|713	601|611|603|613|703|713|812|813|101	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901
30080201	800|801|802|803|804|805|806	800|801|802|803|804|805|806	810|811|807|808																																															
30080202	31|32|33|34	31|32|33|34	401|402|411|412|61|62|63|64|65|66|67|68																																															
30080203	301|302|311|312|501|502|511|512|513|601|602|603|611|612|613|901	301|302|311|312|501|502|511|512|513|601|602|603|611|612|613|901	501|502|503|511|512|513|601|602|603|611|612|613|701|702|703|711|712|713	601|611|603|613|703|713|812|813|101	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	501|502|503|511|512|513|601|602|603|611|612|613|701|702|703|711|712|713	601|611|603|613|703|713|812|813|101	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	501|502|503|511|512|513|601|602|603|611|612|613|701|702|703|711|712|713	601|611|603|613|703|713|812|813|101	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	501|502|503|511|512|513|601|602|603|611|612|613|701|702|703|711|712|713	601|611|603|613|703|713|812|813|101	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	501|502|503|511|512|513|601|602|603|611|612|613|701|702|703|711|712|713	601|611|603|613|703|713|812|813|101	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	501|502|503|511|512|513|601|602|603|611|612|613|701|702|703|711|712|713	601|611|603|613|703|713|812|813|101	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	501|502|503|511|512|513|601|602|603|611|612|613|701|702|703|711|712|713	601|611|603|613|703|713|812|813|101	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	501|502|503|511|512|513|601|602|603|611|612|613|701|702|703|711|712|713	601|611|603|613|703|713|812|813|101	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	501|502|503|511|512|513|601|602|603|611|612|613|701|702|703|711|712|713	601|611|603|613|703|713|812|813|101	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	501|502|503|511|512|513|601|602|603|611|612|613|701|702|703|711|712|713	601|611|603|613|703|713|812|813|101	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	501|502|503|511|512|513|601|602|603|611|612|613|701|702|703|711|712|713	601|611|603|613|703|713|812|813|101	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	501|502|503|511|512|513|601|602|603|611|612|613|701|702|703|711|712|713	601|611|603|613|703|713|812|813|101	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901
30080301	800|801|802|803|804|805|806	800|801|802|803|804|805|806	810|811|807|808																																															
30080302	31|32|33|34	31|32|33|34	401|402|411|412|61|62|63|64|65|66|67|68																																															
30080303	301|302|311|312|501|502|511|512|513|601|602|603|611|612|613|901	301|302|311|312|501|502|511|512|513|601|602|603|611|612|613|901	501|502|503|511|512|513|601|602|603|611|612|613|701|702|703|711|712|713	601|611|603|613|703|713|812|813|101	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	501|502|503|511|512|513|601|602|603|611|612|613|701|702|703|711|712|713	601|611|603|613|703|713|812|813|101	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	501|502|503|511|512|513|601|602|603|611|612|613|701|702|703|711|712|713	601|611|603|613|703|713|812|813|101	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	501|502|503|511|512|513|601|602|603|611|612|613|701|702|703|711|712|713	601|611|603|613|703|713|812|813|101	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	501|502|503|511|512|513|601|602|603|611|612|613|701|702|703|711|712|713	601|611|603|613|703|713|812|813|101	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	501|502|503|511|512|513|601|602|603|611|612|613|701|702|703|711|712|713	601|611|603|613|703|713|812|813|101	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	501|502|503|511|512|513|601|602|603|611|612|613|701|702|703|711|712|713	601|611|603|613|703|713|812|813|101	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	501|502|503|511|512|513|601|602|603|611|612|613|701|702|703|711|712|713	601|611|603|613|703|713|812|813|101	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	501|502|503|511|512|513|601|602|603|611|612|613|701|702|703|711|712|713	601|611|603|613|703|713|812|813|101	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	501|502|503|511|512|513|601|602|603|611|612|613|701|702|703|711|712|713	601|611|603|613|703|713|812|813|101	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	501|502|503|511|512|513|601|602|603|611|612|613|701|702|703|711|712|713	601|611|603|613|703|713|812|813|101	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	501|502|503|511|512|513|601|602|603|611|612|613|701|702|703|711|712|713	601|611|603|613|703|713|812|813|101	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901	301|302|311|312|501|502|503|511|512|513|601|602|603|611|612|613|901
30080401	800|801|802|803|804|805|806	800|801|802|803|804|805|806	810|811|807|808																																															
