Id	Name	IsSelect	NpcId[1]	NpcId[2]	NpcId[3]	NpcId[4]	NpcId[5]	NpcId[6]	NpcId[7]	NpcId[8]	NpcId[9]	NpcId[10]
1	修理机工（极限型）	0	92030	91030	90030							
2	地面监视器（极限型）	0	92090	91090	90090							
3	空中监视器（极限型）	0	92100	91100	90100							
4	巡境者（极限型）	0	91110	90110								
5	保护者（极限型）	0	91120									
6	液压（极限型）	0	92150	91150	90150							
7	哨戒机炮（极限型）	0	92160	91160	90160							
8	布道者（极限型）	0	91170									
9	执行者（极限型）	0	91180	90180								
10	园丁（极限型）	0	91210	90210								
11	浪人肆型（极限型）	0	90250									
12	仿生蝾螈（极限型）	0	90260									
13	信使（极限型）	0	90330									
14	禁卫（极限型）	0	90340									
15	消防卫士（极限型）	0	90350									
16	分解者（极限型）	0	90360									
17	遗迹勘探者（极限型）	0	90370									
18	仿生斗牛（极限型）	0	90400									
19	酸液工蚁（极限型）	0	90410									
20	武藏陆型（极限型）	0	90420									
21	武藏玖型（极限型）	0	90430									
22	自律警卫(极限型）	0	90440									
23	武藏玖型	0	81200									
24	喷涂机械	0	81500									
