Id	Name	NpcId[1]	NpcId[2]	NpcId[3]	NpcId[4]	NpcId[5]	NpcId[6]	NpcId[7]	NpcId[8]	NpcId[9]	NpcId[10]	Weight[1]	Weight[2]	Weight[3]	Weight[4]	Weight[5]	Weight[6]	Weight[7]	Weight[8]	Weight[9]	Weight[10]
100	杂兵（近战	92030	92100	92150								100	100	100							
101	杂兵（近战	92090	92160									100	100								
200	普通兵（近战	91030	91100	91120	91150	91180	91210					100	100	100	100	100	100				
201	普通兵（远程	91090	91110	91160	91170							100	100	100	100						
300	精英兵（近战	90210	90250	90330	90340	90350	90360	90430				100	100	100	100	100	100	100			
301	精英兵	90260	90370	90420								100	100	100							
302	大体型精英	90410	90440	90400								100	100	100							
303	杂鱼精英兵近战	90030	90100	90150	90180							100	100	100	100						
304	杂鱼精英兵远程	90090	90110	90160								100	100	100							
400	boss怪	81200	81500									100	100								
