RoleId	Name	RoleStoryIcon	Race	Age	Height	Weight	Wepon	Team	FacePosX	FacePosY
1021001	露西亚	RoleStory.LuxiyaNormal01	构造体|01	17	165	48	太刀	灰鸦小队	562.9	-397.9
1031001	丽芙	RoleStory.LifuNormal01	构造体|09	16	155	43	浮游炮	灰鸦	545.8	-421.7
1011001	里	RoleStory.LiangNomal01	构造体|09	19	178	63	枪	灰鸦	544.4	-341.8
1041001	七实	RoleStory.Yongyechaonormal01	构造体|09	13	145	45	电锯	？？？	475.9	-410.9
1081001	神威	RoleStory.ShenweiNormal01	构造体|11	18	180	65	大剑	突击鹰	506.3	-221.2
1091001	比安卡	RoleStory.OlisuoNomal01	构造体|01	26	170	52	弓	清理部队	476.5	-385.5
1101001	渡边	RoleStory.DubianNormal01	构造体|01	28	184	67	短刀	被遗忘者	443.7	-272.2
1111001	卡列尼娜	RoleStory.KalieninaNomal01	构造体|03	18	160	45	手炮	清理部队	490.5	-400.4
500001	赛利卡	RoleStory.SailikaNomal01	构造体|03	18	160	45	手炮	清理部队	545.8	-421.7
500002	薇拉	RoleStory.SuoleiyouNomal01	构造体|03	18	160	45	手炮	清理部队	545.8	-421.7
500003	八重	RoleStory.BachongNomal01	构造体|03	18	160	45	手炮	清理部队	545.8	-421.7
500004	阿西莫夫	RoleStory.AximofuNomal01	构造体|03	18	160	45	手炮	清理部队	545.8	-421.7
500005	人类士兵	RoleStory.TongyongrenleibingNomal01	构造体|03	18	160	45	手炮	清理部队	545.8	-421.7
500006	被感染的构造体	RoleStory.GanrangouzaotiNomal01	构造体|03	18	160	45	手炮	清理部队	545.8	-421.7
500007	库洛姆	RoleStory.KuluomuNomal01	构造体|03	18	160	45	手炮	清理部队	545.8	-421.7
500008	罗兰	RoleStory.LuolanNomal01	构造体|03	18	160	45	手炮	清理部队	545.8	-421.7
500009	赛利卡2	RoleStory.SailikaNomal01	构造体|03	18	160	45	手炮	清理部队	545.8	-421.7
500010	薇拉2	RoleStory.SuoleiyouNomal01	构造体|03	18	160	45	手炮	清理部队	545.8	-421.7
500011	哈桑	RoleStory.HasangNomal01	构造体|03	18	160	45	手炮	清理部队	545.8	-421.7
500012	尼科拉	RoleStory.NikelaNomal01	构造体|03	18	160	45	手炮	清理部队	507.2	-281.5
500013	通用感染体	RoleStory.TongyongganrantiNomal	构造体|03	18	160	45	手炮	清理部队	545.8	-421.7
500014	卡穆	RoleStory.KamuNomal	构造体|03	18	160	45	手炮	清理部队	545.8	-421.7
500015	提法	RoleStory.TifaNomal01	构造体|03	18	160	45	手炮	清理部队	545.8	-421.7
500016	铁球	RoleStory.TieqiuNomal	构造体|03	18	160	45	手炮	清理部队	545.8	-421.7
