Id	BuffId[1]	BuffId[2]	BuffId[3]	BuffId[4]	BuffId[5]
1	1	2			
2	4	5			
3	7	8			
4	10	11			
5	12	13			
6	7	8			
7	10	11	12		
8	13	9			
1000	10002				
1001	10011				
1002	10021				
1003	10031				
1100	11001	11002	11003		
1103	11031				
1104	11041	11042	11043	11044	11045
1105	11051	11052	11053		
1106	11061	11062	11063		
1113	11131				
1114	11141	11142			
1205	12051	12052	12053		
1213	12131	12132	12133		
1215	12151				
1305	13051				
1307	13071	13072	13073		
1308	13081				
2101	21011				
2112	21121				
2126	21261				
2205	22051				
2206	22061				
2207	22071				
2208	22081				
2209	22091				
2210	22101				
3107	31071				
3200	32001				
3201	32011	32012	32013		
3202	32021	32022	32023		
3203	32031	32032	32033		
3204	32041				
3206	32061	32062	32063		
3207	32071	32072	32073		
3208	32081				
3209	32091				
3210	32101				
3211	32111	32112	32113		
3212	32121				
3213	32131				
3214	32141	32142	32143		
3215	32151				
3216	32161				
3217	32171	32172			
3300	33001				
3302	33021				
3303	33031	33032	33033		
3309	33091				
