Id	Name	Priority	Hint	Condition[1]	Condition[2]	Condition[3]	Type
1	目标	1	1	770100			1
2	预留	2	0				1
3	充值	3	0				1
4	设置	4	0				1
5	签到	4	0	770200			1
6	反馈	6	0				1
7	福利	5	0				1
8	兑换码	6	0				1
101	构造体	7	0				1
102	构造体-晋升	8	1	770300			1
103	构造体-进化	9	1				1
104	构造体-技能	10	1				1
201	装备	11	1				1
202	装备-强化	12	1				1
203	装备-共鸣	13	1				1
204	装备-一键强化	14	1	770400			1
301	仓库	15	1				1
401	研发	16	1	770400			1
402	研发-装备	17	1				1
501	任务	18	1				1
502	任务-剧情	19	1				1
503	任务-每日	20	1	770500			1
504	任务-活动	21	1				1
505	任务-每周	22	1	770500			1
601	战队	23	1				1
602	战队-烙印	24	0	770600			1
603	战队-成就	25	1				1
701	邮件	26	1				1
801	好友	27	1	770700			1
802	频道聊天	28	0	770700			1
901	基建-基地装备	29	0	770800			1
902	宿舍	30	1	770900			1
1001	常规商店	31	1	771000			1
1002	活动商店	37	1	771100			1
1201	派遣	38	0	771200			1
2001	支援系统	39	1	771300			1
10101	普通剧情	40	0				1
10102	隐藏剧情	41	1	771400			1
10103	据点模式	35	1	771500			1
10201	挑战副本	35	0				1
10202	挑战-雷蒙盖顿之书	35	0	771600			1
10203	挑战-幻痛囚笼	35	1	771700			1
10204	挑战-纷争战区	43	1	771800			1
10300	活动简介	44	0				1
10301	活动副本	44	0				1
10302	协同作战	44	1	772000			1
10303	支线活动	44	0	772100			1
10304	活动【深蓝伤痕】	44	0	772200			1
10305	试验区	45	0	772300			1
10306	节日副本活动	46	0	772250			1
10401	资源副本	33	0	772400			1
10402	资源-无1	34	0	772500			1
10403	资源-无2	36	0	772600			1
10404	资源-无3	37	0	772700			1
10406	资源-构造体特训	38	1	772800			1
10407	资源-作战补给	39	1	772900			1
10408	资源-军备突破	40	1	773000			1
10409	资源-后勤保养	41	1	773100			1
10410	资源-螺母大作战	42	1	773200			1
10411	资源-战技演习	46	1	773300			1
1301	赏金任务	47	1	773400			1
1400	信赖度	48	0	773500			1
1401	信赖度-档案	49	0	773600			1
1402	信赖度-剧情	50	0	773700			1
1403	信赖度-礼物	51	0	773800			1
1404	信赖度-偶遇	52	0	773900			1
1501	自定义控件	46	0	774000			1
1601	意识营救战	53	1	774100			1
1701	间章	35	1	774200			1
10405	黄金之涡	54	1	774300			1
105	构造体军团	55	1	774400			1
1800	赛利卡补习班	80	1	774500			1
109001	构造体特训 RS-2	81	1	9001			2
109002	构造体特训 RS-3	82	1	9002			2
109003	构造体特训 RS-4	83	1	9003			2
109101	作战补给 AE-2	84	1	9101			2
109102	作战补给 AE-3	85	1	9102			2
109103	作战补给 AE-4	86	1	9002			2
109201	军备突破 AB-2	87	1	9201			2
109202	军备突破 AB-3	88	1	9202			2
109203	军备突破 AB-4	89	1	9203			2
109301	后勤保养 LM-2	90	1	9101			2
109302	后勤保养 LM-3	91	1	9102			2
109303	后勤保养 LM-4	92	1	9103			2
109401	螺母大作战 NF-2	93	1	9401			2
109402	螺母大作战 NF-3	94	1	9402			2
109403	螺母大作战 NF-4	95	1	9403			2
109501	战技演习 BE-2	96	1	9401			2
109502	战技演习 BE-3	97	1	9402			2
109503	战技演习 BE-4	98	1	9403			2
2100	收藏系统	99	1	774600			1
2101	勋章墙	100	1	774600			1
3000	累计充值	101	0				1
