Id	Type	Title	Desc	Time
1001	1		Warning\ntest1	5
2001	2		Warning\ntest2	6
3001	3		Warning\ntest3	7
5001	4		助战出现\n助战出现	3
1002	1		BOSS出现\nBOSS出现	5
1003	1		你被发现了！\n击败敌人以后再前进吧。	3
1004	1		传送圈已经出现\n走进圈内即可撤离战场	5
1005	1		关卡即将结束！\n在倒计时结束前完成关卡！	5
1006	1		潜行开始！\n不要被敌人发现到达目标！	3
1007	1		坚持45秒！	7
1008	1		破解机关！\n破坏机关，解除激光	3
1009	1		不击败里的情况下击败BOSS	3
1010	1		触碰对应数字的控制台\n按照地板数字的顺序触碰控制台	3
1011	1		击败感染体\n击败场景所有感染体	2
1012	1		剩余5只\n击败场景所有感染体	2
1013	1		剩余4只\n击败场景所有感染体	2
1014	1		剩余3只\n击败场景所有感染体	2
1015	1		剩余2只\n击败场景所有感染体	2
1016	1		剩余1只\n击败场景所有感染体	2
1017	1		成功击败所有感染体！	3
1018	1		BOSS将持续感染锁定目标	3
1019	1		总觉得有哪里不对劲……\n此处似乎有危险	3
1020	1		危险似乎迫近了……\n或许还是离开的好	3
1021	1		你感受到一股危险的气息……\n不要停留，不要停留，不要停留！	3
1022	1		一个黑影带着惊人的气势从前方袭来！\n只能战斗了！	2
1023	1		终于……结束了……	3
1024	1		前方出现高抗性感染体！\n先处理一下周围的杂兵吧	5
1025	1		每击败一只杂兵这里就多个箭头……\n要是箭头排满一圈又会发生什么呢？	3
1026	1		输入正确！	2
1027	1		输入错误！\n敌人被增强了！	2
1028	1		全部正确！\n快点击败敌人完成任务吧！	2
1029	1		没有全对啊……\n小心的击败敌人吧。	2
1030	1		不要让感染体接近大门！\n当前剩余3/3	2
1031	1		有感染体突破了防线！\n<size=27>剩余2/3</size>	2
1032	1		有感染体突破了防线！\n<size=27>剩余1/3</size>	2
1033	1		感染体突破了你的防线！\n<size=27>失败</size>	3
1034	1		击败所有感染体！\n<size=27>测试机体战斗性能</size>	3
1035	1		你已经拥有1个能量桶！	2
1036	1		能量桶填装完毕！	2
1037	1		缺少能量桶，请填装！	2
1038	1		需求状态——空手	2
1039	1		新兵保障系统已启动\n<size=27>指挥官请继续战斗吧</size>	3
1101	1		Warning\n注意新类型感染体	3
1102	1		移动\n前往中央区域	3
546202	1		成功收集50枚螺母！\n通关还需50枚	3
546203	1		成功收集75枚螺母！\n通关还需25枚	3
711101	8	加速	激活	2
711102	8	助战	激活	2
711103	8	削弱	激活	2
711104	8	攻击提升	激活	2
711201	8	减伤	激活	2
711202	8	助跑	激活	2
711203	8	狂化	激活	2
711204	8	援助	激活	2
711301	8	铸能	激活	2
711302	8	动能	激活	2
711303	8	强殖臂	激活	2
711304	8	幸运	激活	2
711401	8	洞察	激活	2
711402	8	铁壁	激活	2
711403	8	奔雷	激活	2
711404	8	不屈	激活	2
901001	1		请在1分钟内造成20000伤害\n目标：驯兽师	3
901002	1		2500伤害达成！\n2500/20000	3
901003	1		5000伤害达成！\n5000/20000	3
901004	1		7500伤害达成！\n7500/20000	3
901005	1		10000伤害达成！\n10000/20000	3
901006	1		12500伤害达成！\n12500/20000	3
901007	1		15000伤害达成！\n15000/20000	3
901008	1		17500伤害达成！\n17500/20000	3
93028	1		<color=#ff5656>敌人已经进入超频状态</color>	2
8110001	1		<color=#ff5656>还有30秒战斗失败</color>	3
8110002	1		<color=#ff5656>战斗失败</color>	3
10010001	1		<color=#ff5656><size=30>不明构造体的攻势突然变得凌厉起来</size></color>	3
999999601	7		造成{0}伤害	99
999999602	8		秒{0}	99
999999603	2		最{0}	99
