Id	BigIconPath	IconPath	LiHuiPath	ModelTransId[1]	ModelTransId[2]	PainterName								
2013001	Assets/Product/Texture/Image/IconTools/E1GunMd030011.png	Assets/Product/Texture/Image/IconToolsSp/E1GunMd030011Sp.png		1010301	1010302	画师1								
2014001	Assets/Product/Texture/Image/IconTools/E2GunMd040011.png	Assets/Product/Texture/Image/IconToolsSp/E2GunMd040011Sp.png		1010401	1010402	画师2								
2015001	Assets/Product/Texture/Image/IconTools/E2GunMd050011.png	Assets/Product/Texture/Image/IconToolsSp/E2GunMd050011Sp.png		1010501	1010502	画师3								
2015002	Assets/Product/Texture/Image/IconTools/E2GunMd060011.png	Assets/Product/Texture/Image/IconToolsSp/E2GunMd060011Sp.png		1010601	1010602	画师4								
2016001	Assets/Product/Texture/Image/IconTools/E3GunMd070011.png	Assets/Product/Texture/Image/IconToolsSp/E3GunMd070011Sp.png		1010701	1010702	画师5								
2016002	Assets/Product/Texture/Image/IconTools/E3GunMd080011.png	Assets/Product/Texture/Image/IconToolsSp/E3GunMd080011Sp.png		1010711	1010712	画师6								
2022001	Assets/Product/Texture/Image/IconTools/E1SwordMd020011.png	Assets/Product/Texture/Image/IconToolsSp/E1SwordMd020011Sp.png		1020201		画师7								
2023001	Assets/Product/Texture/Image/IconTools/E1SwordMd030011.png	Assets/Product/Texture/Image/IconToolsSp/E1SwordMd030011Sp.png		1020301		画师8								
2024001	Assets/Product/Texture/Image/IconTools/E2SwordMd040011.png	Assets/Product/Texture/Image/IconToolsSp/E2SwordMd040011Sp.png		1020401		画师9								
2025001	Assets/Product/Texture/Image/IconTools/E2SwordMd050011.png	Assets/Product/Texture/Image/IconToolsSp/E2SwordMd050011Sp.png		1020501		画师11								
2026001	Assets/Product/Texture/Image/IconTools/E3SwordMd070011.png	Assets/Product/Texture/Image/IconToolsSp/E3SwordMd070011Sp.png		1020701		画师13								
2026002	Assets/Product/Texture/Image/IconTools/E3SwordMd080011.png	Assets/Product/Texture/Image/IconToolsSp/E3SwordMd080011Sp.png		1020711		画师14								
2026003	Assets/Product/Texture/Image/IconTools/E2SwordMd120111.png	Assets/Product/Texture/Image/IconToolsSp/E2SwordMd120111Sp.png		1020721		画师15								
2026004	Assets/Product/Texture/Image/IconTools/E3SwordMd090011.png	Assets/Product/Texture/Image/IconToolsSp/E3SwordMd090011Sp.png		1020731										
2032001	Assets/Product/Texture/Image/IconTools/E1FloatMd020011.png	Assets/Product/Texture/Image/IconToolsSp/E1FloatMd020011Sp.png		1030201	1030202	画师16								
2033001	Assets/Product/Texture/Image/IconTools/E1FloatMd030011.png	Assets/Product/Texture/Image/IconToolsSp/E1FloatMd030011Sp.png		1030301	1030302	画师17								
2034001	Assets/Product/Texture/Image/IconTools/E2FloatMd040011.png	Assets/Product/Texture/Image/IconToolsSp/E2FloatMd040011Sp.png		1030401	1030402	画师18								
2035001	Assets/Product/Texture/Image/IconTools/E2FloatMd050011.png	Assets/Product/Texture/Image/IconToolsSp/E2FloatMd050011Sp.png		1030501	1030502	画师19								
2035002	Assets/Product/Texture/Image/IconTools/E2FloatMd060011.png	Assets/Product/Texture/Image/IconToolsSp/E2FloatMd060011Sp.png		1030601	1030602	画师20								
2036001	Assets/Product/Texture/Image/IconTools/E2FloatMd060011.png	Assets/Product/Texture/Image/IconToolsSp/E2FloatMd060011Sp.png		1030601	1030602	画师21								
2036002	Assets/Product/Texture/Image/IconTools/E3FloatMd080011.png	Assets/Product/Texture/Image/IconToolsSp/E3FloatMd080011Sp.png		1030711	1030712	画师22								
2036003	Assets/Product/Texture/Image/IconTools/E3FloatMd090011.png	Assets/Product/Texture/Image/IconToolsSp/E3FloatMd090011Sp.png		1030721	1030722	画师23								
2043001	Assets/Product/Texture/Image/IconTools/E1BowMd030011.png	Assets/Product/Texture/Image/IconToolsSp/E1BowMd030011Sp.png		1040301		画师24								
2044001	Assets/Product/Texture/Image/IconTools/E2BowMd040011.png	Assets/Product/Texture/Image/IconToolsSp/E2BowMd040011Sp.png		1040401		画师25								
2045001	Assets/Product/Texture/Image/IconTools/E2BowMd050011.png	Assets/Product/Texture/Image/IconToolsSp/E2BowMd050011Sp.png		1040501		画师26								
2045002	Assets/Product/Texture/Image/IconTools/E2BowMd060011.png	Assets/Product/Texture/Image/IconToolsSp/E2BowMd060011Sp.png		1040601		画师27								
2046001	Assets/Product/Texture/Image/IconTools/E3BowMd070011.png	Assets/Product/Texture/Image/IconToolsSp/E3BowMd070011Sp.png		1040701		画师28								
2046002	Assets/Product/Texture/Image/IconTools/E3BowMd080011.png	Assets/Product/Texture/Image/IconToolsSp/E3BowMd080011Sp.png		1040711		画师29								
2053001	Assets/Product/Texture/Image/IconTools/E1SawMd030011.png	Assets/Product/Texture/Image/IconToolsSp/E1SawMd030011Sp.png		1050301		画师30								
2054001	Assets/Product/Texture/Image/IconTools/E2SawMd100011.png	Assets/Product/Texture/Image/IconToolsSp/E2SawMd100011Sp.png		1050401		画师31								
2055001	Assets/Product/Texture/Image/IconTools/E2SawMd050011.png	Assets/Product/Texture/Image/IconToolsSp/E2SawMd050011Sp.png		1050501		画师32								
