TreasureId	RequireStar	RewardId
1001002	12	1001002
1001003	24	1001003
1001004	36	1001004
1002002	12	1002002
1002003	24	1002003
1002004	36	1002004
1003002	12	1003002
1003003	24	1003003
1003004	36	1003004
1004002	12	1004002
1004003	24	1004003
1004004	36	1004004
1005002	12	1005002
1005003	24	1005003
1005004	36	1005004
1006002	12	1006002
1006003	24	1006003
1006004	36	1006004
1007002	12	1007002
1007003	24	1007003
1007004	36	1007004
1008002	12	1008002
1008003	24	1008003
1008004	36	1008004
1101002	6	1101002
1101003	12	1101003
1101004	18	1101004
1102002	6	1102002
1102003	12	1102003
1102004	18	1102004
1103002	6	1103002
1103003	12	1103003
1103004	18	1103004
1104002	6	1104002
1104003	12	1104003
1104004	18	1104004
1105002	6	1105002
1105003	12	1105003
1105004	18	1105004
1106002	6	1106002
1106003	12	1106003
1106004	18	1106004
1107002	6	1107002
1107003	12	1107003
1107004	18	1107004
1108002	6	1108002
1108003	12	1108003
1108004	18	1108004
