ChallengeId	Name	ArenaLv	MinLv	MaxLv	JoinNum	DanUpRank	DanKeepRank	DanDownRank	UpRewardId	KeepRewardId	DownRewardId	DayUnlockNum	AreaId[1]	AreaId[2]	AreaId[3]	AreaId[4]	AreaId[5]	OpenNum	AvgFightTime	FailNormalTime	FailDifficultyTime	BaseTeamRank	DifShowRate
1	预备小队	1	1	54	21	15	21	0	10100	10101	0	1	1	3	4			2	70	150	120	30	75
2	预备小队	1	55	69	21	15	21	0	10103	10104	0	1	1	3	4	5		2	70	150	120	30	75
3	预备小队	1	70	100	21	15	21	0	10106	10107	0	1	1	3	4	5	2	2	70	150	120	30	75
4	侦察小队	2	1	54	18	6	12	18	10109	10110	10111	1	1	3	4			2	70	150	120	30	75
5	侦察小队	2	55	69	18	6	12	18	10112	10113	10114	1	1	3	4	5		2	70	150	120	30	75
6	侦察小队	2	70	100	18	6	15	18	10115	10116	10117	1	1	3	4	5	2	2	70	150	120	30	75
7	先锋小队	3	1	54	15	3	9	15	10118	10119	10120	1	1	3	4			2	70	150	120	30	75
8	先锋小队	3	55	69	18	6	12	18	10121	10122	10123	1	1	3	4	5		2	70	150	120	30	75
9	先锋小队	3	70	100	18	6	15	18	10124	10125	10126	1	1	3	4	5	2	2	70	150	120	30	75
10	尖兵小队	4	1	54	15	0	6	15	0	10128	10129	1	1	3	4			2	70	150	120	30	75
11	尖兵小队	4	55	69	15	3	9	15	10130	10131	10132	1	1	3	4	5		2	70	150	120	30	75
12	尖兵小队	4	70	100	15	3	9	15	10133	10134	10135	1	1	3	4	5	2	2	70	150	120	30	75
13	领袖小队	5	55	69	15	0	6	15	0	10140	10141	1	1	3	4	5		2	70	150	120	30	75
14	领袖小队	5	70	100	15	3	9	15	10142	10143	10144	1	1	3	4	5	2	2	70	150	120	30	75
15	英雄小队	6	70	100	15	0	6	15	0	10152	10153	1	1	3	4	5	2	2	70	150	120	30	75
