Id	SoundType	Desc	Path	Volume	FadeCrossTime	Loop	LoopInterval
1	1	主界面	Bgm/ScMainsceneBG001.mp3	800	3000	1	5000
2	1	登入	Bgm/ScStartceneBG001.mp3	1000	3000	1	5000
3	1	战斗胜利	Bgm/SCVfightBG001.mp3	1000	3000	1	2000
4	1	战斗失败	Bgm/SCVfightBG002.mp3	1000	3000	1	2000
101	1	战斗bgm1	Bgm/ScFightBG001.mp3	800	3000	1	2000
102	1	战斗bgm2	Bgm/ScFightBG002.mp3	800	3000	1	2000
111	1	Bossbgm1	Bgm/ScBossBG001.mp3	1000	3000	1	2000
201	1	剧情音乐1庄重的	Bgm/ScEventBG001.mp3	1000	3000	1	2000
202	1	剧情音乐2严肃的	Bgm/ScEventBG002.mp3	1000	3000	1	2000
501	2	按键点击	SE/UIClickSE001.mp3	1000	0	0	0
502	2	界面展开	0	1000	0	0	0
503	2	界面关闭	0	1000	0	0	0
504	2	点击拦截	SE/UIAlartSE001.mp3	1000	0	0	0
505	2	成功	SE/UISuccessSE001.mp3	1000	0	0	0
506	2	提升	SE/UIFillSE001.mp3	1000	0	0	0
507	2	失败	SE/UICLoseSE001.mp3	1000	0	0	0
508	2	滑动	SE/UIFloatSE001.mp3	1000	0	0	0
509	2	开始	SE/UIFloatSE001.mp3	1000	0	0	0
510	2	界面展开	SE/UIOpenSE001.mp3	1000	0	0	0
511	2	界面关闭	SE/UICLoseSE001.mp3	1000	0	0	0
512	2	跑步	SE/UIFightSteps001.mp3	1000	0	0	0
100001	3	测试	getsaf.mp3	1000	0	0	0
1001	2	单球消球	SE/UIFightBallSE001.mp3	600	0	0	0
1002	2	双球消球	SE/UIFightBallSE002.mp3	600	0	0	0
1003	2	三球消球	SE/UIFightBallSE003.mp3	600	0	0	0
100011	2	露西亚普攻	SE/UIFightSwordNormalSE001.mp3	1000	0	0	0
100012	2	露西亚普攻击中	SE/UIFightSwordNormalSE002.mp3	1000	0	0	0
100013	2	露西亚红球剑	SE/UIFightSwordBallRSE001.mp3	1000	0	0	0
100014	2	露西亚红球剑气	SE/UIFightSwordBallRSE002.mp3	1000	0	0	0
100015	2	露西亚三红球剑	SE/UIFightSwordBallRSE003.mp3	1000	0	0	0
100016	2	露西亚红球剑击中	SE/UIFightSwordBallRSE004.mp3	1000	0	0	0
100017	2	篮球剑阵	SE/UIFightSwordBallBSE001.mp3	800	0	0	0
100018	2	黄球单挑	SE/UIFightSwordBallYSE001.mp3	1000	0	0	0
100019	2	露西亚爆发	SE/UIFightSwordBustSE001.mp3	1000	0	0	0
100031	2	丽芙小机器人	SE/UIFightFloatNormalSE001.mp3	1000	0	0	0
100032	2	丽芙红激光炮	SE/UIFightFloatBallRSE001.mp3	1000	0	0	0
100033	2	丽芙蓝电磁扩散	SE/UIFightFloatBallBSE001.mp3	1000	0	0	0
100034	2	丽芙蓝电磁受击	SE/UIFightFloatBallBSE002.mp3	1000	0	0	0
100035	2	丽芙黄黑洞	SE/UIFightFloatBallYSE001.mp3	1000	0	0	0
100036	2	丽芙爆发	SE/UIFightFloatBustSE001.mp3	800	0	0	0
100051	2	七实普攻1	SE/UIFightSawNormalSE001.mp3	1000	0	0	0
100052	2	七实普攻2	SE/UIFightSawNormalSE002.mp3	1000	0	0	0
100053	2	七实普攻3	SE/UIFightSawNormalSE003.mp3	1000	0	0	0
100054	2	七实普攻4	SE/UIFightSawNormalSE004.mp3	1000	0	0	0
100055	2	七实红球	SE/UIFightSawBallRSE001.mp3	1000	0	0	0
100056	2	七实黄球1	SE/UIFightSawBallYSE001.mp3	1000	0	0	0
100057	2	七实黄球2	SE/UIFightSawBallYSE002.mp3	1000	0	0	0
100058	2	七实黄球3	SE/UIFightSawBallYSE003.mp3	1000	0	0	0
100059	2	七实黄球受击	SE/UIFightSawBallYSE004.mp3	1000	0	0	0
100060	2	七实爆发	SE/UIFightSawBustSE001.mp3	1000	0	0	0
100061	2	七实红球受击	SE/UIFightSawBallRSE002.mp3	1000	0	0	0
100062	2	七实蓝球	SE/UIFightSawBallBSE001.mp3	1000	0	0	0
100071	2	里普攻1	SE/UIFightGunNormalSE001.mp3	1000	0	0	0
100079	2	里普攻2	SE/UIFightGunNormalSE002.mp3	1000	0	0	0
100080	2	里普攻3	SE/UIFightGunNormalSE003.mp3	1000	0	0	0
100081	2	里普攻4	SE/UIFightGunNormalSE004.mp3	1000	0	0	0
100072	2	里普攻受击	SE/UIFightGunNormalSE005.mp3	1000	0	0	0
100073	2	里红球1	SE/UIFightGunBallRSE001.mp3	1000	0	0	0
100074	2	里红球2	SE/UIFightGunBallRSE002.mp3	1000	0	0	0
100075	2	里红球3	SE/UIFightGunBallRSE003.mp3	1000	0	0	0
100076	2	里红球爆炸受击	SE/UIFightGunBallRSE004.mp3	1000	0	0	0
100077	2	里蓝球爆裂弹	SE/UIFightGunBallBSE001.mp3	1000	0	0	0
100078	2	里黄球燃烧弹	SE/UIFightGunBallYSE001.mp3	1000	0	0	0
100091	2	比安卡普攻	SE/UIFightBowNormalSE001.mp3	1000	0	0	0
100092	2	比安卡普攻集中	SE/UIFightBowNormalSE002.mp3	1000	0	0	0
100093	2	比安卡红1	SE/UIFightBowBallRSE001.mp3	1000	0	0	0
100094	2	比安卡红2	SE/UIFightBowBallRSE002.mp3	1000	0	0	0
100095	2	比安卡红3	SE/UIFightBowBallRSE003.mp3	1000	0	0	0
100096	2	比安卡红受击	SE/UIFightBowBallRSE004.mp3	1000	0	0	0
100097	2	比安卡黄	SE/UIFightBowBallYSE001.mp3	1000	0	0	0
100098	2	比安卡蓝蓄	SE/UIFightBowBallBSE001.mp3	1000	0	0	0
100099	2	比安卡蓝维	SE/UIFightBowBallBSE002.mp3	1000	0	0	0
100100	2	比安卡爆发	SE/UIFightBowBustSE001.mp3	1000	0	0	0
90000	2	攻击前提示	SE/UIFightSE001.mp3	500000	0	0	0
