Id	Name	TaskPoolId	Quality	RandomWeight	ShowId	DropId	RewardId	Duration	Priority	ExtraRewardId	ExtraRewardConditionId	ConditionList[1]	ConditionList[2]	MemberCount
10101	5星基地装备	1	5	50	201	9011	201	32400	10000	2001	18106001	18108001		3
10102	5星基地装备	1	5	50	201	9011	201	32400	9999	2001	18106001	18108001		3
10103	5星基地装备	1	5	50	201	9011	201	32400	9998	2001	18106001	18108006		3
10104	5星基地装备	1	5	50	201	9011	201	32400	9997	2001	18106001	18108010		3
10105	5星基地装备	1	5	50	201	9011	201	32400	9996	2001	18109001	18108014	18106001	2
10106	5星基地装备	1	5	50	201	9011	201	32400	9995	2001	18110001	18108018	18109001	2
10107	5星基地装备	1	5	50	201	9011	201	32400	9994	2001	18105001	18108022	18110001	2
10108	5星基地装备	1	5	50	201	9011	201	32400	9993	2001	18107001	18108026	18105001	2
10109	5星基地装备	1	5	50	201	9011	201	32400	9992	2001	18105001	18108030	18107001	2
10110	5星基地装备	1	5	50	201	9011	201	32400	9991	2001	18105001	18108034	18107005	2
10201	4星基地装备	1	4	100	201	9011	201	28800	9990	2002	18106002	18108002		2
10202	4星基地装备	1	4	100	201	9011	201	28800	9989	2002	18106002	18108002		2
10203	4星基地装备	1	4	100	201	9011	201	28800	9988	2002	18106002	18108007		2
10204	4星基地装备	1	4	100	201	9011	201	28800	9987	2002	18106002	18108011		2
10205	4星基地装备	1	4	100	201	9011	201	28800	9986	2002	18109002	18108015	18106002	2
10206	4星基地装备	1	4	100	201	9011	201	28800	9985	2002	18110002	18108019	18109002	2
10207	4星基地装备	1	4	100	201	9011	201	28800	9984	2002	18105002	18108023	18110002	2
10208	4星基地装备	1	4	100	201	9011	201	28800	9983	2002	18107002	18108027	18105002	2
10209	4星基地装备	1	4	100	201	9011	201	28800	9982	2002	18105002	18108031	18107002	2
10210	4星基地装备	1	4	100	201	9011	201	28800	9981	2002	18105002	18108035	18107006	2
10301	3星基地装备	1	3	100	201	9011	201	21600	9980	2003	18106003	18108003		2
10302	3星基地装备	1	3	100	201	9011	201	21600	9979	2003	18106003	18108003		2
10303	3星基地装备	1	3	100	201	9011	201	21600	9978	2003	18106003	18108008		2
10304	3星基地装备	1	3	100	201	9011	201	21600	9977	2003	18106003	18108012		2
10305	3星基地装备	1	3	100	201	9011	201	21600	9976	2003	18109003	18108016	18106003	2
