Id	AttribId	PromotedId	Kind	Type	Name	MoveUseFaceDir	HasRunTilt	HeadImageName	OnlinePortrait	EnergyBar	SPPrefab	ModelId	BaseHeight	BodyRadius	CameraCollideRadius	HitRadius	IgnoreCollisionToNpc	IgnoreCollisionFromNpc	ModelScale	EffectScale	MissileScale	BossHp	HpWdigetCount	HpWidgetHeight	HpWidgetType	RollCharHeight	HitDownTime	FallDownTime	LieOnFloorTime	StandUpTime	StandUpImmuneHitTime	MaxHitValue	BeHitInterval	Ball	RandomBall	AttackSkillId	DodgeSkillId	NoThreat	NotToThreatTarget	BornTime	DeathTime	HasRunToStand	HasRunStart	HasStandTransition	CollisionPriority	AttackIconImage	DodgeIconImage	ExSkillIconImage	UseShadowMesh	ShadowQuadScale	DeathMagic[1]	DeathMagic[2]	DeathMagic[3]	DeathMagic[4]	RobotBornMagic[1]	BornMagic[1]	BornMagic[2]	BornMagic[3]	BornMagic[4]	BornMagic[5]	BornMagic[6]	BornMagic[7]	BornMagic[8]	BornMagic[9]	BornMagic[10]	BornMagic[11]	BornMagic[12]	SkillId[1]	SkillId[2]	SkillId[3]	SkillId[4]	SkillId[5]	SkillId[6]	SkillId[7]	SkillId[8]	SkillId[9]	SkillId[10]	SkillId[11]	SkillId[12]	SkillId[13]	SkillId[14]	SkillId[15]	SkillId[16]	SkillId[17]	SkillId[18]	SkillId[19]	SkillId[20]	SkillId[21]	SkillId[22]	SkillId[23]	SkillId[24]	SkillId[25]	SkillId[26]	SkillId[27]	SkillId[28]	SkillId[29]	SkillId[30]	SkillId[31]	SkillId[32]	SkillId[33]	SkillId[34]	SkillId[35]	SkillId[36]	SkillId[37]	SkillId[38]	SkillId[39]	SkillId[40]	SkillId[41]	SkillId[42]	SkillId[43]	SkillId[44]	SkillId[45]	SkillId[46]	SkillId[47]	SkillId[48]	SkillId[49]	SkillId[50]	SkillId[51]	SkillId[52]	SkillId[53]	SkillId[54]	SkillId[55]	SkillId[56]	SkillId[57]	SkillId[58]	SkillId[59]	SkillId[60]	SkillId[61]	SkillId[62]	SkillId[63]	SkillId[64]	SkillId[65]	SkillId[66]	SkillId[67]	SkillId[68]	SkillId[69]	SkillId[70]	SkillId[71]	SkillId[72]	SkillId[73]	SkillId[74]	SkillId[75]	SkillId[76]	SkillId[77]	SkillId[78]	SkillId[79]	SkillId[80]	SkillId[81]	SkillId[82]	SkillId[83]	SkillId[84]	SkillId[85]	SkillId[86]	SkillId[87]	SkillId[88]	SkillId[89]	SkillId[90]	SkillId[91]	SkillId[92]	SkillId[93]	SkillId[94]	SkillId[95]	SkillId[96]	SkillId[97]	SkillId[98]	SkillId[99]	SkillId[100]
10110021	101021	101021	1001	1	里-B	1	1	Assets/Product/Texture/Image/Role/RoleHeadLi3.png	Assets/Product/Texture/Image/Role/RoleHeadLi.png			R2LiangMd010011		0.3		0.1	0	0	1	1		0	1	0.8	1	1	1.1	0.6	0.2	0.45	0.45	10	0	1#100101|2#100102|3#100103|4#100104|5#100105	1#1#15|2#1#15|3#1#15		100101			3.05	1.5	1	1	1	3	Assets/Product/Texture/Image/UiFightBallBox/FightIconGun.png	Assets/Product/Texture/Image/UiFightBallBox/FightIconDoge1.png	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR2Li51.png		0.3					7002	1001	100050	100051	100054	100074								100101	100102	100103	100104	100105	100106	100107	100108	100109	100110	100111	100112	100113	100114	100115	100116	100117	100118	100119	100120	100121	100122	100123	100124	100125	100126																																																																										
10110022	101022	101022	1001	1	里-A	1	1	Assets/Product/Texture/Image/Role/RoleHeadLi3.png	Assets/Product/Texture/Image/Role/RoleHeadLi.png			R2LiangMd010011		0.3		0.1	0	0	1	1		0	1	0.8	1	1	1.1	0.6	0.2	0.45	0.45	10	0	1#100101|2#100102|3#100103|4#100104|5#100105	1#1#15|2#1#15|3#1#15		100101			3.05	1.5	1	1	1	3	Assets/Product/Texture/Image/UiFightBallBox/FightIconGun.png	Assets/Product/Texture/Image/UiFightBallBox/FightIconDoge1.png	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR2Li51.png		0.3					7002	1001	100050	100051	100054	100074								100101	100102	100103	100104	100105	100106	100107	100108	100109	100110	100111	100112	100113	100114	100115	100116	100117	100118	100119	100120	100121	100122	100123	100124	100125	100126																																																																										
10110023	101023	101023	1001	1	里-S	1	1	Assets/Product/Texture/Image/Role/RoleHeadLi3.png	Assets/Product/Texture/Image/Role/RoleHeadLi.png			R2LiangMd010011		0.3		0.1	0	0	1	1		0	1	0.8	1	1	1.1	0.6	0.2	0.45	0.45	10	0	1#100101|2#100102|3#100103|4#100104|5#100105	1#1#15|2#1#15|3#1#15		100101			3.05	1.5	1	1	1	3	Assets/Product/Texture/Image/UiFightBallBox/FightIconGun.png	Assets/Product/Texture/Image/UiFightBallBox/FightIconDoge1.png	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR2Li51.png		0.3					7002	1001	100050	100051	100054	100074								100101	100102	100103	100104	100105	100106	100107	100108	100109	100110	100111	100112	100113	100114	100115	100116	100117	100118	100119	100120	100121	100122	100123	100124	100125	100126																																																																										
10110024	101024	101024	1001	1	里-SS	1	1	Assets/Product/Texture/Image/Role/RoleHeadLi3.png	Assets/Product/Texture/Image/Role/RoleHeadLi.png			R2LiangMd010011		0.3		0.1	0	0	1	1		0	1	0.8	1	1	1.1	0.6	0.2	0.45	0.45	10	0	1#100101|2#100102|3#100103|4#100104|5#100105	1#1#15|2#1#15|3#1#15		100101			3.05	1.5	1	1	1	3	Assets/Product/Texture/Image/UiFightBallBox/FightIconGun.png	Assets/Product/Texture/Image/UiFightBallBox/FightIconDoge1.png	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR2Li51.png		0.3					7002	1001	100050	100051	100054	100074								100101	100102	100103	100104	100105	100106	100107	100108	100109	100110	100111	100112	100113	100114	100115	100116	100117	100118	100119	100120	100121	100122	100123	100124	100125	100126																																																																										
10110025	101025	101025	1001	1	里-SSS	1	1	Assets/Product/Texture/Image/Role/RoleHeadLi3.png	Assets/Product/Texture/Image/Role/RoleHeadLi.png			R2LiangMd010011		0.3		0.1	0	0	1	1		0	1	0.8	1	1	1.1	0.6	0.2	0.45	0.45	10	0	1#100101|2#100102|3#100103|4#100104|5#100105	1#1#15|2#1#15|3#1#15		100101			3.05	1.5	1	1	1	3	Assets/Product/Texture/Image/UiFightBallBox/FightIconGun.png	Assets/Product/Texture/Image/UiFightBallBox/FightIconDoge1.png	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR2Li51.png		0.3					7002	1001	100050	100051	100054	100074								100101	100102	100103	100104	100105	100106	100107	100108	100109	100110	100111	100112	100113	100114	100115	100116	100117	100118	100119	100120	100121	100122	100123	100124	100125	100126																																																																										
10110026	101026	101026	1001	1	里-SSS+	1	1	Assets/Product/Texture/Image/Role/RoleHeadLi3.png	Assets/Product/Texture/Image/Role/RoleHeadLi.png			R2LiangMd010011		0.3		0.1	0	0	1	1		0	1	0.8	1	1	1.1	0.6	0.2	0.45	0.45	10	0	1#100101|2#100102|3#100103|4#100104|5#100105	1#1#15|2#1#15|3#1#15		100101			3.05	1.5	1	1	1	3	Assets/Product/Texture/Image/UiFightBallBox/FightIconGun.png	Assets/Product/Texture/Image/UiFightBallBox/FightIconDoge1.png	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR2Li51.png		0.3					7002	1001	100050	100051	100054	100074								100101	100102	100103	100104	100105	100106	100107	100108	100109	100110	100111	100112	100113	100114	100115	100116	100117	100118	100119	100120	100121	100122	100123	100124	100125	100126																																																																										
10210011	102011	102011	1002	1	露西亚-B	1	1	Assets/Product/Texture/Image/Role/RoleHeadluxiya3.png	Assets/Product/Texture/Image/Role/RoleHeadluxiya.png	Assets/Product/Ui/UiFightPrefab/EnergyBar/EnergyR1Luxiya.prefab		R1LuxiyaMd010011		0.3		0.1	0	0	1	1		0	1	0.8	1	1	1.2	0.8	0.2	0.65	0.65	10	0	1#100201|2#100202|3#100203|4#100204|5#100205	1#1#15|2#1#15|3#1#15		100201			3.7	1.7	1	1	1	3	Assets/Product/Texture/Image/UiFightBallBox/FightIconSword.png	Assets/Product/Texture/Image/UiFightBallBox/FightIconDoge1.png	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR1Luxiya51.png		0.3					7002	1002	100050	100051	100054	100074								100201	100202	100203	100204	100205	100206	100207	100208	100209	100210	100211	100212	100213	100214	100215	100216	100217	100218	100219	100220	100221	100222	100223	100224	100225	100226	100227	100228	100229	100230	100231	100232																																																																				
10210012	102012	102012	1002	1	露西亚-A	1	1	Assets/Product/Texture/Image/Role/RoleHeadluxiya3.png	Assets/Product/Texture/Image/Role/RoleHeadluxiya.png	Assets/Product/Ui/UiFightPrefab/EnergyBar/EnergyR1Luxiya.prefab		R1LuxiyaMd010011		0.3		0.1	0	0	1	1		0	1	0.8	1	1	1.2	0.8	0.2	0.65	0.65	10	0	1#100201|2#100202|3#100203|4#100204|5#100205	1#1#15|2#1#15|3#1#15		100201			3.7	1.7	1	1	1	3	Assets/Product/Texture/Image/UiFightBallBox/FightIconSword.png	Assets/Product/Texture/Image/UiFightBallBox/FightIconDoge1.png	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR1Luxiya51.png		0.3					7002	1002	100050	100051	100054	100074								100201	100202	100203	100204	100205	100206	100207	100208	100209	100210	100211	100212	100213	100214	100215	100216	100217	100218	100219	100220	100221	100222	100223	100224	100225	100226	100227	100228	100229	100230	100231	100232																																																																				
10210013	102013	102013	1002	1	露西亚-S	1	1	Assets/Product/Texture/Image/Role/RoleHeadluxiya3.png	Assets/Product/Texture/Image/Role/RoleHeadluxiya.png	Assets/Product/Ui/UiFightPrefab/EnergyBar/EnergyR1Luxiya.prefab		R1LuxiyaMd010011		0.3		0.1	0	0	1	1		0	1	0.8	1	1	1.2	0.8	0.2	0.65	0.65	10	0	1#100201|2#100202|3#100203|4#100204|5#100205	1#1#15|2#1#15|3#1#15		100201			3.7	1.7	1	1	1	3	Assets/Product/Texture/Image/UiFightBallBox/FightIconSword.png	Assets/Product/Texture/Image/UiFightBallBox/FightIconDoge1.png	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR1Luxiya51.png		0.3					7002	1002	100050	100051	100054	100074								100201	100202	100203	100204	100205	100206	100207	100208	100209	100210	100211	100212	100213	100214	100215	100216	100217	100218	100219	100220	100221	100222	100223	100224	100225	100226	100227	100228	100229	100230	100231	100232																																																																				
10210014	102014	102014	1002	1	露西亚-SS	1	1	Assets/Product/Texture/Image/Role/RoleHeadluxiya3.png	Assets/Product/Texture/Image/Role/RoleHeadluxiya.png	Assets/Product/Ui/UiFightPrefab/EnergyBar/EnergyR1Luxiya.prefab		R1LuxiyaMd010011		0.3		0.1	0	0	1	1		0	1	0.8	1	1	1.2	0.8	0.2	0.65	0.65	10	0	1#100201|2#100202|3#100203|4#100204|5#100205	1#1#15|2#1#15|3#1#15		100201			3.7	1.7	1	1	1	3	Assets/Product/Texture/Image/UiFightBallBox/FightIconSword.png	Assets/Product/Texture/Image/UiFightBallBox/FightIconDoge1.png	Assets/Product/Texture/Image/UiFightBallBox/FightSkillIconR1Luxiya51.png		0.3					7002	1002	100050	100051	100054	100074								100201	100202	100203	100204	100205	100206	100207	100208	100209	100210	100211	100212	100213	100214	100215	100216	100217	100218	100219	100220	100221	100222	100223	100224	100225	100226	100227	100228	100229	100230	100231	100232																																																																				
