Id	AttribId	PromotedId	Kind	Type	Name	MoveUseFaceDir	HasRunTilt	HeadImageName	OnlinePortrait	EnergyBar	SPPrefab	ModelId	BodyRadius	CameraCollideRadius	HitRadius	IgnoreCollisionToNpc	IgnoreCollisionFromNpc	ModelScale	EffectScale	MissileScale	BossHp	HpWdigetCount	HpWidgetHeight	HpWidgetType	RollCharHeight	HitDownTime	FallDownTime	LieOnFloorTime	StandUpTime	StandUpImmuneHitTime	MaxHitValue	BeHitInterval	Ball	RandomBall	AttackSkillId	DodgeSkillId	NoThreat	NotToThreatTarget	BornTime	DeathTime	HasRunToStand	HasRunStart	HasStandTransition	CollisionPriority	AttackIconImage	DodgeIconImage	ExSkillIconImage	UseShadowMesh	ShadowQuadScale	DeathMagic[1]	DeathMagic[2]	DeathMagic[3]	DeathMagic[4]	RobotBornMagic[1]	BornMagic[1]	BornMagic[2]	BornMagic[3]	BornMagic[4]	BornMagic[5]	BornMagic[6]	BornMagic[7]	BornMagic[8]	BornMagic[9]	BornMagic[10]	BornMagic[11]	BornMagic[12]	SkillId[1]	SkillId[2]	SkillId[3]	SkillId[4]	SkillId[5]	SkillId[6]	SkillId[7]	SkillId[8]	SkillId[9]	SkillId[10]	SkillId[11]	SkillId[12]	SkillId[13]	SkillId[14]	SkillId[15]	SkillId[16]	SkillId[17]	SkillId[18]	SkillId[19]	SkillId[20]	SkillId[21]	SkillId[22]	SkillId[23]	SkillId[24]	SkillId[25]	SkillId[26]	SkillId[27]	SkillId[28]	SkillId[29]	SkillId[30]	SkillId[31]	SkillId[32]	SkillId[33]	SkillId[34]	SkillId[35]	SkillId[36]	SkillId[37]	SkillId[38]	SkillId[39]	SkillId[40]	SkillId[41]	SkillId[42]	SkillId[43]	SkillId[44]	SkillId[45]	SkillId[46]	SkillId[47]	SkillId[48]	SkillId[49]	SkillId[50]	SkillId[51]	SkillId[52]	SkillId[53]	SkillId[54]	SkillId[55]	SkillId[56]	SkillId[57]	SkillId[58]	SkillId[59]	SkillId[60]	SkillId[61]	SkillId[62]	SkillId[63]	SkillId[64]	SkillId[65]	SkillId[66]	SkillId[67]	SkillId[68]	SkillId[69]	SkillId[70]	SkillId[71]	SkillId[72]	SkillId[73]	SkillId[74]	SkillId[75]	SkillId[76]	SkillId[77]	SkillId[78]	SkillId[79]	SkillId[80]	SkillId[81]	SkillId[82]	SkillId[83]	SkillId[84]	SkillId[85]	SkillId[86]	SkillId[87]	SkillId[88]	SkillId[89]	SkillId[90]	SkillId[91]	SkillId[92]	SkillId[93]	SkillId[94]	SkillId[95]	SkillId[96]	SkillId[97]	SkillId[98]	SkillId[99]	SkillId[100]
9003	2		3	2	扳手机械（精英级）							Mo1BraveMd010031	0.7	0.7				1.3	1		0	5	0.8	2	1.5	0.55	0.3	0	1.23	0.3	10								1.2	0.05	0			3					0.7	90030098	90030096	90030094	90030092		9003	900007	900008	100027	900011	900051							900301	900302	900303	900304	900305	900306																																																																																														
9009	2		2	1	通讯掩护（精英级）							Mo1BraveMd030011	1	1				1	1		0	5	1	2	1.5	1	0.3		1.55	0.3	10								1.2	0.05	0			3					1	90090098	90090096	90090094	90090092		9009	900007	900008	100027	900011	900051							900901	900902																																																																																																		
9010	2			1	侦查机（精英级）							Mo1BioMd010041	1	1				1	1		0	5	0.8	2	1.5	0.65	0.3		0.85	0.3	10								1.2	0.05	0			3					1	90100098	90100096	90100094	90100092		9010	900007	900008	100027	900011	900051							901001	901002																																																																																																		
9011	2			2	重构射击手（精英级）							Me1BioMd030061	1	1				0.8	1		0	5	1.1	2	1.5	0.7	0.3		0.95	0.3	10								1.2	0.05	0			3					1	90110098	90110096	90110094	90110092		9011	900007	900008	100027	900011	900051							901101	901102	901103																																																																																																	
9012	2			2	半身爬行者（精英级）							Mo1ArmorMd010081	1.3	1.3				1	1		0	5	1.1	2	1.5	1.15	0.3		1.55	0.3	10								1.2	0.05	0			3					1.3	90120098	90120096	90120094	90120092		9012	900007	900008	100027	900011	900051							901201	901202	901203																																																																																																	
9013	2			3	野猪骑士（精英级）							Me1BraveMd020021	1.7	1.7				1.5	1		0	5	0.8	2	1.5	0.9	0.3		0.85	0.3	10								1.2	0.05	0			3					1.7	90130098	90130096	90130094	90130092		9013	900007	900008	100027	900011	900051	730061						901301	901302	901303	901304																																																																																																
9014	2		2	1	自走雷虫（精英级）							Mo1BraveMd010101	0.6	0.6				1	1		0	5	0.8	2	1.5	0.85	0.3		0.75	0.3	10								1.2	0.05	0			3					0.6						9014	900008	100027	900011	900051								901401	901402																																																																																																		
9015	2			1	追踪者（精英级）							Mo1ArmorMd010111	1.2	1.2				1	1		0	5	1.1	2	1.5	0.65	0.3		0.7	0.3	10								1.2	0.05	0			3					1.2	90150098	90150096	90150094	90150092		9015	900007	900008	100027	900011	900051	730061						901501	901502	901503	901504	901505																																																																																															
9016	2			1	重构保安（精英级）							Mo1BioMd030051	0.8	0.8				1.5	1		0	5	0.8	2	1.5	0.65	0.3		1.65	0.3	10								1.2	0.05	0			3					0.8	90160098	90160096	90160094	90160092		9016	900007	900008	100027	900011	900051							901601	901602																																																																																																		
9017	2		2	2	重构演出者（精英级）							Mo1BioMd010141	0.5	0.5				1	1		0	5	0.8	2	1.5	0.8	0.3		1.45	0.3	10								1.2	0.05	0			3					0.5	90170098	90170096	90170094	90170092		9017	900007	900008	100027	900011	900051							901701	901702	901703	901704	901705	901706																																																																																														
