Key	Type	Value
ItemIdRange	int	99999
CharacterIdRange	int	1999999
PartIdRange	int	5999999
PlayerChangeNameInterval	int	86400
ItemAutoIncrementInterval	int	30000
EquipMinCritProb	int	0
EquipMinCritMultiple	float	1.5
EquipMaxCritProb	int	0
EquipMaxCritMultiple	float	2
EquipExpInheritPercent	int	100
MinResonanceBindStar	int	6
EquipTransformChipUseCount	int	3
EquipDecomposeReturnRate	int	7000
FubenDifficultNormal	int	1
FubenDifficultHard	int	2
FubenDifficultNightmare	int	3
FubenStageStarNum	int	3
FubenNotGetTreasure	int	0
FubenGetTreasure	int	1
FubenTypeMainLine	int	1
FubenTypeChallenge	int	2
FubenTypeActivity	int	3
FubenTypeTower	int	4
FubenMaxRecordPlayerNum	int	10
TypeIdMainLine	int	10
TypeIdBossSingle	int	11
TypeIdExplore	int	12
TypeIdUnionFight	int	40
TeamMaxPos	int	3
AssistTypePasser	int	1
AssistTypeFriend	int	2
AssistTypeLegion	int	3
AssistTypeRobot	int	4
AssistPasserWeight	int	30
AssistFriendWeight	int	70
AssistLegionWeight	int	0
AssistFriendCdTime	int	3600
AssistLegionCdTime	int	3600
AssistPasserCdTime	int	120
UseAssistCount	int	999
AssistOwnMaxNum	int	5
AssistOtherMaxNum	int	5
AssistCdTime	int	3600
QualityIconCommon	string	Common.CommonProp
QualityIconColor1	string	Assets/Product/Texture/Atlas/Common/CommonEquipWhite.png
QualityIconColor2	string	Assets/Product/Texture/Atlas/Common/CommonEquipGreen.png
QualityIconColor3	string	Assets/Product/Texture/Atlas/Common/CommonEquipBlue.png
QualityIconColor4	string	Assets/Product/Texture/Atlas/Common/CommonEquipPurple.png
QualityIconColor5	string	Assets/Product/Texture/Atlas/Common/CommonEquipGold.png
QualityIconColor6	string	Assets/Product/Texture/Atlas/Common/CommonEquipRed.png
QualityIconColor7	string	Assets/Product/Texture/Atlas/Common/CommonEquipRed.png
StoryPlayTimeOneToFive	float	0.3
StoryPlayTimeSixToTen	float	0.5
StoryPlayTimeEleToTwe	float	1
StoryPlayTimeTweoToThi	float	1.5
StoryPlayTimeThioToFot	float	2
StoryPlayTimeFotoToFif	float	2
StoryPlayAutoStopTime	float	0.5
PlayerMinLevel	int	1
PlayerMaxLevel	int	100
BuyAssetCoinBase	int	9915
BuyAssetCoinMul	int	85
BuyAssetCoinCritProb	int	1000
BuyAssetCoinCritMul	int	15000
MailTypeSystem	int	1
MailTypeGm	int	2
MailStatusUnread	int	1
MailStatusRead	int	2
MailStatusGetReward	int	3
MailStatusDelete	int	4
InstanceMaxStar	int	3
EquipWeaponMaxCount	int	300
EquipReformMinQuality	int	4
EquipChipMaxCount	int	500
DailyResetTimestamp	int	18000
DayOfWeeklyReset	int	1
GlobalTimeZone	int	8
PlayerInitialName	string	指挥官
MailDefaultSendName	string	灰鸦小队战场支援部
MailCountLimit	int	100
FriendApplyIntervalHour	int	12
FriendRefuseApplyIntervalSecond	int	3600
FriendDeleteApplyIntervalSecond	int	21600
FriendRecommendMaxContinuousClickCount	int	3
FriendMainMaxClickIntervalTime	int	2
MainFriendMaxCount	int	2
FriendRecommendMaxContinuousClickIntervalTime	int	2
FriendRecommendIntervalTime	int	10
FriendSearchSinglePlayerIntervalTime	int	3
FriendFindPlayerInSpecifyDays	int	7
FriendFindPlayerFloatLevel	int	5
FriendGetGiftResetTimeId	int	21001
FriendMaxRecommendCount	int	10
FriendMaxAcceptApplyCount	int	100
FriendMaxRecommendRecordCount	int	200
ChatIntervalTime	int	10
UseRecommendedAssistTimesLimit	int	1
UseRankAssistTimesLimit	int	1
AudioBusSetting	string	unset
UrgentEventCDTime	int	60
UrgentEventWeekChallengTimes	int	4
UrgentEventMaxMapCount	int	1
MaxCharacterVitality	int	100
MaxTeamPrefab	int	6
ChallengeRewardRequireNum	int	2
HostelDelegateAssitPlayer	int	5
HostelDelegateAssitPerPlayerCount	int	1
StageNomraIcon	string	Assets/Product/Texture/Image/IconType/IconTypeNormal.png
StageHardIcon	string	Assets/Product/Texture/Image/IconType/IconTypeHard.png
StageFortress	string	Assets/Product/Texture/Image/IconType/IconTypeFortress.png
StageResourceIcon	string	Assets/Product/Texture/Image/IconType/IconTypesingle.png
StageDailyIcon	string	Assets/Product/Texture/Image/IconType/IconTypesingle.png
DefaultSoundVolume	float	0.8
DefaultMusicVolume	float	0.8
DefaultCvVolume	float	0.8
DefaultCvType	int	1
DefaultControl	int	1
BossSingleChallengeNum	int	3
BossSingleMaxStamina	int	5
CharacterInitStamina	int	5
DormitoryEquipScore	float	1.5
FubenTypeBossSingle	int	7
BOResetType	int	1
BOResetTime	string	3600
WorldChatContinuousIntervalTime	int	5
WorldChatContinuousSendCount	int	3
MaxNoOPTime	int	60
BlackListCD	int	30
BlackListCount	int	5
QuickMatchMaxTime	int	0
QuickMatchProb	int	0
RobotMatchMinTime	int	0
RobotMatchProb	int	0
RoomHrefDisableTime	int	300
PrivateInviteInterval	int	10
ClanInviteInterval	int	10
WorldInviteInterval	int	10
ChatSaveCount	int	30
ChatGiftCountMin	int	1
ChatGiftCountMax	int	20
GetGiftMaxCountEveryDay	int	10
OnlineBossResultSelectTime	int	10
HeartbeatInterval	int	3000
LoginTimeOutInterval	int	30
OnlinePraiseCountDown	int	3
FlopRewardCloseTime	float	2.5
OnlineBossNormalChapterId	int	1001
OnlineBossActivityChapterId	int	1002
FubenFlopCount	int	3
BountyTaskCount	int	3
BountyTaskRefreshCount	int	7
TaskForceItemId	int	3
TaskForceElapseMinutes	int	2
FurnitureMoneyId	int	1
DormVitalityRecoverInterval	int	3600
DormMoodRecoverInterval	int	3600
DormVitalityMaxValue	int	10000
DormMoodMaxValue	int	10000
DormVitalityInitValue	int	10000
DormMoodInitValue	int	8000
DormRandomMoodTime	int	14400
DormVisitRecordNum	int	10
DormRecommendCd	int	10
DormRecommendInterval	int	2
DormRecommendCountLimit	int	3
DormRecommendPlayerCountLimit	int	10
DormWorkTimePerVitality	int	1
DormWorkRewardPerVitality	int	1
DormFurnitureCreateNum	int	5
TrustGameCount	int	3
TrustGameReadySecond	int	3
TrustGameWaitForNextSecond	int	3
TrustGameWaitForEnding	int	3
AutoFightMaxRecordsCount	int	10
ArenaTeamRankShow	int	100
ArenaDayUnlockCount	int	4
ArenaTeamRankSortTime	int	1800
BaseEquipMaxCount	int	30
DormWorkMaxCount	int	8
DormReNameLen	int	6
ReportInterval	int	60
ArenaWeekBeginTime	int	585000
DormRecommendedCacheMaxCount	int	200
DormEventRefreshTime	int	5400
DormVisitTimeoutInterval	int	14400
PurchaseExpireTipsDaysLimit	int	2
RoomKickCountDownTime	int	30
RoomKickCountDownShowTime	int	0
WorldChatMaxCount	int	50
BossSingleAutoFightCount	int	9
BossSingleAutoFightRebate	int	80
GuildApplyMaxCount	int	50
ShopBuyGoodsCountLimit	int	99
HeadPortraitQuality	int	1
HeartbeatTimeout	int	2000
ReconnectInterval	int	3000
MaxDisconnectTime	int	600
