Tag	Des	Style	Effect
1	特价	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabBg1.png	Assets/Product/Effect/Prefab/FxUi/FxUiTrial/FxUiTrialKuangBlink01.prefab
2	超值	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabBg2.png	
3	超值	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabBg2.png	
4	超值	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabBg2.png	
5	超值	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabBg2.png	Assets/Product/Effect/Prefab/FxUi/FxUiTrial/FxUiTrialKuangBlink01.prefab
6	超值	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabBg2.png	Assets/Product/Effect/Prefab/FxUi/FxUiTrial/FxUiTrialKuangBlink01.prefab
7	超值	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabBg2.png	
8	超值	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabBg2.png	Assets/Product/Effect/Prefab/FxUi/FxUiTrial/FxUiTrialKuangBlink01.prefab
9	超值	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabBg2.png	Assets/Product/Effect/Prefab/FxUi/FxUiTrial/FxUiTrialKuangBlink01.prefab
10	免费	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabBg2.png	
11	超值	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabBg2.png	Assets/Product/Effect/Prefab/FxUi/FxUiTrial/FxUiTrialKuangBlink01.prefab
12	超值	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabBg2.png	
13	超值	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabBg1.png	Assets/Product/Effect/Prefab/FxUi/FxUiTrial/FxUiTrialKuangBlink01.prefab
14	限时	Assets/Product/Texture/Atlas/UiPurchase/UiPurchaseTabBg2.png	
