Id	FurnitureType	AttrScore[1]	AttrScore[2]	AttrScore[3]	MinScore	MaxScore	ReturnId	Quality
1	25001	0	0	0	0	300	802	2
2	25001	200	200	200	300	350	803	3
3	25001	250	250	250	350	440	804	4
4	25001	300	300	300	440	501	805	5
5	25002	0	0	0	0	300	802	2
6	25002	200	200	200	300	350	803	3
7	25002	250	250	250	350	440	804	4
8	25002	300	300	300	440	501	805	5
9	25003	0	0	0	0	300	802	2
10	25003	200	200	200	300	350	803	3
11	25003	250	250	250	350	440	804	4
12	25003	300	300	300	440	501	805	5
13	25004	0	0	0	0	300	802	2
14	25004	200	200	200	300	350	803	3
15	25004	250	250	250	350	440	804	4
16	25004	300	300	300	440	501	805	5
17	25005	0	0	0	0	300	802	2
18	25005	200	200	200	300	350	803	3
19	25005	250	250	250	350	440	804	4
20	25005	300	300	300	440	501	805	5
21	25006	0	0	0	0	300	802	2
22	25006	200	200	200	300	350	803	3
23	25006	250	250	250	350	440	804	4
24	25006	300	300	300	440	501	805	5
25	25007	0	0	0	0	300	802	2
26	25007	200	200	200	300	350	803	3
27	25007	250	250	250	350	440	804	4
28	25007	300	300	300	440	501	805	5
29	25008	0	0	0	0	120	802	2
30	25008	80	80	80	120	140	803	3
31	25008	100	100	100	140	230	804	4
32	25008	150	150	150	230	291	805	5
33	25009	0	0	0	0	120	802	2
34	25009	80	80	80	120	140	803	3
35	25009	100	100	100	140	230	804	4
36	25009	150	150	150	230	291	805	5
37	25010	0	0	0	0	120	802	2
38	25010	80	80	80	120	140	803	3
39	25010	100	100	100	140	230	804	4
40	25010	150	150	150	230	291	805	5
41	25011	0	0	0	0	180	802	2
42	25011	120	120	120	180	210	803	3
43	25011	150	150	150	210	300	804	4
44	25011	200	200	200	300	361	805	5
45	25012	0	0	0	0	60	802	2
46	25012	40	40	40	60	70	803	3
47	25012	50	50	50	70	160	804	4
48	25012	100	100	100	160	221	805	5
49	1	600	600	600	0	4500		2
50	1	2000	2000	2000	4500	8000		3
51	1	3500	3500	3500	8000	12000		4
52	1	6500	6500	6500	12000	9999999		5
53	25013	0	0	0	0	60	802	2
54	25013	40	40	40	60	70	803	3
55	25013	50	50	50	70	160	804	4
56	25013	100	100	100	160	221	805	5
