Id	CharacterId	TabId	TabName	RecommendType	GroupId
101	1011002	1	幻痛囚笼	1	101
102	1021001	1	幻痛囚笼	1	102
103	1031001	1	幻痛囚笼	1	103
104	1041002	1	幻痛囚笼	1	104
105	1051001	1	幻痛囚笼	1	105
106	1061002	1	幻痛囚笼	1	106
107	1071002	1	幻痛囚笼	1	107
108	1081002	1	幻痛囚笼	1	108
109	1021002	1	幻痛囚笼	1	109
110	1031002	1	幻痛囚笼	1	110
111	1011003	1	幻痛囚笼	1	111
112	1031003	1	幻痛囚笼	1	112
113	1061003	1	幻痛囚笼	1	113
114	1071003	1	幻痛囚笼	1	114
115	1051003	1	幻痛囚笼	1	115
116	1021003	1	幻痛囚笼	1	116
201	1011002	2	战区	1	201
202	1021001	2	战区	1	202
203	1031001	2	战区	1	203
204	1041002	2	战区	1	204
205	1051001	2	战区	1	205
206	1061002	2	战区	1	206
207	1071002	2	战区	1	207
208	1081002	2	战区	1	208
209	1021002	2	战区	1	209
210	1031002	2	战区	1	210
211	1011003	2	战区	1	211
212	1031003	2	战区	1	212
213	1061003	2	战区	1	213
214	1071003	2	战区	1	214
215	1051003	2	战区	1	215
216	1021003	2	战区	1	216
301	1011002	1	幻痛囚笼	2	301
302	1021001	1	幻痛囚笼	2	302
303	1031001	1	幻痛囚笼	2	303
304	1041002	1	幻痛囚笼	2	304
305	1051001	1	幻痛囚笼	2	305
306	1061002	1	幻痛囚笼	2	306
307	1071002	1	幻痛囚笼	2	307
308	1081002	1	幻痛囚笼	2	308
309	1021002	1	幻痛囚笼	2	309
310	1031002	1	幻痛囚笼	2	310
311	1011003	1	幻痛囚笼	2	311
312	1031003	1	幻痛囚笼	2	312
313	1061003	1	幻痛囚笼	2	313
314	1071003	1	幻痛囚笼	2	314
315	1051003	1	幻痛囚笼	2	315
316	1021003	1	幻痛囚笼	2	316
401	1011002	2	战区	2	401
402	1021001	2	战区	2	402
403	1031001	2	战区	2	403
404	1041002	2	战区	2	404
405	1051001	2	战区	2	405
406	1061002	2	战区	2	406
407	1071002	2	战区	2	407
408	1081002	2	战区	2	408
409	1021002	2	战区	2	409
410	1031002	2	战区	2	410
411	1011003	2	战区	2	411
412	1031003	2	战区	2	412
413	1061003	2	战区	2	413
414	1071003	2	战区	2	414
415	1051003	2	战区	2	415
416	1021003	2	战区	2	416
