Id	Name	Shape	SizeX	SizeY	OffsetX	OffsetY	Speed	HitSpeed	Direction	TargetType	TrackTarget	LiveTime	FillTime	DeadExplosion	HitCount	RepeatDamage	HitEffect[1]	HitEffect[2]	DamageInterval	StartJoint	Effect	WaitTime	DamageCount	DamageRange	ExplosionEffect	LineType	LineParams[1]	LineParams[2]	LineParams[3]	LineParams[4]	LineParams[5]	LineParams[6]	LineParams[7]	ScaleFunction	ScaleParams[1]	ScaleParams[2]	ScaleParams[3]	ScaleParams[4]	ScaleParams[5]	ScaleType	BornPosition	ChildDelay	ChildInterval	ChildCountLimit	ChildId	BornChildWhileDead	SwitchTargetOnHit	BornDirectionType	BeHitCenter	HitShakeDirection	HitShakeDuration	HitShakeIntensity	BeHitState	Magic[1]	Magic[2]	Magic[3]	Magic[4]	Magic[5]	MagicLauncherNpc[1]	MagicLauncherNpc[3]	MagicLauncherNpc[2]	EffectHeight	HitOnJoint	ResizeEffect	BindLauncher	LockLauncherFightTarget	BindSkill	ActiveDelayTime	ExplodeOnFloor	DodgeLimitMark	HitEffectUseMissileDirection	IgnoreNpcTimeScale	ScaleTimeOnHit	TimeScale	TimeScaleDuration
10180813		2	0.3				0			4		10			999						FxR3DubianAttack07Xiaoshi		-1			1																						0																											
10181613		2	0.3				0			4		10			999						FxR3DubianAttack07Xiaoshi		-1			1																						0																											
10181704		2	0.3				0			4		10			999						FxR3DubianAttack11		-1			1																						0																											
10181804		2	0.3				0			4		10			999						FxR3DubianAttack11		-1			1																						0																											
10181904		2	0.3				0			4		10			999						FxR3DubianAttack13		-1			1																						0																											
10182006		2	0.3				0			4		10			999						FxR3DubianAttack13Ex		-1			1																						0																											
10182112		2	0.3				0			4		10			999						FxR3DubianAttack21Xiaoshi		-1			1																						0																											
10182212		2	0.3				0			4		10			999						FxR3DubianAttack21Xiaoshi		-1			1																						0																											
10182312		2	0.3				0			4		10			999						FxR3DubianAttack23Xiaoshi		-1			1																						0																											
10182701		2	0.3				0			4		10			999						FxR3DubianAttack51		-1			1																						0																											
10182702		2	0.3				0			4		10			999						FxR3DubianAttack51Dandao01		-1			1																						0																											
10182703		2	0.3				0			4		10			999						FxR3DubianAttack51Dandao02		-1			1																						0																											
10182704		2	0.3				0			4		10			999						FxR3DubianAttack51Dandao03		-1			1																						0																											
10182705		2	0.3				0			4		10			999						FxR3DubianAttack51Dandao04		-1			1																						0																											
10182728		2	0.3				0			4		10			999						FxR3DubianAttack51Scene		-1			1																						0																											
10183401		2	0.3				0			4		10			999						FxR3DubianQte		-1			1																						0																											
10090411		2	0.3				0			4		10			999						FxR2AilaAttack04Dilie		-1			1																						0																											
10090505		2	0.3				0			4		10			999						FxR2AilaAttack11Dilie01		-1			1																						0																											
10090506		2	0.3				0			4		10			999						FxR2AilaAttack11Dilie02		-1			1																						0																											
10090507		2	0.3				0			4		10			999						FxR2AilaAttack11Dilie03		-1			1																						0																											
10090605		2	0.3				0			4		10			999						FxR2AilaAttack11Dilie01		-1			1																						0																											
10090606		2	0.3				0			4		10			999						FxR2AilaAttack11Dilie02		-1			1																						0																											
10090607		2	0.3				0			4		10			999						FxR2AilaAttack11Dilie03		-1			1																						0																											
10090705		2	0.3				0			4		10			999						FxR2AilaAttack13Dilie01		-1			1																						0																											
10090706		2	0.3				0			4		10			999						FxR2AilaAttack13Dilie02		-1			1																						0																											
10090707		2	0.3				0			4		10			999						FxR2AilaAttack13Dilie03		-1			1																						0																											
10091104		2	0.3				0			4		10			999						FxR2AilaAttack31Stay		-1			1																						0																											
10091105		2	0.3				0			4		10			999						FxR2AilaAttack31Dilie		-1			1																						0																											
10091204		2	0.3				0			4		10			999						FxR2AilaAttack31Stay		-1			1																						0																											
10091205		2	0.3				0			4		10			999						FxR2AilaAttack31Dilie		-1			1																						0																											
10091304		2	0.3				0			4		10			999						FxR2AilaAttack31Stay		-1			1																						0																											
10091305		2	0.3				0			4		10			999						FxR2AilaAttack31Dilie		-1			1																						0																											
10091409		2	0.3				0			4		10			999						FxR2AilaAttack51Dilie		-1			1																						0																											
10091503		2	0.3				0			4		10			999						FxR2AilaMoveStart		-1			1																						0																											
10091504		2	0.3				0			4		10			999						FxR2AilaMoveEnd		-1			1																						0																											
10091603		2	0.3				0			4		10			999						FxR2AilaMoveStart		-1			1																						0																											
10091604		2	0.3				0			4		10			999						FxR2AilaMoveEnd		-1			1																						0																											
10091804		2	0.3				0			4		10			999						FxR2AilaAttack31Stay		-1			1																						0																											
10091805		2	0.3				0			4		10			999						FxR2AilaAttack31Dilie		-1			1																						0																											
10092104		2	0.3				0			4		10			999						FxR2AilaAttackQteDilie		-1			1																						0																											
10092105		2	0.3				0			4		10			999						FxQte		-1			1																						0																											
10092409		2	0.3				0			4		10			999						FxR2AilaAttack41Dilie		-1			1																						0																											
