Id	Question	Answer	Times	LimitTimes	Weight	Difficult
1	11	3121221131213211	2	6	3	1
2	11	1332112131221132	2	6	3	1
3	11	1121312211312133	2	6	3	1
4	22	2212123212322131	2	6	3	1
5	22	2331221232112231	2	6	3	1
6	22	2212321122321233	2	6	3	1
7	33	1323223313231233	2	6	3	1
8	33	3112332313223312	2	6	3	1
9	33	3323132233132311	2	6	3	1
10	11	3121221131213211	2	5	2	2
11	11	1332112131221132	2	5	2	2
12	11	1121312211312133	2	5	2	2
13	22	2212123212322131	2	5	2	2
14	22	2331221232112231	2	5	2	2
15	22	2212321122321233	2	5	2	2
16	33	1323223313231233	2	5	2	2
17	33	3112332313223312	2	5	2	2
18	33	3323132233132311	2	5	2	2
19	111	2213311211312211	2	5	1	3
20	111	2121331131122111	2	5	1	3
21	111	3311212211313311	2	5	1	3
22	222	1223322122321122	2	5	1	3
23	222	1212332232211222	2	5	1	3
24	222	3322121122323322	2	5	1	3
25	333	2231133233132233	2	5	1	3
26	333	2323113313322333	2	5	1	3
27	333	1133232233131133	2	5	1	3
