Id	CharacterId	UnlockType	UnlockPara	ItemId	ItemCount	ConditionDescript
1	1011002	1	1000	1	10000	战斗参数达到1000解锁
2	1011002	2	6	40628	2	信赖度达到6级解锁
3	1011002	3	80	3	40	角色等级达到80级解锁
4	1011002	1	3000	40628	5	战斗参数达到3000解锁
5	1011002	4	6	3	60	角色进化至SSS解锁
6	1021001	1	1000	1	10000	战斗参数达到1000解锁
7	1021001	2	6	40628	2	信赖度达到6级解锁
8	1021001	3	80	3	40	角色等级达到80级解锁
9	1021001	1	3000	40628	5	战斗参数达到3000解锁
10	1021001	4	6	3	60	角色进化至SSS解锁
11	1031001	1	1000	1	10000	战斗参数达到1000解锁
12	1031001	2	6	40628	2	信赖度达到6级解锁
13	1031001	3	80	3	40	角色等级达到80级解锁
14	1031001	1	3000	40628	5	战斗参数达到3000解锁
15	1031001	4	6	3	60	角色进化至SSS解锁
16	1041002	1	1000	1	10000	战斗参数达到1000解锁
17	1041002	2	6	40628	2	信赖度达到6级解锁
18	1041002	3	80	3	40	角色等级达到80级解锁
19	1041002	1	3000	40628	5	战斗参数达到3000解锁
20	1041002	4	6	3	60	角色进化至SSS解锁
21	1051001	1	1000	1	10000	战斗参数达到1000解锁
22	1051001	2	6	40628	2	信赖度达到6级解锁
23	1051001	3	80	3	40	角色等级达到80级解锁
24	1051001	1	3000	40628	5	战斗参数达到3000解锁
25	1051001	4	6	3	60	角色进化至SSS解锁
26	1061002	1	1000	1	10000	战斗参数达到1000解锁
27	1061002	2	6	40628	2	信赖度达到6级解锁
28	1061002	3	80	3	40	角色等级达到80级解锁
29	1061002	1	3000	40628	5	战斗参数达到3000解锁
30	1061002	4	6	3	60	角色进化至SSS解锁
31	1071002	1	1000	1	10000	战斗参数达到1000解锁
32	1071002	2	6	40628	2	信赖度达到6级解锁
33	1071002	3	80	3	40	角色等级达到80级解锁
34	1071002	1	3000	40628	5	战斗参数达到3000解锁
35	1071002	4	6	3	60	角色进化至SSS解锁
36	1081002	1	1000	1	10000	战斗参数达到1000解锁
37	1081002	2	6	40628	2	信赖度达到6级解锁
38	1081002	3	80	3	40	角色等级达到80级解锁
39	1081002	1	3000	40628	5	战斗参数达到3000解锁
40	1081002	4	6	3	60	角色进化至SSS解锁
41	1021002	1	1000	1	10000	战斗参数达到1000解锁
42	1021002	2	6	40628	2	信赖度达到6级解锁
43	1021002	3	80	3	40	角色等级达到80级解锁
44	1021002	1	3000	40628	5	战斗参数达到3000解锁
45	1021002	4	6	3	60	角色进化至SSS解锁
46	1031002	1	1000	1	10000	战斗参数达到1000解锁
47	1031002	2	6	40628	2	信赖度达到6级解锁
48	1031002	3	80	3	40	角色等级达到80级解锁
49	1031002	1	3000	40628	5	战斗参数达到3000解锁
50	1031002	4	6	3	60	角色进化至SSS解锁
51	1071003	1	1000	1	10000	战斗参数达到1000解锁
52	1071003	2	6	40628	2	信赖度达到6级解锁
53	1071003	3	80	3	40	角色等级达到80级解锁
54	1071003	1	3000	40628	5	战斗参数达到3000解锁
55	1071003	4	6	3	60	角色进化至SSS解锁
56	1031003	1	1000	1	10000	战斗参数达到1000解锁
57	1031003	2	6	40628	2	信赖度达到6级解锁
58	1031003	3	80	3	40	角色等级达到80级解锁
59	1031003	1	3000	40628	5	战斗参数达到3000解锁
60	1031003	4	6	3	60	角色进化至SSS解锁
61	1061003	1	1000	1	10000	战斗参数达到1000解锁
62	1061003	2	6	40628	2	信赖度达到6级解锁
63	1061003	3	80	3	40	角色等级达到80级解锁
64	1061003	1	3000	40628	5	战斗参数达到3000解锁
65	1061003	4	6	3	60	角色进化至SSS解锁
66	1051003	1	1000	1	10000	战斗参数达到1000解锁
67	1051003	2	6	40628	2	信赖度达到6级解锁
68	1051003	3	80	3	40	角色等级达到80级解锁
69	1051003	1	3000	40628	5	战斗参数达到3000解锁
70	1051003	4	6	3	60	角色进化至SSS解锁
71	1021003	1	1000	1	10000	战斗参数达到1000解锁
72	1021003	2	6	40628	2	信赖度达到6级解锁
73	1021003	3	80	3	40	角色等级达到80级解锁
74	1021003	1	3000	40628	5	战斗参数达到3000解锁
75	1021003	4	6	3	60	角色进化至SSS解锁
