Icon	AssetPath
UiChange	Assets/Product/Texture/Image/UiPurchase/UiPurchaseIconYq4.png
UiPurchase	Assets/Product/Texture/Image/UiPurchase/UiPurchaseIconYq2.png
UICard	Assets/Product/Texture/Image/UiPurchase/UiPurchaseIconYq3.png
UiPay	Assets/Product/Texture/Image/UiPurchase/UiPurchaseIconYq1.png
UiPurchaseIconCz1	Assets/Product/Texture/Image/UiPurchase/UiPurchaseIconCz1.png
UiPurchaseIconLb1	Assets/Product/Texture/Image/UiPurchase/UiPurchaseIconLb1.png
UiPurchaseIconDh1	Assets/Product/Texture/Image/UiPurchase/UiPurchaseIconDh1.png
UiB25	Assets/Product/Texture/Image/UiPurchase/IconLibaoLevelB25.png
UiG25	Assets/Product/Texture/Image/UiPurchase/IconLibaoLevelG25.png
UiB35	Assets/Product/Texture/Image/UiPurchase/IconLibaoLevelB35.png
UiG35	Assets/Product/Texture/Image/UiPurchase/IconLibaoLevelG35.png
UiB55	Assets/Product/Texture/Image/UiPurchase/IconLibaoLevelB55.png
UiG55	Assets/Product/Texture/Image/UiPurchase/IconLibaoLevelG55.png
UiB70	Assets/Product/Texture/Image/UiPurchase/IconLibaoLevelB70.png
UiG70	Assets/Product/Texture/Image/UiPurchase/IconLibaoLevelG70.png
Uio1rmb	Assets/Product/Texture/Image/UiPurchase/IconLibao1rmb.png
UioCDrew	Assets/Product/Texture/Image/UiPurchase/IconLibaoCDrew.png
UioWDrew	Assets/Product/Texture/Image/UiPurchase/IconLibaoWDrew.png
UioNUp	Assets/Product/Texture/Image/UiPurchase/IconLibaoNUp.png
UioNF	Assets/Product/Texture/Image/UiPurchase/IconLibaoNF.png
UioWeek	Assets/Product/Texture/Image/UiPurchase/IconLibaoWeek.png
UioWDMouth	Assets/Product/Texture/Image/UiPurchase/IconLibaoWDMouth.png
UioCDMouth	Assets/Product/Texture/Image/UiPurchase/IconLibaoCDMouth.png
UioJDay	Assets/Product/Texture/Image/UiPurchase/IconLibaoJDay.png
UioWMaterial	Assets/Product/Texture/Image/UiPurchase/IconLibaoWMaterial.png
UioCMaterial	Assets/Product/Texture/Image/UiPurchase/IconLibaoCMaterial.png
UioMoney	Assets/Product/Texture/Image/UiPurchase/IconLibaoMoney.png
UioSkinD	Assets/Product/Texture/Image/UiPurchase/IconLibaoSkinD.png
UioFCoin	Assets/Product/Texture/Image/UiPurchase/IconLibaoFCoin.png
Pay6	Assets/Product/Texture/Image/UiPurchase/IconPay6.png
Pay30	Assets/Product/Texture/Image/UiPurchase/IconPay30.png
Pay68	Assets/Product/Texture/Image/UiPurchase/IconPay68.png
Pay128	Assets/Product/Texture/Image/UiPurchase/IconPay128.png
Pay328	Assets/Product/Texture/Image/UiPurchase/IconPay328.png
Pay648	Assets/Product/Texture/Image/UiPurchase/IconPay648.png
Card	Assets/Product/Texture/Image/UiPurchase/IconLibaoMonthcard.png
UioPifuM	Assets/Product/Texture/Image/UiPurchase/IconLibaoPifuMouth.png
UioYanfa	Assets/Product/Texture/Image/UiPurchase/IconLibaoJueseyanfa.png
UioShilian	Assets/Product/Texture/Image/UiPurchase/IconLibaoShilianCailiao.png
UioXingjia	Assets/Product/Texture/Image/UiPurchase/IconLibaoXJBWeek.png
UioLifu	Assets/Product/Texture/Image/IconTools/Clo10310090101.png
UioZhixuan	Assets/Product/Texture/Image/UiPurchase/IconLibaoPifu3.png
UioPifu31	Assets/Product/Texture/Image/IconTools/Clo10510039071.png
UioPifu32	Assets/Product/Texture/Image/IconTools/Clo10510039011.png
UioPifu33	Assets/Product/Texture/Image/IconTools/Clo10710020201.png
UioPifu34	Assets/Product/Texture/Image/IconTools/Clo10110090102.png
UioPifu35	Assets/Product/Texture/Image/IconTools/Clo10110030301.png
UioPifu36	Assets/Product/Texture/Image/IconTools/Clo10110030201.png
UioPifu37	Assets/Product/Texture/Image/IconTools/Clo10210020701.png
UioPifu38	Assets/Product/Texture/Image/IconTools/Clo10210020201.png
UioPifu39	Assets/Product/Texture/Image/IconTools/Clo10310039011.png
UioPifu40	Assets/Product/Texture/Image/IconTools/Clo10710030401.png
UioPifu41	Assets/Product/Texture/Image/IconTools/Clo10710030201.png
UioPifu42	Assets/Product/Texture/Image/IconTools/Clo10310020201.png
UioCDMouth2	Assets/Product/Texture/Image/UiPurchase/IconConsumeMonth.png
UiPurchaseIconDh6	Assets/Product/Texture/Image/UiPurchase/UiPurchaseIconDh2.png
UiPurchaseIconDh30	Assets/Product/Texture/Image/UiPurchase/UiPurchaseIconDh3.png
UiPurchaseIconDh68	Assets/Product/Texture/Image/UiPurchase/UiPurchaseIconDh4.png
UiPurchaseIconDh128	Assets/Product/Texture/Image/UiPurchase/UiPurchaseIconDh5.png
UiPurchaseIconDh328	Assets/Product/Texture/Image/UiPurchase/UiPurchaseIconDh6.png
UiPurchaseIconDh648	Assets/Product/Texture/Image/UiPurchase/UiPurchaseIconDh7.png
