CharacterId	MaxCount	RecoveryTime	Lower[1]	Upper[1]	Lower[2]	Upper[2]	Lower[3]	Upper[3]
1011002	3	14400	600	1000	600	1000	600	1000
1021001	3	14400	600	1000	600	1000	600	1000
1031001	3	14400	600	1000	600	1000	600	1000
1041002	3	14400	600	1000	600	1000	600	1000
1051001	3	14400	600	1000	600	1000	600	1000
1061002	3	14400	600	1000	600	1000	600	1000
1071002	3	14400	600	1000	600	1000	600	1000
1081002	3	14400	600	1000	600	1000	600	1000
1021002	3	14400	600	1000	600	1000	600	1000
1031002	3	14400	600	1000	600	1000	600	1000
1061003	3	14400	600	1000	600	1000	600	1000
1031003	3	14400	600	1000	600	1000	600	1000
1011003	3	14400	600	1000	600	1000	600	1000
1071003	3	14400	600	1000	600	1000	600	1000
1051003	3	14400	600	1000	600	1000	600	1000
1021003	3	14400	600	1000	600	1000	600	1000
1081003	3	14400	600	1000	600	1000	600	1000
1091002	3	14400	600	1000	600	1000	600	1000
90370	3	14400	600	1000	600	1000	600	1000
90220	3	14400	600	1000	600	1000	600	1000
