Id	Model	Action	ContentId	Weight
1	R2LiangMd010011	Attack11	101100201	10
2	R2LiangMd010011	Attack11	101100202	10
3	R2LiangMd010011	Attack11	101100203	10
4	R2LiangMd010011	Attack11	101100204	10
5	R2LiangMd010011	Attack21	101100205	10
6	R2LiangMd010011	Attack21	101100206	10
7	R2LiangMd010011	Attack21	101100207	10
8	R2LiangMd010011	Attack21	101100208	20
9	R2LiangMd010011	Attack21	101100209	30
10	R2LiangMd010011	Attack21	101100210	40
11	R1LuxiyaMd010011	Attack11	102100101	10
12	R1LuxiyaMd010011	Attack11	102100102	10
13	R1LuxiyaMd010011	Attack11	102100103	10
14	R1LuxiyaMd010011	Attack11	102100104	10
15	R1LuxiyaMd010011	Attack21	102100105	10
16	R1LuxiyaMd010011	Attack21	102100106	10
17	R1LuxiyaMd010011	Attack21	102100107	10
18	R1LuxiyaMd010011	Attack21	102100108	20
19	R1LuxiyaMd010011	Attack21	102100109	30
20	R1LuxiyaMd010011	Attack21	102100110	40
21	R1LifuMd010011	Attack11	103100101	10
22	R1LifuMd010011	Attack11	103100102	10
23	R1LifuMd010011	Attack11	103100103	10
24	R1LifuMd010011	Attack11	103100104	10
25	R1LifuMd010011	Attack21	103100105	10
26	R1LifuMd010011	Attack21	103100106	10
27	R1LifuMd010011	Attack21	103100107	10
28	R1LifuMd010011	Attack21	103100108	20
29	R1LifuMd010011	Attack11	103100109	30
30	R1LifuMd010011	Attack11	103100110	40
31	R2BiankaMd010011	Attack11	104100101	10
32	R2BiankaMd010011	Attack11	104100102	10
33	R2BiankaMd010011	Attack11	104100103	10
34	R2BiankaMd010011	Attack11	104100104	10
35	R2BiankaMd010011	Attack21	104100105	10
36	R2BiankaMd010011	Attack21	104100106	10
37	R2BiankaMd010011	Attack21	104100107	10
38	R2BiankaMd010011	Attack21	104100108	20
39	R2BiankaMd010011	Attack11	104100109	30
40	R2BiankaMd010011	Attack11	104100110	40
41	R2YongyechaoMd010011	Attack11	105100101	10
42	R2YongyechaoMd010011	Attack11	105100102	10
43	R2YongyechaoMd010011	Attack11	105100103	10
44	R2YongyechaoMd010011	Attack11	105100104	10
45	R2YongyechaoMd010011	Attack21	105100105	10
46	R2YongyechaoMd010011	Attack21	105100106	10
47	R2YongyechaoMd010011	Attack21	105100107	10
48	R2YongyechaoMd010011	Attack21	105100108	20
49	R2YongyechaoMd010011	Attack21	105100109	30
50	R2YongyechaoMd010011	Attack21	105100110	40
51	R2LifuMd010011	Attack11	103100201	10
52	R2LifuMd010011	Attack11	103100202	10
53	R2LifuMd010011	Attack11	103100203	10
54	R2LifuMd010011	Attack11	103100204	10
55	R2LifuMd010011	Attack21	103100205	10
56	R2LifuMd010011	Attack21	103100206	10
57	R2LifuMd010011	Attack21	103100207	10
58	R2LifuMd010011	Attack21	103100208	20
59	R2LifuMd010011	Attack21	103100209	30
60	R2LifuMd010011	Attack21	103100210	40
