Id	IndexId	UiName	PositionX	PositionY	PositionZ	RotationX	RotationY	RotationZ	ScaleX	ScaleY	ScaleZ
1	1	UiEquipDetail	-0.05	0	0.49	0	0	0	1	1	1
2	2	UiEquipDetail	0.2	0.1	1.2	110	-90	0	1	1	1
3	3	UiEquipDetail	-0.1	0	1.15	10	-90	0	1	1	1
4	4	UiEquipDetail	-0.3	0	1.5	-80	-90	0	1	1	1
5	5	UiEquipDetail	0.3	0.18	1	180	0	-20	1	1	1
6	6	UiEquipDetail	0.3	0.15	1.8	0	0	20	1	1	1
7	7	UiEquipDetail	-0.1	0	1.7	0	0	20	1	1	1
8	8	UiEquipDetail	0	0.17	0.8	180	0	-30	1	1	1
9	9	UiEquipDetail	18.7	-14.1	-15.4	23	-847	182	1	1	1
10	99	UiEquipDetail	0.5	0.2	3.4	50	0	20	1	1	1
11	1	UiEquipBreakThrough	19.2	-14.1	-15.1	-16	-103	-10	1	1	1
12	2	UiEquipBreakThrough	18.7	-13.4	-15.1	20	-842	189	1	1	1
13	3	UiEquipBreakThrough	18.5	-13.4	-14.8	-201	18	-122	1	1	1
14	4	UiEquipBreakThrough	18.5	-13.6	-14.6	2	64	303	1	1	1
15	5	UiEquipBreakThrough	18.7	-13.4	-14.5	-1	-272	-215	1	1	1
16	6	UiEquipBreakThrough	18.2	-12.7	-15	-5	-95	115	1	1	1
17	7	UiEquipBreakThrough	18.2	-13.1	-14.5	-43	-140	47	1	1	1
18	8	UiEquipBreakThrough	19.2	-13.8	-15	1	109	-208	1	1	1
19	9	UiEquipBreakThrough	18.7	-13.4	-15.1	20	-842	189	1	1	1
20	99	UiEquipBreakThrough	18	-12.3	-13.8	-68	-166	120	1	1	1
21	1	UiEquipResonanceSelect	19.2	-14.1	-15.1	-16	-103	-10	1	1	1
22	2	UiEquipResonanceSelect	18.7	-13.4	-15.1	20	-842	189	1	1	1
23	3	UiEquipResonanceSelect	18.5	-13.4	-14.8	-201	18	-122	1	1	1
24	4	UiEquipResonanceSelect	18.5	-13.6	-14.6	2	64	303	1	1	1
25	5	UiEquipResonanceSelect	18.7	-13.4	-14.5	-1	-272	-215	1	1	1
26	6	UiEquipResonanceSelect	18.2	-12.7	-15	-5	-95	115	1	1	1
27	7	UiEquipResonanceSelect	18.2	-13.1	-14.5	-43	-140	47	1	1	1
28	8	UiEquipResonanceSelect	19.2	-13.8	-15	1	109	-208	1	1	1
29	9	UiEquipResonanceSelect	18.7	-13.4	-15.1	20	-842	189	1	1	1
30	99	UiEquipResonanceSelect	18	-12.3	-13.8	-68	-166	120	1	1	1
31	1	UiEquipResonanceSelectAfter	19.5	-14.1	-15	-21	-58	9	1	1	1
32	2	UiEquipResonanceSelectAfter	19.3	-14	-14.3	23	-72	64	1	1	1
33	3	UiEquipResonanceSelectAfter	19	-13.6	-14.3	-192	12	-133	1	1	1
34	4	UiEquipResonanceSelectAfter	18.7	-13.4	-14.2	-31	54	-38	1	1	1
35	5	UiEquipResonanceSelectAfter	19.3	-13.9	-14.3	-4	-241	186	1	1	1
36	6	UiEquipResonanceSelectAfter	19	-13.6	-14.1	9	-541	204	1	1	1
37	7	UiEquipResonanceSelectAfter	18.8	-13.6	-14.4	-24	-3	-55	1	1	1
38	8	UiEquipResonanceSelectAfter	19.4	-14	-14.6	-52	300	-338	1	1	1
39	9	UiEquipResonanceSelectAfter	19.3	-14	-14.3	23	-72	64	1	1	1
40	99	UiEquipResonanceSelectAfter	18.4	-11.9	-12	-68	-166	120	1	1	1
41	1	UiEquipResonanceSkill	19.2	-14.1	-15.1	-16	-103	-10	1	1	1
