RoleId	FaceLook[0]	FaceLook[1]	FaceLook[2]	FaceLook[3]	FaceLook[4]	FaceLook[5]	FaceLook[6]	FaceLook[7]	FaceLook[8]	FaceLook[9]	FaceLook[10]	FaceLook[11]	FaceLook[12]	FaceLook[13]	FaceLook[14]	FaceLook[15]	FaceLook[16]	FaceLook[17]	FaceLook[18]	FaceLook[19]	FaceLook[20]	FaceLook[21]
1021001	RoleStoryFace/LuxiyaNormal01/LuxiyaNormal01_01	RoleStoryFace/LuxiyaNormal01/LuxiyaNormal01_01	RoleStoryFace/LuxiyaNormal01/LuxiyaNormal01_01	RoleStoryFace/LuxiyaNormal01/LuxiyaNormal01_03	RoleStoryFace/LuxiyaNormal01/LuxiyaNormal01_04	RoleStoryFace/LuxiyaNormal01/LuxiyaNormal01_01	RoleStoryFace/LuxiyaNormal01/LuxiyaNormal01_06	RoleStoryFace/LuxiyaNormal01/LuxiyaNormal01_01	RoleStoryFace/LuxiyaNormal01/LuxiyaNormal01_01	RoleStoryFace/LuxiyaNormal01/LuxiyaNormal01_09	RoleStoryFace/LuxiyaNormal01/LuxiyaNormal01_01	RoleStoryFace/LuxiyaNormal01/LuxiyaNormal01_01	RoleStoryFace/LuxiyaNormal01/LuxiyaNormal01_01	RoleStoryFace/LuxiyaNormal01/LuxiyaNormal01_01	RoleStoryFace/LuxiyaNormal01/LuxiyaNormal01_01	RoleStoryFace/LuxiyaNormal01/LuxiyaNormal01_01	RoleStoryFace/LuxiyaNormal01/LuxiyaNormal01_01	RoleStoryFace/LuxiyaNormal01/LuxiyaNormal01_01	RoleStoryFace/LuxiyaNormal01/LuxiyaNormal01_01	RoleStoryFace/LuxiyaNormal01/LuxiyaNormal01_01	RoleStoryFace/LuxiyaNormal01/LuxiyaNormal01_01	RoleStoryFace/LuxiyaNormal01/LuxiyaNormal01_01
1031001	RoleStoryFace/R1LifuNormal01/R1LifuNormal01_01	RoleStoryFace/R1LifuNormal01/R1LifuNormal01_01	RoleStoryFace/R1LifuNormal01/R1LifuNormal01_01	RoleStoryFace/R1LifuNormal01/R1LifuNormal01_01	RoleStoryFace/R1LifuNormal01/R1LifuNormal01_01	RoleStoryFace/R1LifuNormal01/R1LifuNormal01_01	RoleStoryFace/R1LifuNormal01/R1LifuNormal01_06	RoleStoryFace/R1LifuNormal01/R1LifuNormal01_07	RoleStoryFace/R1LifuNormal01/R1LifuNormal01_01	RoleStoryFace/R1LifuNormal01/R1LifuNormal01_01	RoleStoryFace/R1LifuNormal01/R1LifuNormal01_01	RoleStoryFace/R1LifuNormal01/R1LifuNormal01_01	RoleStoryFace/R1LifuNormal01/R1LifuNormal01_01	RoleStoryFace/R1LifuNormal01/R1LifuNormal01_01	RoleStoryFace/R1LifuNormal01/R1LifuNormal01_14	RoleStoryFace/R1LifuNormal01/R1LifuNormal01_14	RoleStoryFace/R1LifuNormal01/R1LifuNormal01_14	RoleStoryFace/R1LifuNormal01/R1LifuNormal01_14	RoleStoryFace/R1LifuNormal01/R1LifuNormal01_14	RoleStoryFace/R1LifuNormal01/R1LifuNormal01_14	RoleStoryFace/R1LifuNormal01/R1LifuNormal01_14	RoleStoryFace/R1LifuNormal01/R1LifuNormal01_14
1011001	RoleStoryFace/LiangNomal01/LiangNomal01_06	RoleStoryFace/LiangNomal01/LiangNomal01_06	RoleStoryFace/LiangNomal01/LiangNomal01_06	RoleStoryFace/LiangNomal01/LiangNomal01_06	RoleStoryFace/LiangNomal01/LiangNomal01_06	RoleStoryFace/LiangNomal01/LiangNomal01_06	RoleStoryFace/LiangNomal01/LiangNomal01_06	RoleStoryFace/LiangNomal01/LiangNomal01_06	RoleStoryFace/LiangNomal01/LiangNomal01_06	RoleStoryFace/LiangNomal01/LiangNomal01_09	RoleStoryFace/LiangNomal01/LiangNomal01_10	RoleStoryFace/LiangNomal01/LiangNomal01_06	RoleStoryFace/LiangNomal01/LiangNomal01_06	RoleStoryFace/LiangNomal01/LiangNomal01_06	RoleStoryFace/LiangNomal01/LiangNomal01_06	RoleStoryFace/LiangNomal01/LiangNomal01_06	RoleStoryFace/LiangNomal01/LiangNomal01_06	RoleStoryFace/LiangNomal01/LiangNomal01_06	RoleStoryFace/LiangNomal01/LiangNomal01_06	RoleStoryFace/LiangNomal01/LiangNomal01_06	RoleStoryFace/LiangNomal01/LiangNomal01_06	RoleStoryFace/LiangNomal01/LiangNomal01_06
1041001	RoleStoryFace/Yongyechaonormal01/Yongyechaonormal01_01	RoleStoryFace/Yongyechaonormal01/Yongyechaonormal01_01	RoleStoryFace/Yongyechaonormal01/Yongyechaonormal01_02	RoleStoryFace/Yongyechaonormal01/Yongyechaonormal01_01	RoleStoryFace/Yongyechaonormal01/Yongyechaonormal01_01	RoleStoryFace/Yongyechaonormal01/Yongyechaonormal01_01	RoleStoryFace/Yongyechaonormal01/Yongyechaonormal01_01	RoleStoryFace/Yongyechaonormal01/Yongyechaonormal01_01	RoleStoryFace/Yongyechaonormal01/Yongyechaonormal01_01	RoleStoryFace/Yongyechaonormal01/Yongyechaonormal01_01	RoleStoryFace/Yongyechaonormal01/Yongyechaonormal01_01	RoleStoryFace/Yongyechaonormal01/Yongyechaonormal01_01	RoleStoryFace/Yongyechaonormal01/Yongyechaonormal01_01	RoleStoryFace/Yongyechaonormal01/Yongyechaonormal01_01	RoleStoryFace/Yongyechaonormal01/Yongyechaonormal01_01	RoleStoryFace/Yongyechaonormal01/Yongyechaonormal01_01	RoleStoryFace/Yongyechaonormal01/Yongyechaonormal01_01	RoleStoryFace/Yongyechaonormal01/Yongyechaonormal01_01	RoleStoryFace/Yongyechaonormal01/Yongyechaonormal01_01	RoleStoryFace/Yongyechaonormal01/Yongyechaonormal01_01	RoleStoryFace/Yongyechaonormal01/Yongyechaonormal01_01	RoleStoryFace/Yongyechaonormal01/Yongyechaonormal01_01
1081001	RoleStoryFace/ShenweiNormal01/ShenweiNormal01_01	RoleStoryFace/ShenweiNormal01/ShenweiNormal01_01	RoleStoryFace/ShenweiNormal01/ShenweiNormal01_02	RoleStoryFace/ShenweiNormal01/ShenweiNormal01_01	RoleStoryFace/ShenweiNormal01/ShenweiNormal01_04	RoleStoryFace/ShenweiNormal01/ShenweiNormal01_05	RoleStoryFace/ShenweiNormal01/ShenweiNormal01_01	RoleStoryFace/ShenweiNormal01/ShenweiNormal01_01	RoleStoryFace/ShenweiNormal01/ShenweiNormal01_01	RoleStoryFace/ShenweiNormal01/ShenweiNormal01_01	RoleStoryFace/ShenweiNormal01/ShenweiNormal01_01	RoleStoryFace/ShenweiNormal01/ShenweiNormal01_01	RoleStoryFace/ShenweiNormal01/ShenweiNormal01_01	RoleStoryFace/ShenweiNormal01/ShenweiNormal01_01	RoleStoryFace/ShenweiNormal01/ShenweiNormal01_01	RoleStoryFace/ShenweiNormal01/ShenweiNormal01_01	RoleStoryFace/ShenweiNormal01/ShenweiNormal01_01	RoleStoryFace/ShenweiNormal01/ShenweiNormal01_17	RoleStoryFace/ShenweiNormal01/ShenweiNormal01_17	RoleStoryFace/ShenweiNormal01/ShenweiNormal01_17	RoleStoryFace/ShenweiNormal01/ShenweiNormal01_17	RoleStoryFace/ShenweiNormal01/ShenweiNormal01_17
1091001	RoleStoryFace/OlisuoNomal01/OlisuoNomal01_04	RoleStoryFace/OlisuoNomal01/OlisuoNomal01_04	RoleStoryFace/OlisuoNomal01/OlisuoNomal01_04	RoleStoryFace/OlisuoNomal01/OlisuoNomal01_04	RoleStoryFace/OlisuoNomal01/OlisuoNomal01_04	RoleStoryFace/OlisuoNomal01/OlisuoNomal01_04	RoleStoryFace/OlisuoNomal01/OlisuoNomal01_04	RoleStoryFace/OlisuoNomal01/OlisuoNomal01_04	RoleStoryFace/OlisuoNomal01/OlisuoNomal01_04	RoleStoryFace/OlisuoNomal01/OlisuoNomal01_04	RoleStoryFace/OlisuoNomal01/OlisuoNomal01_04	RoleStoryFace/OlisuoNomal01/OlisuoNomal01_04	RoleStoryFace/OlisuoNomal01/OlisuoNomal01_04	RoleStoryFace/OlisuoNomal01/OlisuoNomal01_04	RoleStoryFace/OlisuoNomal01/OlisuoNomal01_04	RoleStoryFace/OlisuoNomal01/OlisuoNomal01_04	RoleStoryFace/OlisuoNomal01/OlisuoNomal01_04	RoleStoryFace/OlisuoNomal01/OlisuoNomal01_04	RoleStoryFace/OlisuoNomal01/OlisuoNomal01_04	RoleStoryFace/OlisuoNomal01/OlisuoNomal01_04	RoleStoryFace/OlisuoNomal01/OlisuoNomal01_04	RoleStoryFace/OlisuoNomal01/OlisuoNomal01_04
1101001	RoleStoryFace/DubianNormal01/DubianNormal01_01	RoleStoryFace/DubianNormal01/DubianNormal01_01	RoleStoryFace/DubianNormal01/DubianNormal01_01	RoleStoryFace/DubianNormal01/DubianNormal01_01	RoleStoryFace/DubianNormal01/DubianNormal01_04	RoleStoryFace/DubianNormal01/DubianNormal01_05	RoleStoryFace/DubianNormal01/DubianNormal01_01	RoleStoryFace/DubianNormal01/DubianNormal01_01	RoleStoryFace/DubianNormal01/DubianNormal01_01	RoleStoryFace/DubianNormal01/DubianNormal01_01	RoleStoryFace/DubianNormal01/DubianNormal01_01	RoleStoryFace/DubianNormal01/DubianNormal01_01	RoleStoryFace/DubianNormal01/DubianNormal01_01	RoleStoryFace/DubianNormal01/DubianNormal01_01	RoleStoryFace/DubianNormal01/DubianNormal01_01	RoleStoryFace/DubianNormal01/DubianNormal01_01	RoleStoryFace/DubianNormal01/DubianNormal01_01	RoleStoryFace/DubianNormal01/DubianNormal01_01	RoleStoryFace/DubianNormal01/DubianNormal01_01	RoleStoryFace/DubianNormal01/DubianNormal01_01	RoleStoryFace/DubianNormal01/DubianNormal01_01	RoleStoryFace/DubianNormal01/DubianNormal01_01
1111001	RoleStoryFace/KalieninaNomal01/KalieninaNomal01_01	RoleStoryFace/KalieninaNomal01/KalieninaNomal01_01	RoleStoryFace/KalieninaNomal01/KalieninaNomal01_01	RoleStoryFace/KalieninaNomal01/KalieninaNomal01_01	RoleStoryFace/KalieninaNomal01/KalieninaNomal01_01	RoleStoryFace/KalieninaNomal01/KalieninaNomal01_05	RoleStoryFace/KalieninaNomal01/KalieninaNomal01_01	RoleStoryFace/KalieninaNomal01/KalieninaNomal01_01	RoleStoryFace/KalieninaNomal01/KalieninaNomal01_01	RoleStoryFace/KalieninaNomal01/KalieninaNomal01_01	RoleStoryFace/KalieninaNomal01/KalieninaNomal01_01	RoleStoryFace/KalieninaNomal01/KalieninaNomal01_01	RoleStoryFace/KalieninaNomal01/KalieninaNomal01_01	RoleStoryFace/KalieninaNomal01/KalieninaNomal01_01	RoleStoryFace/KalieninaNomal01/KalieninaNomal01_01	RoleStoryFace/KalieninaNomal01/KalieninaNomal01_01	RoleStoryFace/KalieninaNomal01/KalieninaNomal01_01	RoleStoryFace/KalieninaNomal01/KalieninaNomal01_01	RoleStoryFace/KalieninaNomal01/KalieninaNomal01_01	RoleStoryFace/KalieninaNomal01/KalieninaNomal01_01	RoleStoryFace/KalieninaNomal01/KalieninaNomal01_01	RoleStoryFace/KalieninaNomal01/KalieninaNomal01_01
500030	RoleStoryFace/KalieqianzhuanNomal01/KalieqianzhuanNomal01_09	RoleStoryFace/KalieqianzhuanNomal01/KalieqianzhuanNomal01_09	RoleStoryFace/KalieqianzhuanNomal01/KalieqianzhuanNomal01_09	RoleStoryFace/KalieqianzhuanNomal01/KalieqianzhuanNomal01_09	RoleStoryFace/KalieqianzhuanNomal01/KalieqianzhuanNomal01_09	RoleStoryFace/KalieqianzhuanNomal01/KalieqianzhuanNomal01_09	RoleStoryFace/KalieqianzhuanNomal01/KalieqianzhuanNomal01_09	RoleStoryFace/KalieqianzhuanNomal01/KalieqianzhuanNomal01_09	RoleStoryFace/KalieqianzhuanNomal01/KalieqianzhuanNomal01_09	RoleStoryFace/KalieqianzhuanNomal01/KalieqianzhuanNomal01_09	RoleStoryFace/KalieqianzhuanNomal01/KalieqianzhuanNomal01_09	RoleStoryFace/KalieqianzhuanNomal01/KalieqianzhuanNomal01_09	RoleStoryFace/KalieqianzhuanNomal01/KalieqianzhuanNomal01_09	RoleStoryFace/KalieqianzhuanNomal01/KalieqianzhuanNomal01_09	RoleStoryFace/KalieqianzhuanNomal01/KalieqianzhuanNomal01_09	RoleStoryFace/KalieqianzhuanNomal01/KalieqianzhuanNomal01_09	RoleStoryFace/KalieqianzhuanNomal01/KalieqianzhuanNomal01_09	RoleStoryFace/KalieqianzhuanNomal01/KalieqianzhuanNomal01_09	RoleStoryFace/KalieqianzhuanNomal01/KalieqianzhuanNomal01_09	RoleStoryFace/KalieqianzhuanNomal01/KalieqianzhuanNomal01_09	RoleStoryFace/KalieqianzhuanNomal01/KalieqianzhuanNomal01_09	RoleStoryFace/KalieqianzhuanNomal01/KalieqianzhuanNomal01_09
500031	RoleStoryFace/LunaNomal01/LunaNomal01_14	RoleStoryFace/LunaNomal01/LunaNomal01_14	RoleStoryFace/LunaNomal01/LunaNomal01_14	RoleStoryFace/LunaNomal01/LunaNomal01_14	RoleStoryFace/LunaNomal01/LunaNomal01_14	RoleStoryFace/LunaNomal01/LunaNomal01_14	RoleStoryFace/LunaNomal01/LunaNomal01_14	RoleStoryFace/LunaNomal01/LunaNomal01_14	RoleStoryFace/LunaNomal01/LunaNomal01_14	RoleStoryFace/LunaNomal01/LunaNomal01_14	RoleStoryFace/LunaNomal01/LunaNomal01_14	RoleStoryFace/LunaNomal01/LunaNomal01_14	RoleStoryFace/LunaNomal01/LunaNomal01_14	RoleStoryFace/LunaNomal01/LunaNomal01_14	RoleStoryFace/LunaNomal01/LunaNomal01_14	RoleStoryFace/LunaNomal01/LunaNomal01_14	RoleStoryFace/LunaNomal01/LunaNomal01_14	RoleStoryFace/LunaNomal01/LunaNomal01_14	RoleStoryFace/LunaNomal01/LunaNomal01_14	RoleStoryFace/LunaNomal01/LunaNomal01_14	RoleStoryFace/LunaNomal01/LunaNomal01_14	RoleStoryFace/LunaNomal01/LunaNomal01_14
