Id	CharacterId	UnlockLv	Title	Content	ConditionDescript
1	1011002	1	编号001	\n灰鸦小队成员，进攻型。\n使用双枪的构造体，精通工程学。不仅能够灵活地使用各种枪械，精准命中感染体要害，也擅长工事建设和设备维护等工作。	信赖度1级解锁
2	1011002	2	编号002	\n“隔离装置就交给我吧。”\n以高智能、超水准的逻辑演算能力著称，拥有远超一般构造体数据储存容量的资料库，在作战中全程负责隔离装置架设与灰鸦小队的军备器械维护工作。\n似乎对构造体机体维修也有所涉猎。	信赖度2级解锁
3	1011002	3	编号003	\n“说不定生物的一般性精神能力你其实是能达到正常人类标准的呢。”\n说话一针见血，总是能直击事物本质，就算出于好意或是其他层面考虑而吐露出的话语总会别扭发挥成唱反调。\n了解他的真意要从行动开始，而不是言语。	信赖度3级解锁
4	1011002	4	编号004	\n“叫哥哥这就有点……”\n对哥哥的称谓莫名有点介怀。\n虽然表面上对所有事物漠不关心，只专注于手上的任务，但其实有在默默注视着一切。\n\n曾在小队队员丽芙遭遇感染体“提法”袭击时，毫不犹豫挺身而出，并因此受伤。\n尽管本身极力掩饰，但他对于包括指挥官在内的“同伴”重视程度在此可见一斑。	信赖度4级解锁
5	1011002	5	编号005	\n“我还是希望你能平平安安的，就这样就好。”\n意识来源于人类青年“莫里安”，为了医治弟弟，自愿加入构造体计划并成为实验品。\n作为人类心脏的部分，现在正在弟弟的胸腔里跳动着。\n是同批次构造体中，综合能力最强的。	信赖度5级解锁
6	1011002	6	编号006	\n“抱歉，你的雕虫小技我早就看穿了。”\n由于替代丽芙承受了感染体“提法”的攻击，留下了被提法控制的后患。在之后与提法战斗时发作，得益于里的预先处理使得态势扭转，化险为夷。\n是值得交付任务与信赖的构造体。	信赖度6级解锁
7	1021001	1	编号001	\n灰鸦小队的队长，进攻型。\n优秀的军用尖兵，认真、沉着，以破坏病毒源、迎接人类回归的任务为重。\n使用武器为太刀，在爆发状态下可以利用能量场形成双刀模式，进行猛烈的连续攻击。	信赖度1级解锁
8	1021001	2	编号002	\n“指挥官，接下来我们将会前往迎击敌人，请你给予战斗许可。”\n绝对服从指令，总是冷静高效地执行作战任务，战斗时会有不顾自身安危的倾向。\n	信赖度2级解锁
9	1021001	3	编号003	\n是第一批军用构造体。\n自从战争开始以来经历过无数场战斗。已经习惯了战斗，面对任何的危机都不会慌张。\n一直极力压抑着内心涌现出来的各种情感，规避任何影响战局的情感情绪因素。	信赖度3级解锁
10	1021001	4	编号004	\n似乎因不明原因经历过记忆清洗。\n模糊的记忆碎片偶尔出现在意识海，在暂时没有作战任务的时间间隙，露西亚会陷入安静的思考。\n	信赖度4级解锁
11	1021001	5	编号005	\n人类时期的露西亚与妹妹露娜相依为命，一直照顾着妹妹。\n父母因帕弥什而亡。\n最初的希望是和妹妹露娜一起活下去。\n对青蛙型的玩偶抱有好感。	信赖度5级解锁
12	1021001	6	编号006	\n与升格者一方似乎有某种深刻的渊源。\n	信赖度6级解锁
13	1031001	1	编号001	\n“请、请不要这样盯着我看……”\n灰鸦小队成员，辅助型。\n擅长战术分析与个体修复，在灰鸦小队中担任后方支援人员。\n害羞而且怕生的少女外观构造体，原本不擅长战斗，但在灰鸦小队战力不足的情况下，走上了前线并努力提升着自己的战斗能力。	信赖度1级解锁
14	1031001	2	编号002	\n“我会努力的！”\n保留了善良纯真的一面的丽芙，一直希望自己的能力可以帮助到大家，让所有人都得到幸福。\n认为大家都散发着各自的光芒，自己能够遇到这些同伴是自己的幸运。	信赖度2级解锁
15	1031001	3	编号003	\n由于其纯洁无垢的个性，极容易受到欺骗与伤害，深埋于丽芙内在的执著的一面与自我奉献精神，使得丽芙容易走向某种危险的极端。\n由于灰鸦小队与灰鸦小队指挥官的存在，丽芙才能自始至终保有这份纯白。	信赖度3级解锁
16	1031001	4	编号004	\n“卡列尼娜！别一个人往前冲！”\n经历了对指挥官的依赖，动摇，离开，约定，然后回归。丽芙从当初的小女孩成长为可以与大家并肩作战的战士。\n面对着失控的卡列尼娜也未曾慌乱，理智的给出了建议。	信赖度4级解锁
17	1031001	5	编号005	\n人类时期的丽芙作为医疗集团高层的女儿，自愿代替家人服兵役，成为一名前线的医疗官，为了拯救他人而差点丧命，因此被改造成为构造体。	信赖度5级解锁
18	1031001	6	编号006	\n虽然最初并不擅长战斗。但在灰鸦小队的指挥官指导之下，丽芙进行了各种各样的特训。\n现在的丽芙，已经变成能够独当一面的存在。	信赖度6级解锁
19	1041002	1	编号001	\n清理部队队长，进攻型。\n冷彻而理性的女性构造体，使用弓箭的比安卡，总是能冷静地纵观全局，做出正确且对局势有帮助的判断。	信赖度1级解锁
20	1041002	2	编号002	\n表面看起来是冷酷的清理部队队长，实际上意外地讲道理。应对突发状况，拥有灵活的应变能力，能够综合各方面的意见再下最终判断。\n但自己的这种过于“公正”特性有时会让她感到困扰。	信赖度2级解锁
21	1041002	3	编号003	\n服役时间很长，部下名单一直处在高速轮换状态。\n与卡列尼娜是密友亦是作战伙伴。\n认为清理部队的工作是将被感染的构造体从帕弥什病毒的折磨中解放，因此相信清理部队的工作是有意义的。	信赖度3级解锁
22	1041002	4	编号004	\n在追剿“叛逃者”神威的任务中，她没有被任务的表面所蒙蔽，与灰鸦小队合作，是最终打破僵持局面的重要战力之一。	信赖度4级解锁
23	1041002	5	编号005	\n人类的比安卡原是被遗弃在雪地里的孤儿，被雪原上僻远教堂里的神父抚养长大。\n拥有信仰的比安卡，对自身的要求严苛。\n作为一个惩戒者，亦认为自己身负罪恶，但并不打算停下自己的脚步。	信赖度5级解锁
24	1041002	6	编号006	\n面对每一个任务，都坚持认真调查才得出结论，而不会轻易执行处决，因此被其他清理部队蔑称为半吊子。\n尽管如此，比安卡依然坚持自己的立场，一直努力维持清理部队和执行者部队之间的平衡。	信赖度6级解锁
