Name	Type
CheckAction	2|2
CheckNpcBeHitState	2|2
CheckNpcMoveState	2|2
CheckNpcMoveDirection	2|2
CheckActivate	2
CheckArea	2|0
CheckBehaviorContext	
CheckCanCastSkill	2
CheckExistBuffByKind	2|2
CheckExistBuffByKindEx	2|2
CheckAngle	4|4|4|4|4|4|2|2
CheckInt	2|2|2
CheckIntCompareInt	2|2|2
CheckNote	2
CheckNpc	2
CheckMapPosition	0
CheckNpcInAngle	2|2|2
CheckNpcInAngleEx	2|2|2
CheckNpcInRange	2|2|4
CheckNpcInRangeEx	2|2|2
CheckOperation	2
CheckPassTime	2|4
CheckPassTimeEx	2|2
CheckPassFrame	2|2|4
CheckPassFrameEx	2|2|4
CheckPositionInAngle	2|2|2|2
CheckPositionInAngleEx	2|2|2|2
CheckNpcInLeft	2|2
CheckPositionInRange	2|2|2|4
CheckPositionInRangeEx	2|2|2|2
CheckProbability	2
CheckProbabilityEx	2
CheckTime	4
Debug	0|1
DebugNote	2|1
DebugNpc	2|1
DoAbortSkill	2|1
DoActiveStar	2|2
DoAddAssistNpc	2|2|0|4|4|0|4|4
DoRemoveNpc	2
DoAddInt	2|2|2
DoSubInt	2|2|2
DoAddIntEx	2|2|2
DoSubIntEx	2|2|2
DoAddNpc	2|2|2|2|2|0|4|4|0|4|4
DoCastSkill	2|2
DoCastSkillEx	2|2
DoCastSkillByNpc	2|2|2
DoCastSkillByNpcEx	2|2|2
DoCastSkillByPosition	2|2|2|2
DoCastSkillByPositionEx	2|2|2|2
DoCopyNote	2|2
DoCopyNoteEx	2|2|2
DoDivInt	2|2|4
DoDivIntEx	2|2|2
DoExitFight	
DoFaceToNpc	2|2|1
DoFaceToPosition	2|2|2|1
DoFaceToDir	2|2
DoSetCameraLookAt	2|2|2
DoGetAttribLossRate	2|2|2|4
DoGetAttribLossRateEx	2|2|2|2
DoGetAttribMaxValue	2|2|2
DoGetAttribRate	2|2|2|4
DoGetAttribRateEx	2|2|2|2
DoGetAttribValue	2|2|2
DoSetAttribCurrentValue	2|2|2
DoGetBallContext	2|2|2
DoGetBeHitBehaviorContext	2|2|2
DoGetBuffCount	2|2|2
DoGetBuffCountEx	2|2|2
DoGetClickOperation	2|2|2
DoGetCurrentSkill	2|2
DoGetDamageBehaviorContext	2|2|2|2|2|2|2|2
DoGetDeadRoleCount	2
DoGetMapPosition	2|2|0
DoGetMoveOperation	2|2|2|2
DoGetNpc	2
DoGetNpcTemplateId	2|2
DoGetNpcCamp	2|2
DoGetNpcComboCount	2|2
DoGetNpcKind	2|2
DoGetNpcMaster	2|2
DoGetNpcOffsetPosition	2|2|2|2|2|2|4
DoGetNpcOffsetPositionEx	2|2|2|2|2|2|4
DoGetNpcPosition	2|2|2
DoGetPositionOffsetPosition	2|2|2|2|2|2|2|4
DoGetPositionOffsetPositionEx	2|2|2|2|2|2|2|4
DoGetNpcType	2|2
DoGetRoleActivateNpc	2|2
DoGetRoleCount	2
DoGetRoleDeadNpcCount	2|2
DoGetRoleIndex	2|2
DoGetRoleNpc	2|2|2
DoGetRoleNpcCount	2|2
DoGetSkillBehaviorContext	2|2|2
DoGetSwitchBehaviorContext	2|2
DoGetTime	2|4
DoGetTimeEx	2|2
DoGetNpcFrame	2|2|4
DoGetNpcFrameEx	2|2|2
DoHideFightGuide	
DoIntAddInt	2|2|2
DoIntDivInt	2|2|2|4
DoIntDivIntEx	2|2|2|2
DoIntMulInt	2|2|2|4
DoIntMulIntEx	2|2|2|2
DoMagic	2|2|2|2
DoMagicEx	2|2|2|2
DoMagicWithAllRole	2|2|2
DoMagicWithAllRoleEx	2|2|2|2
DoModInt	2|2|2
DoModIntEx	2|2|2
DoMoveToNpc	2|2|1
DoMoveToPosition	2|2|2|1
DoMoveForward	2|1
DoMulInt	2|2|4
