Id	RankId	Type	Ranking	MailId
1	1	1	1	50001
2	1	1	2	50002
3	1	1	3	50003
4	1	1	5	50004
5	1	1	10	50005
6	1	2	10	50006
7	1	2	100	50007
8	1	2	1000	50008
9	1	2	10000	50009
10	2	1	1	50001
11	2	1	2	50002
12	2	1	3	50003
13	2	1	5	50004
14	2	1	10	50005
15	2	2	10	50006
16	2	2	100	50007
17	2	2	1000	50008
18	2	2	10000	50009
19	3	1	1	50001
20	3	1	2	50002
21	3	1	3	50003
22	3	1	5	50004
23	3	1	10	50005
24	3	2	10	50006
25	3	2	100	50007
26	3	2	1000	50008
27	3	2	10000	50009
28	1501	2	100	11000
29	1501	2	500	11001
30	1501	2	1000	11002
31	1501	2	3000	11003
32	1501	2	9500	11004
33	1502	2	100	12000
34	1502	2	500	12001
35	1502	2	1000	12002
36	1502	2	3000	12003
37	1502	2	9500	12004
38	1503	2	100	13000
39	1503	2	500	13001
40	1503	2	1000	13002
41	1503	2	3000	13003
42	1503	2	9500	13004
