Level	Exp	AllExp
1	60	0
2	60	60
3	60	120
4	60	180
5	60	240
6	70	300
7	70	370
8	70	440
9	70	510
10	70	580
11	80	650
12	80	730
13	80	810
14	80	890
15	80	970
16	90	1050
17	90	1140
18	90	1230
19	90	1320
20	90	1410
21	100	1500
22	100	1600
23	100	1700
24	100	1800
25	100	1900
26	110	2000
27	110	2110
28	110	2220
29	110	2330
30	110	2440
31	130	2550
32	130	2680
33	130	2810
34	130	2940
35	130	3070
36	150	3200
37	150	3350
38	150	3500
39	150	3650
40	150	3800
41	160	3950
42	160	4110
43	160	4270
44	160	4430
45	160	4590
