Level	Exp	AllExp
1	80	0
2	80	80
3	80	160
4	80	240
5	80	320
6	90	400
7	90	490
8	90	580
9	90	670
10	90	760
11	100	850
12	100	950
13	100	1050
14	100	1150
15	100	1250
16	110	1350
17	110	1460
18	110	1570
19	110	1680
20	110	1790
21	120	1900
22	120	2020
23	120	2140
24	120	2260
25	120	2380
26	130	2500
27	130	2630
28	130	2760
29	130	2890
30	130	3020
31	150	3150
32	150	3300
33	150	3450
34	150	3600
35	150	3750
36	170	3900
37	170	4070
38	170	4240
39	170	4410
40	170	4580
