Level	Exp	AllExp
1	150	0
2	150	150
3	150	300
4	150	450
5	150	600
6	160	750
7	160	910
8	160	1070
9	160	1230
10	160	1390
11	170	1550
12	170	1720
13	170	1890
14	170	2060
15	170	2230
16	180	2400
17	180	2580
18	180	2760
19	180	2940
20	180	3120
21	190	3300
22	190	3490
23	190	3680
24	190	3870
25	190	4060
26	200	4250
27	200	4450
28	200	4650
29	200	4850
30	200	5050
31	220	5250
32	220	5470
33	220	5690
34	220	5910
35	220	6130
36	240	6350
37	240	6590
38	240	6830
39	240	7070
40	240	7310
41	260	7550
42	260	7810
43	260	8070
44	260	8330
45	260	8590
