Id	Type	Name	Description	Part	Star	Level	Quality	Priority	BigSuccessProbability	BigSuccessBottomId	PoolId[1]	PoolId[2]	BigSuccessPoolId[1]	BigSuccessPoolId[2]	RecoveryRewardId	NotEvaluatedDesc[1]	NotEvaluatedDesc[2]	Icon	BigIcon
7000000	1	50级低速进攻内容A	基地装备，简单的A型构造体强化内存，能够提升所有【进攻】类构造体：攻击+？？？      防御+？？？	1	1	50	3		1500	20	1	1	2	2	700000	攻击+？？？	防御+？？？		
7000001	1	50级高速进攻内容A	基地装备，高级的A型构造体强化内存，能够提升所有【进攻】类构造体：攻击+？？？      防御+？？？	1	1	50	4		1500	20	2	2	3	3	700001	攻击+？？？	防御+？？？		
7000002	1	50级极速进攻内容A	基地装备，特制的A型构造体强化内存，能够提升所有【进攻】类构造体：攻击+？？？      防御+？？？	1	1	50	5		1500	20	1	1	2	2	700002	攻击+？？？	防御+？？？		
7000003	1	60级低速进攻内容B	基地装备，简单的B型构造体强化内存，能够提升所有【进攻】类构造体：攻击+？？？      防御+？？？	1	2	60	3		1500	20	2	2	3	3	700003	攻击+？？？	防御+？？？		
7000004	1	60级高速进攻内容B	基地装备，高级的B型构造体强化内存，能够提升所有【进攻】类构造体：攻击+？？？      防御+？？？	1	2	60	4		1500	20	1	1	2	2	700004	攻击+？？？	防御+？？？		
7000005	1	60级极速进攻内容B	基地装备，特制的B型构造体强化内存，能够提升所有【进攻】类构造体：攻击+？？？      防御+？？？	1	2	60	5		1500	20	2	2	3	3	700005	攻击+？？？	防御+？？？		
7000006	1	70级低速进攻内容C	基地装备，简单的C型构造体强化内存，能够提升所有【进攻】类构造体：攻击+？？？      防御+？？？	1	3	70	3		1500	20	1	1	2	2	700006	攻击+？？？	防御+？？？		
7000007	1	70级高速进攻内容C	基地装备，高级的C型构造体强化内存，能够提升所有【进攻】类构造体：攻击+？？？      防御+？？？	1	3	70	4		1500	20	2	2	3	3	700007	攻击+？？？	防御+？？？		
7000008	1	70级极速进攻内容C	基地装备，特制的C型构造体强化内存，能够提升所有【进攻】类构造体：攻击+？？？      防御+？？？	1	3	70	5		1500	20	1	1	2	2	700008	攻击+？？？	防御+？？？		
7000009	1	80级低速进攻内容D	基地装备，简单的D型构造体强化内存，能够提升所有【进攻】类构造体：攻击+？？？      防御+？？？	1	4	80	3		1500	20	2	2	3	3	700009	攻击+？？？	防御+？？？		
7000010	1	80级高速进攻内容D	基地装备，高级的D型构造体强化内存，能够提升所有【进攻】类构造体：攻击+？？？      防御+？？？	1	4	80	4		1500	20	1	1	2	2	700010	攻击+？？？	防御+？？？		
7000011	1	80级极速进攻内容D	基地装备，特制的D型构造体强化内存，能够提升所有【进攻】类构造体：攻击+？？？      防御+？？？	1	4	80	5		1500	20	2	2	3	3	700011	攻击+？？？	防御+？？？		
7000012	1	90级低速进攻内容E	基地装备，简单的E型构造体强化内存，能够提升所有【进攻】类构造体：攻击+？？？      防御+？？？	1	5	90	3		1500	20	1	1	2	2	700012	攻击+？？？	防御+？？？		
7000013	1	90级高速进攻内容E	基地装备，高级的E型构造体强化内存，能够提升所有【进攻】类构造体：攻击+？？？      防御+？？？	1	5	90	4		1500	20	2	2	3	3	700013	攻击+？？？	防御+？？？		
7000014	1	90级极速进攻内容E	基地装备，特制的E型构造体强化内存，能够提升所有【进攻】类构造体：攻击+？？？      防御+？？？	1	5	90	5		1500	20	1	1	2	2	700014	攻击+？？？	防御+？？？		
7000015	1	100级低速进攻内容F	基地装备，简单的F型构造体强化内存，能够提升所有【进攻】类构造体：攻击+？？？      防御+？？？	1	6	100	3		1500	20	2	2	3	3	700015	攻击+？？？	防御+？？？		
7000016	1	100级高速进攻内容F	基地装备，高级的F型构造体强化内存，能够提升所有【进攻】类构造体：攻击+？？？      防御+？？？	1	6	100	4		1500	20	1	1	2	2	700016	攻击+？？？	防御+？？？		
7000017	1	100级极速进攻内容F	基地装备，特制的F型构造体强化内存，能够提升所有【进攻】类构造体：攻击+？？？      防御+？？？	1	6	100	5		1500	20	2	2	3	3	700017	攻击+？？？	防御+？？？		
7010000	1	45级低速进攻散热A	基地装备，简单的A型构造体强化风扇，能够提升所有【进攻】类构造体：生命+？？？      会心+？？？	2	1	45	3		1500	20	1	1	2	2	700000	攻击+？？？	防御+？？？		
