Id	GroupId	UsableTimes	TemplateId	Count	Params[0]	Params[1]	Params[2]	Weight	Rare	Priority	Note
1	1	1	1081003	1				100	1	2000	
2	1	1	2085002	1	1	0		200	1	1900	
3	1	1	3016013	1	1	0		400	1	1600	
4	1	1	3046013	1	1	0		400	1	1500	
5	1	1	3035052	1	1	0		700	1	1800	
6	1	1	3045052	1	1	0		700	1	1700	
7	2	10	30013	1				833		750	
8	2	8	12	5				625		710	
9	2	16	1	20000				585		700	
10	2	5	2994001	1	1	0		1904		770	
11	2	10	3914001	1	1	0		2857		760	
12	2	10	40100	2				1500		740	
13	2	5	40103	1				3000		730	
14	2	10	40104	2				1125		720	
15	2	10	40110	1				750		800	
16	2	5	40113	1				750		790	
17	2	5	40114	1				2250		780	
