Name	SoundId	PlayRefType
FxYubei	3	0
FxUi009	1001	0
FxHuanjueseFen	552	0
FxHuanjueseHong	552	0
FxHuanjueseHuang	552	0
FxHuanjueseLan	552	0
FxJixianshanbi	551	0
FxQte	552	0
FxBuffZhansha	555	1
FxYubei02	1080	0
FxYujingXian01	1081	0
FxYujingXian02	1082	0
FxJiaojingAttack01		
FxJiaojingAttack01Shouji	403	0
FxJiaojingAttack02	404	0
FxJiaojingAttack03	405	0
FxJiaojingAttack03Shouji	406	0
FxJiaojingAttack01Fire	407	0
FxDrop01		
FxDrop02		
FxDrop03		
FxDropCure		
FxDropAttack		
FxDrop01BeHit	557	0
FxDrop02BeHit	557	0
FxDrop03BeHit	557	0
FxDropCureBeHit	557	0
FxDropAttackBeHit	557	0
FxEquipChristmasBox04	557	0
FxEquipChristmasBox05	557	0
FxEquipChristmasBox06	557	0
FxDrop01Bing	558	0
FxDrop02Bing	558	0
FxDrop03Bing	558	0
FxDropDead	559	0
FxTongyongGuanghuanKuosan	560	0
FxTongyongBaozha	561	0
FxFaxianQianxing	562	0
FxAirwallActivated	563	0
FxBaseSceneFire02	564	0
FxBaseSceneFire01	565	0
FxBaseSceneFire05	566	0
FxMt1GunpowderMd000001Boom	567	0
BaceSceneFire04	568	0
BaceSceneFire03	569	0
FxBorn01	570	0
FxJiantou02		
FxWeaponClaymore51Wuqi01	572	0
FxEquipChristmasBox08	573	0
FxWeaponSword51Luolei	579	0
FxWeaponFloat62Wuqi03	580	0
FxEquipAdaifuChufa	581	0
FxWeaponExDiankuo	582	0
FxEquipFumianGuanghuan	583	0
FxEquipShousun	584	0
FxEquipHudun	585	0
FxEquipTripleBall64Ready	586	0
FxEquipMagicTank64Guanghuan	587	0
FxEquipPhyTank64Hudun	585	0
FxEquipPhyTank64HudunShouji	588	0
FxEquipExSkill64Buff	589	0
FxEquipDarkAtk64Jiaqiu	590	0
FxEquipIceAtk64Bingjing	591	0
FxEquipEvadAtk64Chudian	592	0
FxEquipNormalAtk64Baonu	593	0
FxEquipJianqi	594	0
FxEquipBall64Chongjibo	595	0
FxEquipDarkAtk64Anying	596	0
FxEquipEleAtk64Leibao	597	0
FxEquipFireAtk64Baozha	598	0
FxEquipPhySup64Chongneng01	599	0
FxEquipPhySup64Chongneng02	599	0
FxEquipPhySup64Chongneng03	599	0
FxEquipPhySup64Chongneng04	599	0
FxEquipPhySup64Chongneng05	600	0
FxEquipPhySup64Fly	601	0
FxEquipPhySup64FlyBuff	602	0
FxEquipMagicSup64Chongneng01	599	0
FxEquipMagicSup64Chongneng02	599	0
FxEquipMagicSup64Chongneng03	599	0
FxEquipMagicSup64Chongneng04	599	0
FxEquipMagicSup64Chongneng05	600	0
FxEquipMagicSup64Fly	601	0
FxEquipMagicSup64FlyBuff	602	0
FxCizhuiFusu	603	0
FxCizhuiHudun	604	0
FxCizhuiHudunShouji	605	0
FxCizhuiBaozou	606	0
FxCizhuiBilei	607	0
FxCizhuiBileiShouji	608	0
FxCizhuiFushe	609	0
FxCizhuiBihuan	610	0
FxCizhuiZhufu	611	0
FxCizhuiHuoyan	612	0
FxCizhuiDongjie	613	0
FxCizhuiAnying	614	0
FxCizhuiLeimin	615	0
FxCizhuiMailei	616	0
FxCizhuiGangti	617	0
FxCizhuiBingjingDandao	618	0
FxCizhuiDiandun	619	0
FxCizhuiZhadan	620	0
FxCizhuiHeidong	621	0
FxCizhuiShexian	622	0
FxCizhuiChongjibo	623	0
FxTongyongFireShouji	624	0
FxTongyongIceShouji	625	0
FxTongyongDarkShouji	626	0
FxTongyongEleShouji	627	0
FxTongyongBingshuang	628	0
FxTongyongBingdong	629	0
FxTongyongYinshen	630	0
FxTongyongJiaqiu	631	0
FxTongyongZhuoshao	632	0
FxTongyongGandian	633	0
FxTongyongAnshi	634	0
FxTongyongLuolei	635	0
FxRE2SwordMd120111Attack01	636	0
FxRE2SwordMd120111Attack01Shouji	637	0
FxRE2SwordMd120111Attack02	638	0
FxRE2SwordMd120111Attack02Shouji	639	0
FxRE2SwordMd120111Attack03	640	0
FxRE2SwordMd120111Attack03Shouji	641	0
FxRE2SwordMd120111Attack04	642	0
FxRE2SwordMd120111Attack04Shouji	643	0
FxRE2SwordMd120111Born	644	0
FxRE2SwordMd120111Death	645	0
FxRE2SwordMd120111Move	646	0
FxR1LuxiyaAttack01	20001	0
FxR1LuxiyaAttack02	20002	0
FxR1LuxiyaAttack03	20003	0
FxR1LuxiyaAttack04	20004	0
FxR1LuxiyaAttack05	20005	0
FxR1LuxiyaAttack06	20006	0
FxR1LuxiyaAttack01Shouji01	20007	0
FxR1LuxiyaAttack02Shouji01	20008	0
FxR1LuxiyaAttack02Shouji02	20008	0
FxR1LuxiyaAttack03Shouji01	20009	0
FxR1LuxiyaAttack04Shouji01	20010	0
FxR1LuxiyaAttack05Shouji01	20011	0
FxR1LuxiyaAttack05Shouji02	20011	0
FxR1LuxiyaAttack06Shouji01	20012	0
FxR1LuxiyaAttack07	20013	0
FxR1LuxiyaAttack11	20101	0
FxR1LuxiyaAttack13	20102	0
FxR1LuxiyaAttack11Shouji01	20103	0
FxR1LuxiyaAttack21		
FxR1LuxiyaAttack21Wuqi	20201	0
FxR1LuxiyaAttack22Wuqi	20201	0
FxR1LuxiyaAttack23Wuqi	20202	0
FxR1LuxiyaAttack31	20301	0
FxR1LuxiyaAttack33	20302	0
FxR1LuxiyaAttack31Shouji	20303	0
FxR1LuxiyaAttack31Dilie	20304	0
FxR1LuxiyaAttack33Dilie	20305	0
FxR1LuxiyaAttack41	20401	0
FxR1LuxiyaAttack42	20402	0
FxR1LuxiyaAttack43	20403	0
FxR1LuxiyaAttack44	20404	0
FxR1LuxiyaAttack41Wuqi		
