Id	SignId	Pre	Round	Day	IsGrandPrix	RewardType	RewardId	DropId	ShowRewardId
1	1	1	1	1	0	1	5000		5000
2	1	2	1	2	0	1	5001		5001
3	1	3	1	3	0	1	5002		5002
4	1	4	1	4	0	1	5003		5003
5	1	5	1	5	0	1	5004		5004
6	1	6	1	6	0	1	5005		5005
7	1	7	1	7	1	1	5006		5006
8	1	8	1	8	0	1	5007		5007
9	1	9	1	9	0	1	5008		5008
10	1	10	1	10	0	1	5009		5009
11	1	11	1	11	0	1	5010		5010
12	1	12	1	12	0	1	5011		5011
13	1	13	1	13	0	1	5012		5012
14	1	14	1	14	1	1	5013		5013
15	1	15	1	15	0	1	5014		5014
16	1	16	1	16	0	1	5015		5015
17	1	17	1	17	0	1	5016		5016
18	1	18	1	18	0	1	5017		5017
19	1	19	1	19	0	1	5018		5018
20	1	20	1	20	0	1	5019		5019
21	1	21	1	21	1	1	5020		5020
22	1	22	1	22	0	1	5021		5021
23	1	23	1	23	0	1	5022		5022
24	1	24	1	24	0	1	5023		5023
25	1	25	1	25	0	1	5024		5024
26	1	26	1	26	0	1	5025		5025
27	1	27	1	27	0	1	5026		5026
28	1	28	1	28	1	1	5027		5027
29	2	1	1	1	0	1	5500		5500
30	2	2	1	2	0	1	5501		5501
31	2	3	1	3	0	1	5502		5502
32	2	4	1	4	0	1	5503		5503
33	2	5	1	5	0	1	5504		5504
34	2	6	1	6	0	1	5505		5505
35	2	7	1	7	1	1	5506		5506
36	2	1	2	1	0	1	5507		5507
37	2	2	2	2	0	1	5508		5508
38	2	3	2	3	0	1	5509		5509
39	2	4	2	4	0	1	5510		5510
40	2	5	2	5	0	1	5511		5511
41	2	6	2	6	0	1	5512		5512
42	2	7	2	7	1	1	5513		5513
