Key	PrefabUrl
UiPanelCharProperty1	Assets/Product/Ui/ComponentPrefab/Character/PanelCharLevel.prefab
UiPanelCharProperty2	Assets/Product/Ui/ComponentPrefab/Character/PanelCharGrade.prefab
UiPanelCharProperty3	Assets/Product/Ui/ComponentPrefab/Character/PanelCharQuality.prefab
UiPanelCharProperty4	Assets/Product/Ui/ComponentPrefab/Character/PanelCharSkill.prefab
UiSetPanelInstruction	Assets/Product/Ui/ComponentPrefab/Set/PanelInstruction.prefab
UiSetPanelVoiceSet	Assets/Product/Ui/ComponentPrefab/Set/PanelVoiceSet.prefab
UiSetPanelGraphicsSet	Assets/Product/Ui/ComponentPrefab/Set/PanelGraphicsSet.prefab
UiSetPanelFightSet	Assets/Product/Ui/ComponentPrefab/Set/PanelFightSet.prefab
UiSetPanelPushSet	
UiSetPanelOther	Assets/Product/Ui/ComponentPrefab/Set/PanelOther.prefab
UiDrawOpenBoxPre	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiDrawOpenBoxPre.prefab
