Id	Type	Name	SortOrder	PlayAlone
100001	2	Assets/Product/Effect/Prefab/FxTongyong/FxShoujiPingmu03.prefab	2	1
100002	1	Assets/Product/Effect/Prefab/FxZhandou/FxCanxuePingmu.prefab	2	1
100003	1	Assets/Product/Effect/Prefab/FxZhandou/FxPingmuFuhuo.prefab	2	1
100004	1	Assets/Product/Effect/Prefab/FxZhandou/FxPingmuDeath.prefab	2	1
100005	1	Assets/Product/Effect/Prefab/FxZhandou/FxTimeOutPingmu.prefab	2	1
100010	1	Assets/Product/Effect/Prefab/FxTongyong/FxHeipingpingmu.prefab	2	1
100201	1	Assets/Product/Effect/Prefab/FxR1Luxiya/FxR1LuxiyaPingmu.prefab	2	0
100501	1	Assets/Product/Effect/Prefab/FxR2Qishi/FxR2YongyechaoAttack51Pingmu.prefab	2	0
100701	1	Assets/Product/Effect/Prefab/FxR2Kalienina/FxR2KalieninaAttack41Pingmu.prefab	2	0
100801	1	Assets/Product/Effect/Prefab/FxR2Dubian/FxR2DubianPingmu.prefab	2	0
101201	1	Assets/Product/Effect/Prefab/FxR2Luxiya/FxR2LuxiyaAttack51pingmu.prefab	2	0
101301	1	Assets/Product/Effect/Prefab/FxTongyong/FxHeimuPingmu.prefab	2	0
101701	1	Assets/Product/Effect/Prefab/FxR3Kalienina/FxR3KalieninaExPingmu.prefab	2	0
100601	1	Assets/Product/Effect/Prefab/FxTongyong/FxHeimuPingmu.prefab	2	0
200001	1	Assets/Product/Effect/Prefab/FxTongyong/FxHeimuPingmu.prefab	2	0
200002	1	Assets/Product/Effect/Prefab/FxZhandou/FxDianyingPingmu00.prefab	2	0
200003	1	Assets/Product/Effect/Prefab/FxTongyong/FxHeimuPingmu.prefab	2	0
200004	1	Assets/Product/Effect/Prefab/FxTongyong/FxHeimuPingmu02.prefab	2	0
200005	1	Assets/Product/Effect/Prefab/FxZhandou/FxPingmuSneak.prefab	2	0
110501	1	Assets/Product/Effect/Prefab/FxZhandou/FxBingDuQuYu.prefab	2	0
