Id	GroupId	GroupName	GroupLogo	GroupDescription	CharacterId	HeadPortrait	GraduationPortrait	Port
1	1	队列-火	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon008.png	火系攻击的特化构造体，带有火属性的攻击或者强化能力	0			1
2	1	队列-火	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon008.png	火系攻击的特化构造体，带有火属性的攻击或者强化能力	1051003	Assets/Product/Texture/Image/RolePlayer/RoleHeadYongyechao1SS.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadYongyechao4SS.png	2
3	1	队列-火	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon008.png	火系攻击的特化构造体，带有火属性的攻击或者强化能力	1071003	Assets/Product/Texture/Image/RolePlayer/RoleHeadKalienina1SS.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadKalienina4SS.png	3
4	1	队列-火	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon008.png	火系攻击的特化构造体，带有火属性的攻击或者强化能力	1011002	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	4
5	2	队列-暴击	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon002.png	擅长捕捉与进攻敌人弱点的构造体，能够将会心攻击发挥出更大效果	1041002	Assets/Product/Texture/Image/RolePlayer/RoleHeadAolisuo1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadAolisuo4.png	5
6	3	队列-零	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon005.png	记录中在早期与指挥官产生链接的构造体	1021001	Assets/Product/Texture/Image/RolePlayer/RoleHeadluxiya1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadluxiya4.png	6
7	3	队列-零	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon005.png	记录中在早期与指挥官产生链接的构造体	1031001	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu4.png	7
8	3	队列-零	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon005.png	记录中在早期与指挥官产生链接的构造体	1051001	Assets/Product/Texture/Image/RolePlayer/RoleHeadYongyechao1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadYongyechao4.png	8
9	4	队列-必杀	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon003.png	擅长灵活使用能量的构造体，能以高速积累能量并释放强化的必杀技能	0			9
10	5	队列-雷	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon007.png	雷系攻击的特化构造体，带有雷属性的攻击或者强化能力	1031002	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu1S.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu4S.png	10
11	5	队列-雷	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon007.png	雷系攻击的特化构造体，带有雷属性的攻击或者强化能力	1021002	Assets/Product/Texture/Image/RolePlayer/RoleHeadluxiya1S.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadluxiya4S.png	11
12	6	队列-灰鸦降临	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon004.png	灰鸦小队成员的S级阶位构造体	1031003	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu1SS.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu4SS.png	12
13	6	队列-灰鸦降临	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon004.png	灰鸦小队成员的S级阶位构造体	1011003	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi1SS.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4SS.png	13
14	6	队列-灰鸦降临	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon004.png	灰鸦小队成员的S级阶位构造体	1021003	Assets/Product/Texture/Image/RolePlayer/RoleHeadLuxiyaaerfa1SS.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadLuxiyaaerfa4SS.png	14
15	7	队列-暗	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon006.png	暗系攻击的特化构造体，带有暗属性的攻击或者强化能力	0			15
16	7	队列-暗	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon006.png	暗系攻击的特化构造体，带有暗属性的攻击或者强化能力	1061003	Assets/Product/Texture/Image/RolePlayer/RoleHeadShenwei1SS.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadShenwei4SS.png	16
