Id	Name	ConditionIds[1]	ConditionIds[2]	Priority	SkipId	NpcName	NpcHandIcon	NpcHalfIcon	Contents[1]	Contents[2]	Contents[3]	Contents[4]	Contents[5]	Type
101	剧情任务	70101		1	21	丽芙	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	指挥官，请允许我提醒一下，我们在每次行动中都会伴随着各种任务的执行。	完成任务之后可以获得大量的重要物资补给，请务必及时领取。	这样我们就能更早地换上那些更加先进的装备，对今后的行动会更加有利。	接下来就请试试吧。		1
102	获得角色、升级	70102		2	21	丽芙	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	指挥官，多亏了大家的努力，我终于可以重新加入战斗了！	在这之前，请为我进行一些升级调试，并指派战斗位置。	指挥官……我已经，迫不及待和大家一起并肩作战了。			1
103	技能升级	70103		3	21	露西亚	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	Assets/Product/Texture/Image/RoleStory/LuxiyaNormal01.png	指挥官，我们构造体对自身的技能的使用，会随着战斗而越发熟练。	这次请试着提升我的技能等级，这样我就可以发挥出它更大的潜力。	如果可以的话……在下一场战斗中，请指挥官关注我的表现吧。			1
104	新手目标	70104		4	21	赛利卡	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	Assets/Product/Texture/Image/RoleStory/SailikaNomal01.png	嗨，灰鸦小队的指挥官你好啊，刚才有一件事情忘记说了。	我们给每个初次参加这场战役的小队，都规划了新手目标，达成之后会给小队分配更加丰富的物资。	虽然被叫做“新手目标”，但我认为比起其他小队的指挥官来说，你一定是例、外、的……	那么请加油吧，拜拜咯。		1
105	角色晋升	70105		5	21	露西亚	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	Assets/Product/Texture/Image/RoleStory/LuxiyaNormal01.png	指挥官，构造体们都会有属于自己的军阶。	不仅是荣誉的象征，也会对机体性能有很大提升。	想要获得军阶的晋升就需要完成指定的任务。	接下来，请指挥官指引我获得更多的荣誉吧。		1
1	签到	70001		6	21	丽芙	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	指挥官，每一场战役都是长期而艰苦的，为了回馈指挥官每天的辛劳——	通过进行签到，每天获得新的物资补给。	补给中心为指挥官的第一次的签到准备了一把特制武器。	指挥官，灰鸦小队的全体成员今后也会继续跟随您活跃在战场上。		1
2	任务-每日	70002		7	21	里	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	Assets/Product/Texture/Image/RoleStory/LiangNomal01.png	指挥官，你应该有自己的一个任务板对吧？	除了主要任务之外，每天也会有一批需要当天完成的任务。	可不要小瞧了这些任务的奖励物资对于我们在作战上的帮助。	接下来，就请你仔细阅览一下任务板上的各类任务吧。		1
3	研发系统	70003		8	21	？？？	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1.png	Assets/Product/Texture/Image/RoleStory/Yongyechaonormal01.png	呀吼——灰鸦小队的指挥官你好呀！	咦？要问我是谁？别着急，待会儿我们就会见面了！	话说，有件事情你一定了期待很久吧？	那就是让更多的构造体能够有机会和指挥官一起并肩作战！	快来试试这个研发券，就当做是我的见面礼吧。	1
111	引导主线任务	70106		9	21	露西亚	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	Assets/Product/Texture/Image/RoleStory/LuxiyaNormal01.png	指挥官，战斗越来越艰难了，我们也需要持续的后勤补给。	请继续保持状态，确保完成主要任务。	这样我们才有足够的物资储备，以应对更强的敌人。	指挥官，我们一起努力吧。		1
106	日常-角色经验	70111		10	21	丽芙	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	指挥官，在完成主要任务的空暇之余，还可以让构造体们参与特训。	构造体特训能够让我们在模拟战斗中继续精进自身的战斗经验。	今后也请给我们安排一些特训计划吧。			1
