Level	Exp
1	20
2	60
3	100
4	140
5	180
6	240
7	300
8	360
9	420
10	480
11	560
12	640
13	720
14	800
15	880
16	980
17	1080
18	1180
19	1280
20	1380
21	1500
22	1620
23	1740
24	1860
25	1980
26	2220
27	2460
28	2700
29	2940
30	3180
31	3500
32	3820
33	4140
34	4460
35	4820
36	5180
37	5540
38	5900
39	6440
40	6980
41	7520
42	8060
43	8660
44	9260
45	9860
46	10560
47	11260
48	11960
49	12660
50	13360
51	14360
52	15360
53	16360
54	17360
55	18360
56	19560
57	20760
58	21960
59	23160
60	24360
61	25720
62	27080
63	28440
64	29800
65	31160
66	33160
67	35160
68	37160
69	39160
70	41160
71	43400
72	45640
73	47880
74	50120
75	52360
76	54860
77	57360
78	59860
79	62360
80	0
