Id	Weight	MinDis	MaxDis	CharacterIds[1]	CharacterIds[2]	State[1]	State[2]
1	10	1	7	1011002	1021001	LOVE	LOVE
2	10	1	7	1011002	1031001	LOVE	LOVE
3	10	1	7	1021001	1031001	LOVE	LOVE
4	10	1	7	1021001	1011003	LOVE	LOVE
5	10	1	7	1021001	1061003	LOVE	LOVE
6	10	1	7	1031001	1011002	LOVE	LOVE
7	10	1	7	1031001	1021001	LOVE	LOVE
8	10	1	7	1031001	1081002	LOVE	LOVE
9	10	1	7	1041002	1021001	LOVE	LOVE
10	10	1	7	1041002	1031002	LOVE	LOVE
11	10	1	7	1051001	1021001	LOVE	LOVE
12	10	1	7	1051001	1031001	LOVE	LOVE
13	10	1	7	1051001	1041002	LOVE	LOVE
14	10	1	7	1061002	1031001	LOVE	LOVE
15	10	1	7	1061002	1021001	LOVE	LOVE
16	10	1	7	1061002	1081002	LOVE	LOVE
17	10	1	7	1071002	1071003	LOVE	LOVE
18	10	1	7	1071002	1041002	LOVE	LOVE
19	10	1	7	1081002	1061002	LOVE	LOVE
20	10	1	7	1081002	1031001	LOVE	LOVE
21	10	1	7	1081002	1011003	LOVE	LOVE
22	10	1	7	1021002	1031002	LOVE	LOVE
23	10	1	7	1021002	1011003	LOVE	LOVE
24	10	1	7	1021002	1061003	LOVE	LOVE
25	10	1	7	1031002	1021002	LOVE	LOVE
26	10	1	7	1031002	1061002	LOVE	LOVE
27	10	1	7	1061003	1031002	LOVE	LOVE
28	10	1	7	1061003	1021001	LOVE	LOVE
29	10	1	7	1061003	1011003	LOVE	LOVE
30	10	1	7	1031003	1021002	LOVE	LOVE
31	10	1	7	1031003	1011003	LOVE	LOVE
32	10	1	7	1011003	1021002	LOVE	LOVE
33	10	1	7	1011003	1031001	LOVE	LOVE
34	10	1	7	1011003	1061003	LOVE	LOVE
35	10	1	7	1071003	1031003	LOVE	LOVE
36	10	1	7	1071003	1041002	LOVE	LOVE
37	10	4	7	1011002	1061002	HATE	HATE
38	10	4	7	1021001	1071002	HATE	HATE
39	10	4	7	1051001	1081002	HATE	HATE
40	10	4	7	1071002	1081002	HATE	HATE
41	10	4	7	1061003	1061002	HATE	HATE
