Id	Name	CharacterId	State
1	QR2YongyechaoExcessiveBase01	1021001	1
2	QR2YongyechaoLoopWalk01	1021001	2
3	Event01	1021001	3
4	Event02	1021001	4
5	Event03	1021001	5
6	Event05	1021001	6
7	Propcontinue02	1021001	7
8	Propcontinue03	1021001	8
9	Propcontinue06	1021001	9
10	Propcontinue08	1021001	10
11	Touch01	1021001	11
12	Touch02	1021001	12
13	Touch04	1021001	13
14	Touch06	1021001	14
15	Moodcontinue01	1021001	15
16	Moodcontinue02	1021001	16
17	Moodcontinue03	1021001	17
18	Moodcontinue04	1021001	18
19	Moodcontinue05	1021001	19
20	QR2YongyechaoExcessiveBed01	1021001	20
21	Propstart06	1021001	21
22	Propstart07	1021001	22
23	Propstart08	1021001	23
24	Moodstart01	1021001	24
25	Moodstart02	1021001	25
26	Moodstart03	1021001	26
27	Moodstart04	1021001	27
28	Moodstart05	1021001	28
29	QR2YongyechaoExcessiveChair01	1021001	29
30	QR2YongyechaoLoopChair01	1021001	30
31	Touch05	1021001	31
32	QR2YongyechaoExcessiveBase01	1031001	1
33	QR2YongyechaoLoopWalk01	1031001	2
34	Event01	1031001	3
35	Event02	1031001	4
36	Event03	1031001	5
37	Event05	1031001	6
38	Propcontinue02	1031001	7
39	Propcontinue03	1031001	8
40	Propcontinue06	1031001	9
41	Propcontinue08	1031001	10
42	Touch01	1031001	11
43	Touch02	1031001	12
44	Touch04	1031001	13
45	Touch06	1031001	14
46	Moodcontinue01	1031001	15
47	Moodcontinue02	1031001	16
48	Moodcontinue03	1031001	17
49	Moodcontinue04	1031001	18
50	Moodcontinue05	1031001	19
51	QR2YongyechaoExcessiveBed01	1031001	20
52	Propstart06	1031001	21
53	Propstart07	1031001	22
54	Propstart08	1031001	23
55	Moodstart01	1031001	24
56	Moodstart02	1031001	25
57	Moodstart03	1031001	26
58	Moodstart04	1031001	27
59	Moodstart05	1031001	28
60	QR2YongyechaoExcessiveChair01	1031001	29
61	QR2YongyechaoLoopChair01	1031001	30
62	Touch05	1031001	31
63	QR2YongyechaoExcessiveBase01	1011002	1
64	QR2YongyechaoLoopWalk01	1011002	2
65	Event01	1011002	3
66	Event02	1011002	4
67	Event03	1011002	5
68	Event05	1011002	6
69	Propcontinue02	1011002	7
70	Propcontinue03	1011002	8
71	Propcontinue06	1011002	9
72	Propcontinue08	1011002	10
73	Touch01	1011002	11
74	Touch02	1011002	12
75	Touch04	1011002	13
76	Touch06	1011002	14
77	Moodcontinue01	1011002	15
78	Moodcontinue02	1011002	16
79	Moodcontinue03	1011002	17
80	Moodcontinue04	1011002	18
81	Moodcontinue05	1011002	19
82	QR2YongyechaoExcessiveBed01	1011002	20
83	Propstart06	1011002	21
84	Propstart07	1011002	22
85	Propstart08	1011002	23
86	Moodstart01	1011002	24
87	Moodstart02	1011002	25
88	Moodstart03	1011002	26
89	Moodstart04	1011002	27
90	Moodstart05	1011002	28
91	QR2YongyechaoExcessiveChair01	1011002	29
92	QR2YongyechaoLoopChair01	1011002	30
93	Touch05	1011002	31
94	QR2YongyechaoExcessiveBase01	1041002	1
95	QR2YongyechaoLoopWalk01	1041002	2
96	Event01	1041002	3
97	Event02	1041002	4
98	Event03	1041002	5
99	Event05	1041002	6
100	Propcontinue02	1041002	7
101	Propcontinue03	1041002	8
102	Propcontinue06	1041002	9
103	Propcontinue08	1041002	10
104	Touch01	1041002	11
105	Touch02	1041002	12
106	Touch04	1041002	13
107	Touch06	1041002	14
108	Moodcontinue01	1041002	15
109	Moodcontinue02	1041002	16
110	Moodcontinue03	1041002	17
111	Moodcontinue04	1041002	18
112	Moodcontinue05	1041002	19
113	QR2YongyechaoExcessiveBed01	1041002	20
114	Propstart06	1041002	21
115	Propstart07	1041002	22
116	Propstart08	1041002	23
117	Moodstart01	1041002	24
118	Moodstart02	1041002	25
119	Moodstart03	1041002	26
120	Moodstart04	1041002	27
121	Moodstart05	1041002	28
