Id	Type	GoodsId[1]	GoodsId[2]	GoodsId[3]	GoodsId[4]
301	2	2016001	2015001		
302	2	2026001	2025001		
303	2	2026002	2025001		
304	2	2036001	2035001		
305	2	2036002	2035001		
306	2	2036003	2035001		
307	2	2046001	2045001		
308	2	2056001	2055001		
309	2	2066001	2065001		
310	2	2066002	2065001		
311	2	2076001	2075001		
312	2	2086001	2085001		
313	2	2016002	2015001		
314	2	2076002	2075001		
315	2	2056002	2055001		
1002	3	1071003			
1001	3	2016001	2015001		
1003	3	1051003			
1004	3	1011003			
1005	3	1031003			
