Id	DrawId	IsUp	Name	Type	ProbShow
1	101		S级构造体(含保底)		1.90%
2	101		S级构造体(基础掉落)		0.50%
3	101		B、A级构造体		13.95%
4	101		角色碎片		22.11%
5	101		紫色装备		28.39%
6	101		突破材料		14.42%
7	101		经验材料		4.81%
8	101		螺母箱		14.42%
9	201		六星武器		5.00%
10	201		五星武器		15.00%
11	201		紫色武器		33.40%
12	201		蓝色武器		27.90%
13	201		螺母箱		9.35%
14	201		突破材料		9.35%
15	211		六星意识		5.00%
16	211		五星意识		15.00%
17	211		紫色意识		34.00%
18	211		蓝色意识		38.50%
19	211		螺母箱		7.50%
20	301	1	【6星】噬狼枪		4.00%
21	301	1	【5星】暗影紫光		12.00%
22	301		【6星】狂乱融合炮		0.50%
23	301		【6星】神赐者		0.50%
24	301		【5星】熔岩之柱		1.50%
25	301		【5星】卫士挂载		1.50%
26	301		紫色武器		33.40%
27	301		蓝色武器		27.90%
28	301		螺母箱		9.35%
29	301		突破材料		9.35%
30	302	1	【6星】红莲狂士		4.00%
31	302	1	【5星】九字之定		12.00%
32	302		【6星】斩魂者		0.50%
33	302		【6星】漆黑		0.50%
34	302		【5星】石之心		1.50%
35	302		【5星】动轮大剑		1.50%
36	302		紫色武器		33.40%
37	302		蓝色武器		27.90%
38	302		螺母箱		9.35%
39	302		突破材料		9.35%
40	303	1	【6星】影打—逆断		4.00%
41	303	1	【5星】九字之定		12.00%
42	303		【6星】奇美拉-逆断		0.50%
43	303		【6星】大神威		0.50%
44	303		【5星】电光石火		1.50%
45	303		【5星】动轮大剑		1.50%
46	303		紫色武器		33.40%
47	303		蓝色武器		27.90%
48	303		螺母箱		9.35%
49	303		突破材料		9.35%
50	304	1	【6星】零式		4.00%
51	304	1	【5星】卫士挂载		12.00%
52	304		【6星】雷米尔		0.50%
53	304		【6星】狂乱融合炮		0.50%
54	304		【5星】猎隼E-3320		1.50%
55	304		【5星】熔岩之柱		1.50%
56	304		紫色武器		33.40%
57	304		蓝色武器		27.90%
58	304		螺母箱		9.35%
59	304		突破材料		9.35%
60	305	1	【6星】神赐者		4.00%
61	305	1	【5星】卫士挂载		12.00%
62	305		【6星】噬狼枪		0.50%
63	305		【6星】红莲狂士		0.50%
64	305		【5星】暗影紫光		1.50%
65	305		【5星】九字之定		1.50%
66	305		紫色武器		33.40%
67	305		蓝色武器		27.90%
68	305		螺母箱		9.35%
69	305		突破材料		9.35%
70	306	1	【6星】天龙之风		4.00%
71	306	1	【5星】卫士挂载		12.00%
72	306		【6星】大神威		0.50%
73	306		【6星】雷米尔		0.50%
74	306		【5星】动轮大剑		1.50%
75	306		【5星】猎隼E-3320		1.50%
76	306		紫色武器		33.40%
77	306		蓝色武器		27.90%
78	306		螺母箱		9.35%
79	306		突破材料		9.35%
80	307	1	【6星】雷米尔		4.00%
