Id	TitleCN	TitleEN	MainRules[1]	MainRules[2]	MainRules[3]	MainRules[4]	BaseRuleTitles[1]	BaseRuleTitles[2]	BaseRuleTitles[3]	BaseRuleTitles[4]	BaseRules[1]	BaseRules[2]	BaseRules[3]	BaseRules[4]	EventRuleTitles[1]	EventRuleTitles[2]	EventRuleTitles[3]	EventRules[1]	EventRules[2]	EventRules[3]	UpType	UpQuality	UpProbability	BottomText	NewHandBottomCount	SpecialBottomMin	SpecialBottomMax
1	构造体	Standard Mode	每10回必有A级以上构造体	每60回必有S级以上构造体			10连保底A级	60连保底S级	标准研发		每研发10次，必有A级以上构造体加入队伍。	每研发60次，必有S级以上构造体加入队伍。	版本新型构造体不加入基准池											S级保底	40		
2	武器研发	Standard Mode	每研发10次必出五星以上武器。	每研发30次必出六星武器。			10连保底五星武器	30连保底六星武器			每研发10次必出五星以上武器。	每研发30次必出六星武器。												6星保底			
3	意识研发	Optional Mode	每10回必出五星以上意识。				基础规则标题1				每10回必出五星以上意识													6星保底			
4	狙击武器研发	Optional Mode	任选一组UP，占6星出率80%	每研发10次必出五星以上武器。	每研发30次必出六星武器。		自选组合	狙击模式详解			选择1种装备组合进行抽取，特定组合获得概率提升。	狙击武器可以选择你想要的武器进行大幅度概率提升。												6星保底			
5	狙击意识研发	Optional Mode	每10回必出五星以上意识。	选择1种装备组合提升获得概率。			基础规则标题1	基础规则标题2	基础规则标题3		每周会更换1次自选装备库，换一批自选装备。	狙击研发只会掉落以下自选库中的装备	每周会更换1次自选装备库，换一批自选装备。											6星保底			
6	宿舍研发	Standard Mode	每10回必出涂装设计草稿。				抽取内容	抽取备注			可抽取家具、改造图纸、涂装设计草稿、入住凭证。	版本新型家具暂不加入卡池。										<color=#fee82a>6星</color>	<color=#fee82a>80%</color>	保底			
10	主题狙击武器	Standard Mode	每研发10次必出五星以上武器。	每研发30次必出六星武器。			10连保底五星武器	30连保底六星武器	新型构造体		每研发10次，必有A级以上构造体加入队伍。	每研发60次，必有S级以上构造体加入队伍。	UP新型构造体获取概率提升		占6星出率	若研发时抽出6星武器，则有80%几率判定为红樱。					武器	<color=#fee82a>6星</color>	<color=#fee82a>80%</color>	6星保底			
11	主题活动角色	Standard Mode	每10回必有A级以上构造体	每60回必有S级构造体			10连保底A级	60连保底S级	概率提升		每研发10次，必有A级以上构造体加入队伍。	每研发60次，必有S级以上构造体加入队伍。	UP构造体获取概率提升		占S级出率			若研发时抽出S级构造体，则有80%几率判定为露西亚·深渊共鸣。			构造体	<color=#fee82a>S级</color>	<color=#fee82a>80%</color>	S级保底			
12	降临活动角色	Standard Mode	每10回必有A级以上构造体	每60回必有S级构造体			10连保底A级	60连保底S级	概率提升		每研发10次，必有A级以上构造体加入队伍。	每研发60次，必有S级以上构造体加入队伍。	UP构造体获取概率提升		占S级出率			若研发时抽出S级构造体，则有70%几率判定为UP角色。			构造体	<color=#fee82a>S级</color>	<color=#fee82a>70%</color>	S级保底			
13	命运降临活动角色	Standard Mode	1.每10回必有A级以上构造体	2.每80~100回必有S级构造体	3.综合概率与降临角色池一致	4.S级角色基础掉落概率提升	浮动保底	基础掉率（不含保底）	综合掉率（含保底）		系统会在80-100随机一个值，比如随机到90，那么本次S级保底次数为90，抽出S后重新随机保底次数。	S级构造体基础掉率，提升至1.5%。	S级构造体综合掉率和其他卡池一致（1.9%）		占S级出率			若研发时抽出S级构造体，则有70%几率判定为UP角色。			构造体	<color=#fee82a>S级</color>	<color=#fee82a>70%</color>	S级保底		80	100
14	降临活动角色	Standard Mode	每10回必有A级以上构造体	每60回必有S级构造体			10连保底A级	60连保底S级	概率提升		每研发10次，必有A级以上构造体加入队伍。	每研发60次，必有S级以上构造体加入队伍。	UP构造体获取概率提升		占S级出率			若研发时抽出S级构造体，则有70%几率判定为UP角色。			构造体	<color=#fee82a>S级</color>	<color=#fee82a>70%</color>	S级保底			
